MaxReturn,StdForwardProgress,AverageAction,MinForwardProgress,StdEsReturn,AverageAbsQ,PolicyRegParamNorm,AverageAbsQYDiff,AverageQ,MaxForwardProgress,QFunRegParamNorm,AverageForwardProgress,MaxEsReturn,MinEsReturn,AverageAbsY,Epoch,AverageY,AverageDiscountedReturn,AverageEsReturn,StdReturn,AveragePolicySurr,AverageReturn,AverageQLoss,MinReturn
19.2516786067,0.0965256804836,0.998311,-0.468017518318,51.302441442,0.454181,16.7032,0.420647659229,0.453711,0.0649233939239,15.9523,-0.180402091307,127.62365466,-9.57854380784,0.046518010082,9,0.0330632220364,-4.5788199425,49.4775835756,9.65208423408,-0.517197,-6.25703796886,0.20042,-33.7684811677
75.8014280314,0.199840817297,0.996525,-0.53710579586,19.124205495,0.0599833,17.075,0.0109029607983,0.0457019,0.601846800466,16.4593,-0.24303129611,56.126777102,-25.7950502067,0.0576997002229,10,0.0433810171857,-7.22634660294,-6.62028403977,20.3843918622,-0.0317572,-12.1154458807,0.0010161,-42.6336624462
84.8306670313,0.206153422355,0.984795,-0.575780772746,24.7768379373,0.0810503,17.4208,0.00746835625894,0.0559296,0.689997608157,16.8126,-0.250272423865,44.5486502215,-41.3809976104,0.0814381917476,11,0.0559234063182,-7.68650663648,-3.83979800885,21.034046098,-0.0387488,-12.7871222451,0.000129644,-45.8660111318
73.3083847833,0.204614067582,0.992711,-0.543873349243,21.3067743193,0.102235,17.698,0.00856505727917,0.0549822,0.570994755641,17.3505,-0.202007358262,41.8795220996,-35.3411029425,0.10258531145,12,0.0549630459909,-4.51718248069,-6.61548794905,20.7827006322,-0.0287957,-7.97394412307,0.000199481,-43.4384164695
86.2525235603,0.224757834483,0.9962,-0.576647432001,10.4958841663,0.127038,17.946,0.0106575175069,0.0507218,0.692674624054,17.8862,-0.230148684421,8.41285649804,-27.8402656851,0.12745097458,13,0.0506772366696,-6.38580674018,-13.8241644799,22.901635529,-0.0337044,-10.863883408,0.000321283,-47.6990229734
71.9951926906,0.198520568133,0.997213,-0.588135205156,14.4152192092,0.151055,18.1025,0.0127472504571,0.0460199,0.569551169872,18.4373,-0.235935760868,14.7177634509,-34.4340840556,0.151575927518,14,0.0459981205656,-6.60608740461,-7.76698521223,20.3081543006,-0.024114,-11.2311277235,0.00048228,-46.5122329464
66.24818249,0.230143623026,0.992803,-0.544321799754,26.3967319514,0.176355,18.3991,0.0148879254682,0.0345068,0.518746636959,18.9975,-0.236862723753,54.7438987108,-43.5114878476,0.177013136268,15,0.0344751816532,-6.55173580132,-5.86423770195,23.2890774675,-0.0218411,-11.418878921,0.000661295,-43.4538882971
129.5491654,0.450790809862,0.986878,-0.558859019456,28.9273082224,0.202067,18.5923,0.0160154765127,0.0339738,1.01713964,19.5492,0.101383714633,60.7329775684,-26.6171670791,0.202789483235,16,0.0339639037129,16.079650611,0.617113302208,47.5538308425,-0.0435709,31.4387322662,0.000725605,-39.3617896385
141.723752951,0.451160056922,0.989046,-0.641964857818,20.2650326574,0.228613,19.0377,0.0171752536356,0.0487514,0.975775622673,20.051,0.0584890179547,34.4902190285,-36.2176938456,0.229514331769,17,0.0487537155097,13.7921513826,-5.78060546029,47.3697183794,-0.0618952,27.7044550096,0.000804476,-44.8478364433
nan,0.0167083875534,nan,-0.0428654517859,nan,nan,nan,nan,nan,0.0370320645781,nan,-0.00215575703439,nan,nan,nan,18,nan,nan,nan,nan,nan,nan,nan,nan
