AverageAbsQYDiff,AverageForwardProgress,StdEsReturn,QFunRegParamNorm,AveragePolicySurr,Epoch,MinEsReturn,AverageReturn,MaxForwardProgress,AverageAction,StdForwardProgress,AverageAbsQ,MinForwardProgress,PolicyRegParamNorm,AverageQLoss,MinReturn,AverageY,AverageDiscountedReturn,MaxEsReturn,AverageEsReturn,AverageAbsY,MaxReturn,StdReturn,AverageQ
0.034021633781,0.0924986645657,8.77502422242,14.1908,-0.0204917,9,0.192226279891,25.5486897837,0.204190793236,0.000347003,0.0510046951365,0.00840909,-0.0498010323872,14.1288,0.00132748,7.75281986479,0.0256922898026,17.2582700723,41.7838495521,23.3073418224,0.0256922898026,39.4952350572,6.33807712577,-0.00832934
0.00477497982416,0.353017440086,24.6320447565,14.925,-0.084356,10,0.164945485027,61.6213566754,0.476207476781,0.9898,0.0689302186875,0.0571144,0.119934333634,14.915,6.92005e-05,31.9414864829,0.0571201241369,36.1734949395,77.4277978769,43.2450281433,0.0572422594491,76.4824542812,8.85458621695,0.0570521
0.00644340103616,0.00294304244924,18.4332388377,15.7081,-0.159597,11,1.1438006855,6.53696509337,0.0846809552329,0.998257,0.0313844595997,0.127227,-0.0914720040341,15.1959,0.000156819,-5.57627337096,0.127316256567,5.57111533644,70.1448862202,14.5254282746,0.127321413352,17.2994454885,4.05962460392,0.127222
0.00770960496418,0.00418742636794,3.74778967105,16.5027,-0.213035,12,-0.476789776116,7.05699502104,0.106921393604,0.998359,0.0319468762009,0.180968,-0.1010726924,15.522,0.000240414,-6.52980270518,0.18103932392,5.95437359056,13.0291882897,5.69489465042,0.181040007,20.2299942501,4.11471688954,0.180968
0.00960958451434,-0.000767298613717,4.18148703948,17.281,-0.270282,13,-4.23664749662,6.37287586002,0.0960252165161,0.997171,0.0348289601808,0.233611,-0.0966769530605,15.5417,0.000363784,-5.59204331553,0.233645116508,5.38740577698,16.1245825061,6.25562265752,0.233649512358,18.9863880838,4.48980242502,0.23361
0.0113278984317,-0.00106096603747,9.11261754441,18.3392,-0.319413,14,-24.1192565537,6.08214044059,0.097657508194,0.993161,0.0332186559622,0.280068,-0.173348948987,15.7557,0.000499389,-15.16978099,0.280079817381,5.18891757646,14.672323017,2.98295384485,0.280119401696,19.2379961166,4.27372105899,0.280041
0.0135692314608,0.178912192728,4.00533209603,19.1619,-0.361765,15,-0.253802151008,37.8354115174,0.649125449347,0.938636,0.164998981537,0.335382,-0.104311623267,16.4097,0.000683333,-0.498608121556,0.3352734423,22.6187251123,14.8639364263,5.82963848922,0.335387611738,113.410218895,23.5426867745,0.335276
0.015634009318,-0.439235802804,45.0578739035,20.1352,-0.424021,16,-47.2255507167,-40.4253978273,-0.318085003212,0.948225,0.0540532120787,0.387302,-0.54681788905,17.1226,0.000862277,-53.566444119,0.387103902706,-19.9742590823,92.38174038,12.1465534518,0.387377111216,-26.0634818898,5.33317629138,0.387052
0.0172046488665,-0.42283165505,13.217930122,21.0553,-0.460086,17,-45.4893721317,-38.9060709357,-0.310563979336,0.952723,0.0520490325505,0.422175,-0.572259362049,17.4967,0.00095044,-52.0007851232,0.419308286642,-19.7305210285,3.91559266058,-35.2627557408,0.422320305749,-24.5748796608,5.72723943604,0.419323
0.0181654666408,-0.226478230216,12.3029114489,21.823,-0.475518,18,-44.0717620192,-17.0291918113,-0.109941949045,0.945146,0.0541421851602,0.4548,-0.383895269405,17.9602,0.00107656,-36.6595836609,0.445447744536,-8.82226397585,1.95145448254,-30.1611465761,0.455081181349,-1.91176628309,6.6009396023,0.445448
0.0188622911614,-0.154428160152,6.62475646956,22.5543,-0.497656,19,-25.0820706486,-8.81408002145,-0.00577454651744,0.942171,0.0494981656908,0.480992,-0.259071425764,18.292,0.0010767,-21.284975632,0.463946294436,-4.42052473088,-1.59543779276,-15.0248112417,0.481338095188,7.8125135166,5.91521900859,0.463964
0.020186279943,-0.118593554959,5.33329295346,23.2986,-0.525334,20,-19.6469044253,-4.93709054448,0.0325627398383,0.951858,0.0495140946364,0.514139,-0.2412131689,18.6213,0.00121763,-19.2182505468,0.491154996881,-2.02493225526,0.719912029361,-8.82814974429,0.514582712822,12.7095243431,5.59051574043,0.491144
0.0224125003117,0.15734616747,25.3995840923,24.1226,-0.586043,21,-0.86292261127,34.1059661105,0.422586620778,0.940685,0.0916129116068,0.542117,-0.0264896770924,19.0733,0.00156198,9.44586685716,0.515433652091,21.9711684062,92.1105327953,20.6063614552,0.542650769135,69.7343254756,12.1957353337,0.515355
0.0261718264154,-0.00416897601513,19.3578176657,24.927,-0.681197,22,-0.435652901228,7.0976791719,0.103374718654,0.958569,0.0401068081888,0.623652,-0.113115527865,19.3903,0.00231655,-6.81025737861,0.595622757123,5.89518480636,56.5750740767,17.2926062581,0.624046299915,20.1095311973,4.93275894827,0.595531
0.027545192362,0.00848923841848,3.81226498681,25.6202,-0.72556,23,1.64244969409,7.85951093078,0.0959262788528,0.970966,0.032759188343,0.69023,-0.0857480222973,19.7052,0.00256568,-4.31575673671,0.664975759813,6.52628715655,16.0142282291,7.58346654847,0.690555833449,18.9758264665,4.24527491409,0.664881
0.0289083300877,-0.00376320412656,3.84047458654,26.3087,-0.740034,24,-1.80401848885,5.8464033844,0.0874631972107,0.967028,0.03316961286,0.718524,-0.10404783482,19.9146,0.0027295,-7.03757901622,0.69944570535,4.96699930005,12.7835916553,5.86550303131,0.718752213111,17.8899945887,4.2654408941,0.699345
0.0298277309643,-0.0276437653327,3.18217313592,26.9999,-0.757053,25,-0.0388992120209,4.92078999545,0.0833551918267,0.95772,0.0555256943358,0.737126,-0.209296821436,20.1457,0.00264799,-14.5739861081,0.721824335363,4.26883505084,13.245378482,7.14379454433,0.737704670854,22.0437413096,6.314941096,0.721644
0.0308472065527,-0.0018777077781,4.7644704876,27.6636,-0.794364,26,0.741324655743,6.27723238186,0.0786777089984,0.932426,0.0310190682776,0.76202,-0.0878633520896,20.418,0.00269504,-5.0315638082,0.748058656553,5.30080948084,17.599949475,8.02758679559,0.762684647146,16.6067271332,4.02350649291,0.747886
0.0323252360886,0.00230893075464,4.2871645517,28.3289,-0.881078,27,-1.46234988199,6.73320565131,0.0988750968706,0.969092,0.0326759012602,0.80441,-0.0850064008999,20.6582,0.00330239,-4.63507208749,0.791130213906,5.69494551554,14.3880412291,6.91620664708,0.805176754481,19.6939696404,4.22326652537,0.790926
0.0329384698548,0.000521333202658,4.92393056156,28.9315,-0.931755,28,-3.23138359316,6.53196005403,0.0960119338838,0.974806,0.0306283460706,0.874816,-0.103734349307,20.8352,0.00318053,-6.84707571743,0.863001584031,5.52146945982,18.795898373,6.73828536969,0.875553632301,18.7835823979,3.95963384758,0.862823
0.0335777010343,0.00379371129889,4.52988316048,29.5226,-0.94371,29,-2.0168689764,6.90047436537,0.0934338279693,0.980837,0.03296897606,0.909593,-0.109012255793,21.0049,0.00366343,-7.10232461758,0.897796892366,5.838513834,16.4502686669,7.36871729596,0.910252502921,18.4925116313,4.25679492596,0.897655
0.0358746527666,0.00108966340534,4.38226360346,30.1966,-0.968446,30,-0.634380826788,6.58971527032,0.0727487046833,0.970188,0.0306217205185,0.937423,-0.0863800405303,21.1518,0.00419089,-5.13117179951,0.925214223698,5.57127142766,18.0661469012,6.55662163222,0.937988878917,15.887623273,3.97930843076,0.925123
0.0384787527597,-0.00197525919146,20.3345588475,30.8782,-0.983781,31,-0.365450329198,6.41258389476,0.100084817784,0.961107,0.0332248845791,0.943374,-0.1050568435,21.3423,0.00440294,-6.87188723945,0.929405442028,5.38802075941,107.838883605,9.89069082049,0.943990370741,19.7519435258,4.32225884127,0.929298
0.0399625885831,-0.00491526792577,3.61868781176,31.4732,-1.03985,32,0.521215782959,6.47534955352,0.0921970431433,0.974094,0.0388252072612,0.98633,-0.211425560652,21.4956,0.00463479,-17.3213038177,0.972307452003,5.47626901056,12.9431167468,7.30786616558,0.986959464005,18.8512634503,4.70749846272,0.972122
