StdReturn,AverageQLoss,AverageEsReturn,MinReturn,MinForwardProgress,AverageAbsY,AverageReturn,AverageQ,MaxForwardProgress,AverageDiscountedReturn,AverageY,Epoch,AverageAction,AveragePolicySurr,AverageForwardProgress,QFunRegParamNorm,AverageAbsQ,MaxEsReturn,MinEsReturn,StdEsReturn,StdForwardProgress,PolicyRegParamNorm,MaxReturn,AverageAbsQYDiff
12.1692370866,0.0126334,41.1474125551,-28.7675406444,-0.576439518084,0.00793726655728,30.1314604826,0.0914318,0.344332749637,22.1154060097,-0.00663746436813,9,0.999927,-0.117409,0.161361300452,14.6878,0.0914318,124.4723884,-13.0501286814,48.6520040984,0.134988890203,17.0473,54.1076743879,0.0981862174986
13.3140166953,0.000120794,28.2275544891,-27.6019509269,-0.592753949669,0.00618258669141,23.0070865616,-0.00168678,0.369710139747,17.7155722132,-0.00254113495844,10,0.999977,0.000419236,0.0964091506738,14.9712,0.00716424,52.5150563118,0.180782036659,12.9737078911,0.153365346787,17.3034,52.738118484,0.00305934015265
13.4928868045,6.94774e-06,22.4303401412,-32.8080176317,-0.575383132897,0.00890820665434,24.2454256928,0.0018363,0.331073746655,18.2103920327,0.00182074871304,11,1.0,-0.00667396,0.100605385054,15.1119,0.00867984,36.9259255527,7.80736006422,8.56248026719,0.161790791318,17.4829,48.4616188822,0.00173082206393
11.9875581278,8.05568e-06,18.8529821012,-29.1030086839,-0.582355873357,0.0131755272413,24.9250029526,0.0101543,0.333737047777,18.623655063,0.0101481012617,12,1.0,-0.0129615,0.116477466204,15.3265,0.0130715,31.4822542971,-3.83369739923,9.90436413895,0.131884523921,17.4836,47.6185280446,0.00168211880864
11.5103831875,8.63375e-06,14.198081775,-32.2162202682,-0.527397436674,0.0180476209605,25.9001081776,0.0153568,0.32778839349,19.3907515928,0.0153448000014,13,1.0,-0.0176868,0.126506190785,15.5519,0.0179571,34.1725872305,-24.4053567928,18.4028879654,0.121113616717,17.4837,45.9927306536,0.00169307647826
36.6273403665,1.0704e-05,24.5435398144,-30.5075854777,-0.466363845514,0.0223693434397,8.83298452526,0.0195173,0.866895144535,5.45978273725,0.0195106100126,14,0.969356,-0.0234326,-0.0809485179127,15.8142,0.022262,67.5496365746,-4.9015676498,23.9445000158,0.329008124201,17.8186,114.944389669,0.00194499306097
23.3776175587,1.27275e-05,3.22853589024,-20.2330817918,-0.340240563136,0.027721031287,30.3458968009,0.0249829,0.599014170596,17.1125109965,0.0249748430338,15,0.982363,-0.0282506,0.128127246632,16.0779,0.0276124,76.0620802403,-26.9715528174,26.4338306085,0.212797579871,18.1595,83.1025508211,0.00212494687503
16.9405255247,1.4218e-05,20.0752017153,-22.7425357611,-0.369455663476,0.0331878961621,18.4694740007,0.0302807,0.835039350011,12.5566064665,0.0302836809426,16,0.977175,-0.0330313,0.0381940313961,16.3994,0.0330822,76.4136972847,-24.6446302247,30.8419924245,0.155343004226,18.4156,115.380595283,0.00230357172724
24.2799320449,1.55072e-05,23.5788804565,-77.7505323523,-1.107475973,0.0384426088893,5.47961795673,0.0351369,0.386041501734,6.41431844207,0.0351347427796,17,0.936137,-0.040663,-0.131322914667,16.6741,0.0383296,42.7754448543,-8.16664639608,14.1931099055,0.235737898616,18.9155,71.762274888,0.00237858651201
40.8985546899,1.79088e-05,-0.606310358551,-40.2484157496,-0.69884013307,0.0462818331475,42.9890083273,0.0426317,0.766686634801,23.8462186686,0.0426334543194,18,0.944514,-0.0484661,0.181285731891,16.9745,0.0461882,44.8983828264,-57.3885022796,34.4060395268,0.384682554974,19.1538,107.980777728,0.00259376865513
21.7930951804,2.03535e-05,62.1202415969,-26.4254963757,-0.591544419112,0.0537194842636,63.5695091551,0.050574,0.645624929331,33.1393365897,0.0505793262763,19,0.921355,-0.0544392,0.398326572331,17.2489,0.0536478,78.144759548,6.23661575704,19.9914792786,0.224636322964,19.4743,93.5129925364,0.00266208108873
17.8160405787,1.99817e-05,57.6716368023,-17.4766900965,-0.440216868517,0.059518295197,76.5204812184,0.0564496,0.704043199541,38.3644819461,0.0564567898234,20,0.954181,-0.0597893,0.52375915145,17.4705,0.0594681,87.5230901594,-12.5233555959,33.3337481873,0.179878605872,19.6827,100.796307949,0.00269342654242
26.7119541039,2.18246e-05,54.3790425755,-42.7023294082,-0.636797036901,0.0645458383012,69.2557901319,0.0616085,0.801842006901,35.8383423956,0.0616099482744,21,0.968146,-0.0642586,0.449615982323,17.7528,0.0645008,80.0110352821,2.6307110785,27.152058061,0.273286300767,19.7502,114.638271166,0.00275071293239
18.0193582113,2.78565e-05,44.1669175777,-6.98098785228,-0.363725992649,0.0692321832954,72.9898842833,0.0660225,0.728112075708,37.5815198675,0.0660339364036,22,0.975085,-0.0686133,0.491019731321,18.0524,0.0691797,81.8087715492,-31.0683646074,42.5420433945,0.189694836504,19.8627,101.45949255,0.00301860037701
27.8981587687,4.14081e-05,57.3996534463,-26.850010311,-0.542638519407,0.0737861410875,70.5639151744,0.0703832,0.73993688757,37.0290449181,0.0704037903339,23,0.981632,-0.0721866,0.466863017363,18.3326,0.0736996,91.6423930069,-22.1572857166,37.8611834845,0.290245187936,19.9679,102.032993543,0.00334279016134
