AverageQLoss,MaxEsReturn,StdEsReturn,AverageAbsQYDiff,AverageAction,MinForwardProgress,AveragePolicySurr,QFunRegParamNorm,AverageQ,StdForwardProgress,Epoch,AverageDiscountedReturn,MaxForwardProgress,MaxReturn,AverageAbsY,PolicyRegParamNorm,AverageEsReturn,AverageReturn,MinEsReturn,AverageForwardProgress,AverageY,MinReturn,StdReturn,AverageAbsQ
0.000101345,31.2450736441,10.0205180068,0.00314567858227,0.994827,-0.00958932587566,-0.045186,8.51521,0.0206684,0.0226634441354,10,5.37214238741,0.111016773671,20.5387529318,0.0208663627466,10.7525,3.98169599887,7.34469237198,-19.3871324661,0.0463927468221,0.0206986072861,-4.1330805998,4.63954614087,0.0206782
0.000144314,1.32910678939,1.31282782472,0.00529926115977,0.999929,-0.0166562346319,-0.0869523,8.80056,0.0486484,0.00362693793208,11,-5.18777807561,0.00639248093387,-1.08645788364,0.0491571077783,11.152,-5.40796033698,-5.443830782,-8.4650611493,-0.00552494093426,0.0486850654486,-8.16473202132,1.14630020695,0.0486648
0.000206266,-0.17086814527,1.21347822624,0.00668633902351,0.999991,-0.017290366726,-0.128974,8.99665,0.0838833,0.00358889661946,12,-5.18105513796,0.00866405797624,-1.60056690548,0.0848824173747,11.1787,-5.40532144153,-5.43652874278,-7.76817287207,-0.00552790194881,0.0837989841244,-8.26666989448,1.14119268366,0.0842764
0.000250816,-0.0903393862937,1.66577835776,0.00724889456465,0.988799,-0.0301851141015,-0.108583,9.28074,0.092334,0.00896076335628,13,-4.36658278735,0.0245264220282,1.3656965626,0.0951268618324,11.7259,-4.17199460957,-5.07512590457,-11.008249422,-0.00650653626415,0.092474965047,-10.0692355265,1.99224627634,0.094431
7.68924e-05,-0.582039490718,1.45884964243,0.00448723300952,0.994092,-0.0207442034549,-0.0731565,9.40639,0.0776073,0.00417403951656,14,-5.37377881467,0.00936063275667,-0.978436441776,0.0819774099503,11.8231,-4.98031835974,-5.70459781565,-10.4265420711,-0.00641440419833,0.0775746901147,-9.16130197846,1.0731370891,0.0819324
7.47707e-05,-1.09640261041,10.0391485857,0.0047653730797,0.999989,-0.247033205788,-0.0404441,9.55462,0.0588204,0.0315519641163,15,-28.5126281655,-0.0705051482658,-16.0969076458,0.0653371694421,11.9071,-35.9270155852,-37.8114617824,-45.9861778862,-0.176828020256,0.0587447185128,-52.1311793115,6.45789772216,0.06501
6.13949e-05,4.99000671989,9.28359694083,0.00451317561452,0.999052,-0.183743431405,-0.0699527,9.93289,0.0470933,0.0535021752725,16,-4.55450716606,0.108119583526,18.3548435172,0.0562360324759,11.9591,-11.3026683012,-7.36679043305,-27.2871454934,-0.0194538622262,0.0470713409826,-41.2865118221,10.9584203496,0.0558218
6.01775e-05,2.36796108749,14.4032261212,0.00432824278324,0.999959,-0.162053970399,-0.0750644,10.1404,0.064671,0.0497950236508,17,-5.6392267762,0.0626756516256,9.19088229447,0.0752172149333,12.0646,-11.3268331646,-9.33439043356,-42.6813632649,-0.0290499996066,0.0646232018154,-36.9067859052,10.2385406306,0.0749304
6.89911e-05,-0.952523214381,13.8549887483,0.00447793837105,0.999958,-0.17560874603,-0.0793782,10.2707,0.0718396,0.052125240564,18,-4.98637850707,0.101513566902,17.4213863859,0.0833657159605,12.1166,-14.5172024848,-8.17250659282,-43.2937926795,-0.0234979555563,0.071807944946,-39.6232777867,10.7216290008,0.0831428
7.363e-05,-0.0832053699323,10.910086726,0.0044911628967,0.999848,-0.221591638333,-0.0866419,10.4414,0.0749933,0.0538798292108,19,-5.15931359282,0.0774160546504,12.1153690564,0.0869419116322,12.0736,-11.9146214917,-8.48907341229,-34.0748638461,-0.0249983461851,0.0749537781117,-48.8879514265,11.0820669165,0.0867456
