PolicyRegParamNorm,Epoch,AverageY,AverageEsReturn,AverageQ,AverageReturn,StdEsReturn,AverageForwardProgress,AverageAbsY,AveragePolicySurr,MinForwardProgress,AverageDiscountedReturn,StdForwardProgress,AverageAbsQ,MaxForwardProgress,AverageAbsQYDiff,AverageQLoss,MaxEsReturn,AverageAction,MinEsReturn,StdReturn,MinReturn,MaxReturn,QFunRegParamNorm
14.0381,10,0.00986131245697,-3.1798319749,0.0128697,-5.77744912982,7.22979030694,0.213257176151,0.0107930025269,-0.0300732,0.0958811831153,-3.25284052579,0.0456357852114,0.0143799,0.32560013824,0.00552075217828,0.000303549,3.58027874543,0.916723,-34.97240904,4.47711534378,-17.3048328934,5.26279079279,10.5337
14.2146,11,0.0154841330366,-33.9707616786,0.0155976,-38.8300422782,11.5238610918,-0.111593187374,0.0172714483962,-0.0128356,-0.176460225942,-26.0685621343,0.0325842288724,0.0173065,-0.00710426542841,0.00141075498886,8.59907e-06,-2.88987142828,0.917115,-45.4416683087,3.28365337566,-45.5910049896,-28.5249733724,10.6837
14.3804,12,0.0100628255063,-20.893529904,0.0100579,-21.3315738123,7.89151389827,0.0615217221026,0.0126700997312,-0.0152889,-0.0133241673687,-11.6414993087,0.0420055434135,0.0125595,0.195777268635,0.00109335352813,5.04902e-06,-12.1284806668,0.921393,-40.1344926884,4.1178254723,-28.6438277317,-8.23615995591,10.8924
14.491,13,0.010418431662,-24.9845208837,0.0104431,-24.5256112919,4.27415594845,0.0523846802204,0.0138334985802,-0.0104086,-0.0496247929253,-14.8522495257,0.0414354186411,0.0137834,0.137336151861,0.000963909935988,4.02576e-06,-20.160152388,0.988323,-33.5646090142,4.08814211939,-34.5136111135,-16.1394607083,11.1379
14.9051,14,0.00772038872915,-18.4545288498,0.00772578,-31.3287288174,11.2487694545,-0.0241052445969,0.0127571024382,-0.00847006,-0.134832858141,-18.7897378786,0.049171759678,0.0126691,0.140187554944,0.000885046836303,3.51544e-06,12.8063958703,0.97454,-30.4189989011,4.93031129991,-42.4021195676,-14.9473742866,11.2668
15.1354,15,0.00619816462318,-19.8678402174,0.00620813,-11.0681514373,11.279460349,0.184992818331,0.0133072490982,-0.00685756,0.0854803882899,-6.37381464849,0.0453643254351,0.0132026,0.308338100781,0.00112382522133,5.73413e-06,-9.41457632632,0.999719,-43.3065455531,4.53627263968,-21.0258968053,1.28960233285,11.4946
15.3711,16,0.00532659705745,-18.3567833892,0.00532419,-15.1042357766,5.05422169255,0.144679268891,0.0136518919839,-0.00796484,0.0162014420873,-7.97802219355,0.0524024074305,0.0135514,0.25651003062,0.00119026349216,6.05185e-06,-11.712349464,0.997029,-26.7176227975,5.22015083783,-27.9077964293,-3.93976684208,11.7231
15.6296,17,0.00578577504757,-28.6675696434,0.00578286,-12.7843367786,11.7297326773,0.166840616258,0.0148278805173,-0.00650246,0.0719746554869,-7.58515447303,0.042246690898,0.0146868,0.300664602866,0.00118384687672,6.23988e-06,-8.83075156776,0.996348,-40.0103219596,4.22028518434,-22.2753909302,0.568065644541,11.9237
15.5907,18,0.00538594127499,-11.2208007208,0.00538575,-9.75860714106,4.82416460016,0.188713395355,0.0148345428847,-0.0060918,0.0830927867755,-5.8189401377,0.0449301156354,0.0146826,0.288121368202,0.00117375834198,6.56251e-06,-4.23409191858,0.968233,-19.9758235666,4.40592286941,-20.1314596717,-0.0478710168358,12.0927
15.7378,19,0.00426939854499,-10.054024794,0.00426882,-10.8124807737,4.36208340978,0.184223891245,0.0144040111124,-0.00372769,0.0815443949509,-6.32895315365,0.0415113812852,0.0142623,0.296474653191,0.00121955915613,6.8169e-06,-3.57274915238,0.989028,-20.6498242669,4.12028680985,-20.9813188172,0.343163425155,12.3223
15.7387,20,0.00212988405821,-11.6220605148,0.00213081,-18.0973042256,5.01515430343,0.107223543846,0.0135729589435,-0.00146668,-0.057700519971,-10.1736343919,0.0549417776849,0.0134616,0.228366964791,0.00129668295454,7.09954e-06,-2.78859704815,0.97422,-19.6287177501,5.45682851028,-34.2898533453,-6.07609969273,12.5052
15.9258,21,0.000489823500575,-17.5644708821,0.000487822,-14.8184956605,4.57093680681,0.148066805476,0.0133607022039,-0.000495676,0.0404036025983,-7.72724171925,0.0584777259828,0.0132426,0.317685836824,0.00135350891621,7.71974e-06,-10.2518682132,0.998431,-25.0691250402,5.82972633054,-25.5422990266,2.12775492175,12.6371
15.8191,22,-0.000721165866964,-17.054067542,-0.000723435,-15.0312647065,6.77320351061,0.143608232844,0.0139333731328,5.80203e-05,-0.0324607130449,-7.87342648606,0.0492085492788,0.013773,0.274040184189,0.0014190228549,8.58576e-06,-8.4822140354,0.990978,-29.7008784384,4.90174326191,-32.5585119985,-2.01904464711,12.7972
15.8745,23,-0.00111818888322,-13.8969416196,-0.00111628,-12.1306052719,6.02653565908,0.16209163096,0.0150780335191,0.000632675,0.0724314409203,-5.57659682334,0.0420982159495,0.0149328,0.259446652788,0.0014906883425,9.38149e-06,-0.653161232772,0.958733,-21.8264966271,4.18660347752,-21.0494252445,-2.44657760621,13.062
15.936,24,-0.00159567027287,-10.1889326048,-0.00159904,-15.4630632362,5.3825870457,0.140895541009,0.0159712412686,0.000966728,0.000200012340939,-8.21776212057,0.0472972851357,0.0157858,0.289704715455,0.00160037360871,1.15274e-05,0.822349642057,0.996252,-21.3944761566,4.71475780313,-29.5016240008,-0.642266325744,13.3142
16.1388,25,-0.00235196586292,-15.140812284,-0.00235129,-15.4427889059,4.18829910708,0.142032833318,0.0167033015841,0.00182032,0.00964715394833,-8.19620011271,0.0532028567882,0.0165193,0.275417945108,0.00166980800826,1.24044e-05,-7.16055647911,0.999268,-21.6605203775,5.30569100654,-28.6287471585,-2.10353017685,13.5726
16.1795,26,-0.00280281273662,-10.9672928204,-0.00280392,-11.2679477019,3.48381585136,0.177762649101,0.0177144920201,0.00208215,0.0818803241077,-7.08847291443,0.0427547399121,0.0174762,0.258985243507,0.00182235789117,1.51039e-05,-5.46837696181,0.982917,-17.2435163856,4.25702748382,-20.8367027953,-3.08912087658,13.7769
16.1583,27,-0.0033734248049,-12.885893063,-0.00337253,-14.8030154935,5.73894063241,0.14820794071,0.0184663683885,0.00326709,0.0132470964317,-7.68659861608,0.0536053045236,0.0182529,0.289409256808,0.00190272593472,1.57101e-05,-2.7962470642,0.998777,-19.3020134123,5.35695957915,-28.2793934834,-0.694165921281,14.0044
16.2954,28,-0.0044440158097,-14.1441559643,-0.00444351,-14.8611783474,4.47259747794,0.145611778013,0.0192054811785,0.00431101,0.036048573072,-7.78578121969,0.0502570956698,0.0189943,0.302571414471,0.00188913527288,1.5724e-05,-6.78866952365,0.992157,-21.1782777756,5.01622364581,-25.8081842363,0.837332784331,14.2104
16.3633,29,-0.00499450273,-11.9078497194,-0.00499307,-14.4721504812,4.81715176364,0.143246235839,0.020013357813,0.00392072,0.0149758170871,-7.22492755867,0.0526577835809,0.0197902,0.310445474556,0.00196464914271,1.69221e-05,-4.05830988289,0.970349,-20.630009589,5.30746567506,-27.3303994,2.50158280426,14.479
