AverageAction,AverageEsReturn,AverageAbsQ,AverageQLoss,StdEsReturn,AveragePolicySurr,AverageAbsY,AverageY,MinEsReturn,MaxReturn,MaxEsReturn,StdForwardProgress,AverageReturn,AverageQ,AverageAbsQYDiff,AverageDiscountedReturn,MinReturn,PolicyRegParamNorm,AverageForwardProgress,QFunRegParamNorm,MaxForwardProgress,Epoch,StdReturn,MinForwardProgress
0.832076,33.892754983,0.0632802,0.0354562,11.8826010056,-0.0846233,0.217990043066,0.217990043066,0.993398782389,6.62826148746,61.6721708397,0.00759522384003,4.3447121458,0.0632802,0.18118941463,4.27601142999,2.68921241552,14.6712,0.001835152009,14.7449,0.0259308633662,9,0.46129325952,-0.026146414766
0.83227,5.22372522248,0.175385,0.000558349,4.36223322434,-0.179896,0.175664910185,0.175664910185,2.13765301795,5.43924382852,42.1045828771,0.00623405718353,3.39331322996,0.175385,0.0143110635283,3.35114395479,1.70180772064,14.9953,-7.1514923543e-05,15.2038,0.0256872136169,10,0.63366916683,-0.0246537447055
0.949395,3.41086698629,0.249677,0.000893174,0.660382674445,-0.260539,0.249841628056,0.249841628056,1.83294825867,6.81216163111,5.2807673004,0.00765297630899,3.88274732793,0.249677,0.0172849211123,3.82285837291,1.98874896211,15.4245,-0.000639882547042,15.8307,0.0294105184594,11,0.790376023167,-0.0328819067644
0.913536,6.20462154403,0.336692,0.00160979,3.79200680361,-0.344922,0.336861752978,0.336861752978,2.44750365705,75.8615595744,34.387366957,0.0788838806202,21.5206428785,0.336692,0.0225077373422,19.3887848285,8.4352979389,15.3888,0.0742551966079,16.4591,0.507314084386,12,10.1093744296,-0.0335255606278
0.909232,8.806887101,0.414859,0.0025554,2.33559461995,-0.437644,0.415046199138,0.415046199138,6.08031837974,12.0648829568,26.8315659691,0.0168980261583,8.0486025522,0.414852,0.0292777469123,7.73767581876,4.74216211022,15.5089,-0.0258355227549,17.2229,0.0257067422988,13,1.16578432257,-0.0854950353556
0.876144,8.61548075857,0.493451,0.00349769,2.26577228499,-0.514707,0.493529162931,0.493529162931,4.08752042826,17.465245169,15.9149982958,0.0212916043093,10.2982713212,0.493423,0.0346964431112,9.79598960949,5.01016409829,15.6143,-0.027663755356,17.8971,0.0322927146924,14,1.7936618946,-0.115766584381
0.875238,13.5968316713,0.570207,0.00461269,7.67099135949,-0.596368,0.570119197086,0.570119191419,6.85052433779,38.3826260301,64.0907640957,0.0254532765406,14.8750290034,0.570153,0.0393018325711,13.8401222551,5.84611183108,15.7248,0.0240693836055,18.5849,0.225671717767,15,4.37800004573,-0.044797880494
0.775328,15.5795099765,0.648214,0.00612943,6.20345129041,-0.678683,0.648353707225,0.648353707225,7.16044940943,15.5711748751,41.3462884114,0.015771862756,10.029985558,0.648133,0.0448635383405,9.60066479458,5.89004280003,15.7781,0.0139345339883,19.2574,0.0763153533647,16,1.71787249807,-0.0344076414392
0.884443,11.9366883607,0.726773,0.00828506,6.44850614316,-0.752968,0.726982447102,0.726982447102,5.99849767408,43.626793368,40.8266837975,0.0567745011782,23.2085199455,0.726763,0.0522631871339,20.8194440842,8.72922415135,15.9988,0.078726619508,19.9206,0.242204007903,17,8.37352981349,-0.0166581080579
0.895023,20.7953817786,0.791573,0.00961223,9.67791045519,-0.825068,0.791909436942,0.791909436942,9.41356070792,74.1134752574,44.8820381593,0.156175956115,29.862222061,0.791542,0.0562867745158,25.6048131849,8.42561327987,16.1024,0.145517577328,20.5434,0.566460925108,18,18.9173738057,-0.0277120059206
0.872485,23.4863241268,0.851439,0.0114677,12.7375922885,-0.89506,0.851744800987,0.851744800987,6.29208167393,61.7373426765,58.8195219534,0.0573578866709,26.4175827957,0.851406,0.061352110885,23.4911094867,6.84523138395,16.2588,0.0996519073298,21.2091,0.450838773156,19,7.85031635123,-0.0173213868911
0.854147,51.2224382888,0.929163,0.0148784,13.5436328666,-0.99103,0.929700618072,0.929700618072,22.276490938,59.209378564,68.3616867406,0.0754157704391,39.4996843553,0.929133,0.0707973861552,33.8369546134,6.43583343917,16.3641,0.212367216496,21.9163,0.431644173524,20,8.32868001919,-0.014278154048
0.774719,60.5130158219,1.01899,0.0165893,9.89628024563,-1.09437,1.01908317001,1.01908317001,35.8992140505,67.9612145744,71.5629761106,0.122663824416,56.1627135566,1.01893,0.0764637056424,45.7027370596,6.0358270192,16.4831,0.374349537706,22.6023,0.542077847481,21,13.7850191995,-0.0247662052936
0.740062,60.2994257352,1.12613,0.0186229,14.4897412968,-1.2167,1.12665490394,1.12665490394,7.60623016125,68.0659886029,72.6939712032,0.132091455113,55.3600801702,1.12594,0.0809678344705,45.0991372898,4.27618513839,16.5476,0.368510853157,23.2725,0.52798444799,22,14.8959715734,-0.0292837268994
0.709222,64.22730277,1.23938,0.0219973,10.289345604,-1.34283,1.23992230198,1.23992230198,23.0823400902,73.7690582608,71.4676555911,0.0506083434101,67.0933186334,1.23914,0.08731457519,53.3661948015,7.88330750602,16.587,0.474357139672,23.9186,0.561963939234,23,5.7963097492,-0.00535699745521
0.690442,57.7611561377,1.3532,0.0262398,20.6695704002,-1.46168,1.35390516507,1.35390516507,4.19118320884,75.2626309263,72.711984356,0.111576276879,61.9183104581,1.35297,0.0961091474371,49.094426824,10.8198767997,16.5931,0.383710341686,24.5162,0.497085659619,24,14.4103808591,-0.0278071179676
0.689459,55.522831302,1.47491,0.0334585,19.9365588175,-1.59105,1.47560427448,1.47560255462,10.786548716,73.5837052832,70.7843445652,0.146407300112,56.5935705323,1.47454,0.108584096155,45.4547160975,8.64837368577,16.6588,0.354647004629,25.2567,0.5481542641,25,18.0955609383,-0.0253104235158
0.682347,52.6858777057,1.60793,0.035403,22.5986415708,-1.74696,1.60811578331,1.60811385495,3.01805861252,73.876932876,71.4278094526,0.167897529164,47.0002243177,1.60751,0.109794415213,38.2229307054,7.44362933196,16.7377,0.259345418693,25.7847,0.536808361624,26,21.5872556257,-0.0314878606628
0.627853,39.267974253,1.72751,0.0412061,25.4856369706,-1.86932,1.72765866182,1.72762938952,9.53789848972,73.4169591455,73.5040179754,0.142141055208,23.9062089434,1.72694,0.117753411939,20.8978942205,7.50502518373,16.8122,0.0870431336766,26.3801,0.561172834225,27,17.0972120193,-0.0758018903642
0.542612,30.0643340712,1.84575,0.0506233,20.908760909,-2.00356,1.84592899546,1.84571885665,10.167338542,75.9221548869,67.574091556,0.202450867199,41.5074000209,1.84485,0.130534002,33.7470837298,7.14629805505,16.8754,0.227663550495,26.931,0.531987304372,28,26.5739403359,-0.0424534497073
0.576252,37.7079912861,1.94413,0.0574352,27.2892974561,-2.11484,1.94431959835,1.94411842495,10.1438396922,75.2266602204,74.771642441,0.16815275754,26.423815771,1.94289,0.138700893809,22.1917076532,7.58650276534,16.9795,0.111142097425,27.5387,0.520271022642,29,23.7949336563,-0.0401956182572
0.56469,24.617360707,2.06504,0.0676189,23.5579525587,-2.23819,2.06542487757,2.0653143119,8.13436920006,74.9438772952,73.830284953,0.212754310721,32.2988816406,2.06363,0.149444679553,26.6154537548,8.0463862289,17.1079,0.164269285753,28.1353,0.53589376044,30,27.3866676013,-0.0543111577821
0.569423,36.3801882784,2.17911,0.0791104,26.8099838567,-2.35477,2.17979925381,2.17964210956,9.53694260029,76.8795637919,73.0721391461,0.212431352481,35.4956109781,2.17765,0.162750965475,28.9431460792,7.00597170106,17.2072,0.182895072126,28.7629,0.543121906835,31,28.152512457,-0.0480338507661
0.587223,35.8445448233,2.27931,0.0931222,26.1482077742,-2.44994,2.28003576096,2.27991632797,5.88516022462,73.8952234971,72.8881851308,0.178793715003,35.9927447633,2.27759,0.179708325276,29.7315520368,9.05466008203,17.2723,0.178541914302,29.4782,0.531668646973,32,24.4395869621,-0.0364750947744
0.584355,34.802258187,2.36689,0.0953873,26.0563239638,-2.54484,2.36728720715,2.36711216568,10.2755279025,75.2700031568,72.2247878709,0.192702166826,34.5248747946,2.36518,0.18159658694,28.4369171699,8.11513456642,17.4221,0.170196797107,30.1208,0.53957355921,33,26.034820195,-0.0410545329304
0.589254,38.6513565081,2.4616,0.102563,28.2473067137,-2.63178,2.46166890051,2.46153684509,2.95248397918,74.5535747785,75.3586888937,0.11704324224,64.8827115225,2.45977,0.185541881406,51.3890412173,11.5742569545,17.4766,0.431998282383,30.7753,0.548940436361,34,13.9472639974,-0.0181559379921
0.606224,66.0564722094,2.53577,0.108984,14.0660133868,-2.708,2.53549785773,2.53537781492,11.8455292156,78.4269401787,73.5574377714,0.0439699038228,69.232422841,2.53374,0.190737797667,54.486801947,14.1914705359,17.5569,0.458901723014,31.3914,0.569885021603,35,4.68003688175,0.0149993253553
0.606684,68.6444854641,2.62629,0.118817,13.7371199391,-2.80117,2.62568310911,2.62546114658,8.1006050415,74.7038620959,85.8868967464,0.109471493374,65.9259773705,2.62423,0.195956300131,52.2128681624,9.04537390489,17.6478,0.441585349924,32.0429,0.543227170658,36,12.6919872767,-0.0299002599521
0.623674,59.8591061073,2.7015,0.124143,22.6005105858,-2.88588,2.70131392337,2.70115597041,9.40784786011,91.0265493436,82.7950829211,0.145665760098,64.9818729241,2.69967,0.19749378865,51.1090207407,7.89072807059,17.746,0.412541332436,32.6838,0.530987294999,37,16.1218188825,-0.103614594424
0.640335,67.3385194752,2.79836,0.139125,10.4778538039,-2.98143,2.79837122579,2.79813506905,32.9882105424,78.8835309934,82.1179745368,0.0628691971128,68.4653459754,2.79659,0.208005334109,53.7780459009,13.8384360036,17.8337,0.45131173332,33.343,0.554174531132,38,7.81601906549,0.00676905716004
0.6416,67.8045166247,2.87168,0.152876,9.02409714722,-3.0605,2.87159265041,2.87139838203,31.3817327962,79.7357464225,77.9251707849,0.107068310553,65.218530967,2.86965,0.218329097887,51.3194923026,12.549115938,17.93,0.416774625376,34.0078,0.52235880944,39,13.8777166709,0.00300186873543
0.652332,64.5059784491,2.95953,0.143995,14.4857262782,-3.15718,2.9587246105,2.95840380615,17.7345661188,79.9850012816,82.3800837575,0.0682763422028,66.7895112836,2.95762,0.209248537117,52.5351361032,16.6659582813,18.0501,0.42365604273,34.6071,0.540975592053,40,9.62734848587,0.0242691717787
0.684101,68.0578065414,3.03925,0.150056,7.63236294752,-3.24561,3.03837189915,3.03819618904,43.6318711687,78.2829583605,79.9078228972,0.071884459224,65.4548041779,3.03702,0.213470846809,51.8485583181,13.7028860216,18.1762,0.419804053839,35.1721,0.539029125904,41,10.16952387,0.006193119431
0.725005,67.0857364221,3.14018,0.149041,8.725970413,-3.34557,3.14025269348,3.1399961264,34.9247180895,74.8404981312,80.6944663072,0.059518449212,66.046839846,3.13826,0.213205342586,52.4739529188,17.4142302974,18.2499,0.439244191866,35.7074,0.516083013344,42,7.47975683832,0.0368042766729
0.728502,63.6421794597,3.234,0.155787,12.4182262607,-3.45792,3.23327132011,3.23311387254,8.51245270791,76.8300350619,72.4608040887,0.0526943122298,66.5255504349,3.23209,0.214880340701,52.7407750609,12.7176197124,18.3102,0.433773690615,36.2603,0.509049480431,43,7.17882104156,-0.0119889956634
0.738412,63.458952622,3.33404,0.166229,16.4892831672,-3.55009,3.33334252999,3.33296088188,1.74520793761,73.4388766364,73.2197238089,0.0344944962622,66.281902504,3.33175,0.222215912296,52.9331511169,25.7004211846,18.3691,0.461893845372,36.7981,0.516836195667,44,3.69892262136,0.100478067841
0.756574,64.6929554343,3.43205,0.17766,11.6147467498,-3.66668,3.43228752167,3.43211363561,11.2417925867,74.709443952,71.9858162407,0.0215770357536,68.8507845954,3.42967,0.229804841394,54.7549576734,63.3990838432,18.4267,0.49715414153,37.369,0.572839904528,45,2.16118986911,0.425150560253
0.751656,67.4128362309,3.52665,0.16361,5.99953534948,-3.76077,3.52587538129,3.52563640298,41.9433067246,75.6006157559,74.1757113541,0.0202522776305,68.1187657111,3.52432,0.221454908693,54.3079360195,62.080629717,18.5003,0.493537388323,37.8536,0.542964171193,46,2.2618941907,0.436192109902
0.766202,65.1520286043,3.62087,0.167475,11.7154557942,-3.84998,3.62060015511,3.62014754623,17.4659498719,75.3066941263,71.5403128806,0.0186909020473,68.8715769306,3.61878,0.221354295404,54.7847385527,61.2628425537,18.5598,0.497574265117,38.3415,0.550838770856,47,2.24464386267,0.443974295834
0.743713,67.8946354733,3.7034,0.16094,7.14229787442,-3.93028,3.70341780327,3.70305507479,35.0132766423,75.5557480708,73.3492735195,0.0196716967103,69.4930583246,3.70123,0.21570148329,55.2107034418,64.4063765048,18.6314,0.503681652378,38.7791,0.557256381422,48,1.92180516998,0.447679276839
0.74381,66.2749670433,3.74866,0.18112,12.9022295707,-3.97659,3.74845617403,3.74820634767,5.30117288078,76.5312433398,72.9217471299,0.0217412680983,69.8686344922,3.74618,0.226044016388,55.4074901547,61.9627652314,18.7059,0.502670640264,39.2833,0.565271889343,49,2.41347693429,0.448244053986
0.753086,66.9228313116,3.81598,0.184303,11.2146597241,-4.03562,3.81520996269,3.8150114255,13.9960825908,76.097595457,73.5191083839,0.018018245717,69.0739735739,3.81361,0.231956497956,54.8660902928,64.3652248194,18.8228,0.491844714689,39.7705,0.533210897159,50,1.9597497679,0.435353648717
0.7575,67.842695557,3.86813,0.186929,7.6503815651,-4.08962,3.8704612195,3.86994306681,33.7648273653,76.6655033297,73.3173966977,0.0201283677253,69.0659021835,3.86556,0.228475056456,54.9564191629,62.3568797557,18.9414,0.505229969891,40.2645,0.580333828484,51,2.33647581684,0.424385050592
0.767795,68.7811781177,3.91034,0.186303,1.59228970531,-4.12651,3.91148879394,3.9110286068,65.8501368863,73.85616249,72.3948406406,0.0249543747794,68.0825548867,3.90788,0.226442150943,54.2871265187,41.0947388849,19.0358,0.491246435898,40.7486,0.543574089012,52,2.72063318633,0.286153934827
0.742357,64.5650362514,3.96039,0.181369,14.8061567017,-4.16847,3.96086063572,3.96058347602,10.4380531181,77.8004322351,76.9416280302,0.0216336084535,68.2592758389,3.95811,0.224076127909,54.4224359712,62.6961018767,19.1026,0.494836922733,41.2707,0.561916640427,53,2.36533492579,0.432119755744
0.740684,67.305432106,3.99732,0.184838,6.68073126249,-4.20306,3.99762492867,3.99728009766,39.5414055921,75.1305344531,75.5355812124,0.0209487549774,68.7903167396,3.99521,0.222077990802,54.8100605707,63.3833887155,19.1925,0.500220712993,41.7446,0.551932238938,54,1.93564397574,0.443509757185
0.747503,66.6094999069,4.02311,0.178458,9.48533706137,-4.23409,4.02360411526,4.02298482883,22.0156441074,75.381103361,72.5648124777,0.0237112762712,68.7523758956,4.02115,0.218398366697,54.7659906234,61.4526779658,19.2695,0.501021134693,42.2054,0.579927498681,55,2.23172461141,0.444188900063
0.755754,66.3990455795,4.0602,0.190379,7.61734099802,-4.26011,4.05962368066,4.05922075734,31.6464767961,76.5270814326,74.5715164789,0.0217473077213,68.6334219061,4.05753,0.222791349862,54.6703574932,63.7577296773,19.3354,0.49905443215,42.7243,0.562340869991,56,2.08612118431,0.438651370632
0.754755,66.4361881387,4.08852,0.178238,6.87602029993,-4.29843,4.08809885859,4.08772411937,42.9219989424,75.7733651337,73.1283970501,0.0217983427021,68.382015276,4.08623,0.214744870138,54.5429208836,62.8054760204,19.4073,0.499718021394,43.125,0.575206994359,57,2.25545785841,0.427607803524
0.751762,68.3960222579,4.13246,0.172568,5.44748291001,-4.35349,4.13212763995,4.13150546875,45.3589154011,74.6019647493,73.4486961695,0.020943803548,68.5817426425,4.13003,0.213711428297,54.6486316727,63.2781182207,19.4982,0.500164148728,43.5933,0.564759858315,58,2.06203839286,0.444163123491
0.760373,69.2652701902,4.15542,0.189829,2.47499717241,-4.36677,4.15473823936,4.15450422312,65.6748566159,74.66781424,75.0903200398,0.0221610902929,68.5074731962,4.15298,0.220067645963,54.5644995429,63.2008543289,19.5572,0.499326950335,44.077,0.567560031755,59,2.28170245535,0.430708458624
