AverageQ,AveragePolicySurr,StdEsReturn,MaxReturn,AverageAbsY,QFunRegParamNorm,AverageAbsQ,MinEsReturn,Epoch,Iteration,MinReturn,PolicyRegParamNorm,AverageAction,AverageEsReturn,AverageReturn,AverageY,AverageDiscountedReturn,StdReturn,AverageQLoss,AverageAbsQYDiff,MaxEsReturn
-0.355505,-0.208193,35.4828753919,-0.166766987553,2.61721170178,11.4922,0.962386,-350.477626658,9,9,-97.3556225065,11.7096,0.00646929,-300.99676122,-14.2175736167,2.61721170178,-5.52085903361,28.3342780007,13.1954,2.97271697825,-246.762411139
1.15181,-1.79725,0.0,-597.423730488,1.17048129326,11.6388,1.15394,-295.813057675,10,10,-601.474067942,12.2705,0.994953,-295.813057675,-599.459024188,1.17044094332,-62.105356552,1.04646737238,0.257191,0.333474210395,-295.813057675
1.1339,-1.48551,0.0,-606.180623126,1.14193410342,11.713,1.1339,-283.61863416,11,11,-691.45765462,12.7254,0.991567,-283.61863416,-649.718272295,1.14185722933,-70.1446425517,33.9587410593,0.0410878,0.154657919642,-283.61863416
1.20917,-1.30363,0.0,-729.249746261,1.2118038641,11.6887,1.20917,-358.494767949,12,12,-737.714305065,13.3716,0.999738,-358.494767949,-732.831265022,1.21172073513,-76.1672263224,2.68271568983,0.0198197,0.107207348371,-358.494767949
1.19786,-1.34383,0.0,-560.839967282,1.19976290352,11.6871,1.19786,-462.358808097,13,13,-562.729203188,13.9917,0.946082,-462.358808097,-561.416620064,1.19971200281,-47.950830884,0.631252529734,0.0158645,0.0963359621118,-462.358808097
1.25726,-1.40351,0.0,-589.433056629,1.25907565267,11.7167,1.25726,-467.372838838,14,14,-595.709633005,14.3687,0.999999,-467.372838838,-592.298522477,1.25901169373,-51.6730870586,2.01538249378,0.0117803,0.0821656589521,-467.372838838
1.30157,-1.35854,0.0,-589.376500873,1.30269631696,11.8498,1.30157,-418.811111539,15,15,-598.919233756,14.5951,0.999999,-418.811111539,-592.275139071,1.3026151006,-51.4246623345,2.52638260387,0.00967807,0.0712954194574,-418.811111539
1.29136,-1.32983,0.0,-590.146746818,1.2922016302,12.0029,1.29136,-439.106494034,16,16,-595.403248841,14.9682,0.999998,-439.106494034,-592.245056845,1.29212853985,-51.7437680886,1.58737721809,0.0083049,0.0654567134559,-439.106494034
1.25933,-1.28796,0.0,-589.416283563,1.25970461535,12.2027,1.25933,-427.427173401,17,17,-592.520417879,15.812,0.999636,-427.427173401,-591.465385263,1.2596379595,-52.0201792905,0.987886274148,0.00726766,0.0607966663967,-427.427173401
1.21499,-1.21844,0.0,-577.040182193,1.21546717772,12.4486,1.21499,-385.447089934,18,18,-579.594585935,16.0683,0.970796,-385.447089934,-578.004573805,1.21538183813,-51.9994268766,0.931921163657,0.00699876,0.0584966628564,-385.447089934
1.15222,-1.14931,0.0,-620.701495122,1.15242393023,12.7104,1.15222,-403.956623746,19,19,-624.421206769,16.7876,0.967786,-403.956623746,-622.105115035,1.15233578295,-59.5914867481,1.18421574032,0.00590808,0.0523207900014,-403.956623746
1.09729,-1.12307,0.0,-501.858019467,1.09751995797,13.0079,1.09729,-421.243907783,20,20,-508.308813354,17.1788,0.954959,-421.243907783,-504.98927475,1.09742740427,-52.8752325157,1.88080442929,0.00484899,0.0480948973263,-421.243907783
1.07175,-1.13569,0.0,-427.922927672,1.07198062231,13.3439,1.07175,-441.567431278,21,21,-556.763249048,17.8144,0.594454,-441.567431278,-474.334240843,1.07188891042,-40.7589947924,34.0973070987,0.00455148,0.0470592817895,-441.567431278
1.08971,-1.17086,0.0,-254.682500215,1.09013602264,13.751,1.08971,-578.020748325,22,22,-523.057705238,18.2564,0.663363,-578.020748325,-431.695115886,1.09006493619,-28.1593021566,77.347961268,0.00480488,0.0486293507563,-578.020748325
1.10804,-1.17679,0.0,-296.380223087,1.10853564154,14.1703,1.10804,-418.589682756,23,23,-349.26205261,18.7347,0.538432,-418.589682756,-313.49366288,1.10841518767,-27.6484582911,14.857845186,0.00585466,0.0501570738671,-418.589682756
1.1214,-1.1856,0.0,-207.13247608,1.12180601307,14.6035,1.1214,-358.053695982,24,24,-611.556761914,18.9267,0.541771,-358.053695982,-299.752697453,1.12171846363,-17.2145976769,105.912541658,0.00562631,0.0494015045075,-358.053695982
1.12286,-1.20177,0.0,-399.13495986,1.12326644342,15.0572,1.12286,-317.514726975,25,25,-420.519009196,19.3131,0.730426,-317.514726975,-411.078231171,1.12316044889,-23.2149952374,7.12317997787,0.00558918,0.0484299296501,-317.514726975
1.14182,-1.2225,0.0,-81.1794602907,1.14224718467,15.5527,1.14182,-290.173852962,26,26,-169.722869794,19.5347,0.67224,-290.173852962,-106.019760673,1.14215335571,0.913164580838,26.8371763126,0.00571922,0.0496217845408,-290.173852962
1.16121,-1.2382,0.0,-186.370956614,1.16154835588,15.968,1.16122,-269.351428945,27,27,-257.073664995,19.7702,0.581406,-269.351428945,-205.829000312,1.16148351024,-11.6031506578,19.4736400284,0.005409,0.0482613762339,-269.351428945
1.17717,-1.25129,0.0,-225.784911969,1.17765941284,16.396,1.17717,-163.758624756,28,28,-247.73548224,20.1209,0.45279,-163.758624756,-237.85456523,1.17758678419,-4.8537198033,5.95848308615,0.00556479,0.0482843550009,-163.758624756
1.19856,-1.27984,0.0,-86.3595151353,1.1989444077,16.8503,1.19856,-167.162252427,29,29,-140.795522981,20.6295,0.575173,-167.162252427,-115.392854774,1.19887986342,0.131475698467,16.4238924623,0.00542162,0.04809531888,-167.162252427
1.22155,-1.30029,0.0,65.6388283466,1.22194956895,17.2988,1.22155,-146.328996167,30,30,-22.172806889,21.0685,0.593762,-146.328996167,13.4514256659,1.22189003171,11.2940297899,30.6434248376,0.00571228,0.0479839913735,-146.328996167
1.23836,-1.3182,0.0,-194.417498773,1.23879696576,17.7438,1.23836,-86.6090870794,31,31,-253.96777347,21.4735,0.649878,-86.6090870794,-226.784818786,1.23872374259,-7.41959556447,19.9674561264,0.00604117,0.0481829692498,-86.6090870794
1.2661,-1.34977,0.0,3.49780979238,1.26650776725,18.128,1.2661,-119.328315203,32,32,-83.7650596445,21.884,0.648444,-119.328315203,-36.0686661583,1.26644972447,10.3885051585,27.7187868266,0.00565129,0.0480706727946,-119.328315203
1.28779,-1.36867,0.0,187.445316144,1.28818463808,18.5349,1.28779,-56.5093120214,33,33,80.6932595857,22.2693,0.635433,-56.5093120214,125.221901972,1.28810163798,23.9393033494,30.9685527693,0.00606392,0.0484460507855,-56.5093120214
1.31775,-1.39612,0.0,154.181615036,1.3181138966,18.9586,1.31775,-8.17676283654,34,34,21.504497534,22.6946,0.672521,-8.17676283654,89.868422399,1.31807221782,14.5576963818,33.8912658563,0.00623916,0.0501903736816,-8.17676283654
1.33109,-1.39828,0.0,-188.25480076,1.33131437566,19.2165,1.33109,-26.2034114176,35,35,-192.301840119,22.9956,0.340919,-26.2034114176,-190.008444665,1.33126782898,-11.9166999854,1.2897879811,0.00549274,0.048237037248,-26.2034114176
1.342,-1.41039,0.0,102.459158662,1.34237963365,19.569,1.342,-67.8491125169,36,36,-242.750062295,23.4001,0.691055,-67.8491125169,-31.4538625228,1.34229173377,-13.5783210248,118.681997945,0.00596046,0.0495792372647,-67.8491125169
1.35316,-1.42317,0.0,-39.1586289624,1.35345986587,19.9226,1.35316,-73.9384773396,37,37,-70.5156357542,23.8088,0.512956,-73.9384773396,-60.9861032711,1.35336429866,-4.66887565529,9.04824498809,0.00733194,0.0508787059562,-73.9384773396
1.37629,-1.4406,0.0,257.19806208,1.37661411347,20.2272,1.37629,4.54884897711,38,38,-170.791108783,24.1593,0.73173,4.54884897711,-22.9546288747,1.37652295927,18.1308374795,119.824027945,0.00544051,0.0487324730022,4.54884897711
1.39616,-1.46044,0.0,644.472379596,1.39645396014,20.5427,1.39616,53.2723279312,39,39,552.228147559,24.4789,0.587313,53.2723279312,619.799611378,1.39639287797,55.5618624273,32.1414457751,0.00643877,0.0508809194504,53.2723279312
1.41163,-1.47674,0.0,569.067967187,1.41196913399,20.808,1.41163,-104.26321297,40,40,198.765042984,24.8811,0.681241,-104.26321297,483.993993182,1.41189322255,45.9139829393,116.559932899,0.00592304,0.0505176881557,-104.26321297
1.42221,-1.48714,0.0,570.211265236,1.42251795868,21.1397,1.42221,30.5791519347,41,41,443.271472566,25.1729,0.737562,30.5791519347,492.092513456,1.42245847078,48.5926742935,38.409250653,0.006866,0.0518755533192,30.5791519347
1.43259,-1.49582,0.0,406.383950387,1.43280402551,21.3826,1.43259,90.5710984651,42,42,200.634468231,25.4141,0.682334,90.5710984651,309.846138344,1.43274042253,35.380696239,62.5285487322,0.00562091,0.0496880302964,90.5710984651
1.45776,-1.51838,0.0,971.330487108,1.45807658545,21.6775,1.45776,144.532494696,43,43,810.38308146,25.7019,0.608324,144.532494696,905.770784866,1.45797314129,77.7251675213,47.4962495616,0.007422,0.0524904508669,144.532494696
1.47714,-1.53543,0.0,529.017047458,1.47728180013,21.8738,1.47714,184.130296996,44,44,-216.16380653,25.9383,0.609357,184.130296996,165.834284749,1.47725021177,24.3012448446,311.264941781,0.0058121,0.0509920874462,184.130296996
1.48557,-1.54284,0.0,246.530855416,1.48590093586,22.2712,1.48557,112.709028922,45,45,-375.241730921,26.2257,0.792347,112.709028922,84.0162168115,1.48578376885,17.011138975,228.827187885,0.00745397,0.052773423736,112.709028922
1.48694,-1.54355,0.0,414.139260688,1.48716897009,22.6229,1.48694,278.62777576,46,46,-537.776869995,26.5857,0.858897,278.62777576,-371.08831692,1.48708550681,-23.0253835785,277.687634293,0.00733913,0.0540649873062,278.62777576
1.50933,-1.56553,0.0,614.061149438,1.50960809347,22.974,1.50933,255.427628807,47,47,-384.456385731,26.7772,0.842318,255.427628807,-282.944280152,1.50949841801,-30.6399792604,299.006473805,0.00797488,0.0542108512809,255.427628807
1.5203,-1.57433,0.0,-271.194340905,1.52046549021,23.2272,1.5203,325.190378289,48,48,-284.61051659,27.0223,0.659821,325.190378289,-276.76426751,1.52040435128,-27.2573920824,3.67601193973,0.00640456,0.0519733827297,325.190378289
1.55331,-1.61183,0.0,566.308834326,1.55371559097,23.5437,1.55331,254.499238204,49,49,-302.231141366,27.2851,0.719575,254.499238204,256.598115303,1.55364324358,38.7682033337,278.271105427,0.006553,0.053182474584,254.499238204
1.58092,-1.64022,0.0,-722.858466961,1.58119104765,23.8749,1.58096,274.659232608,50,50,-781.112408354,27.5194,0.740979,274.659232608,-757.487451649,1.58110380816,-48.2816050884,15.635010101,0.007075,0.0539053888333,274.659232608
1.60541,-1.66494,0.0,714.611772541,1.60577348828,24.227,1.60541,184.838464851,51,51,404.329047086,27.8832,0.796947,184.838464851,568.679175128,1.60568687496,56.1091827735,93.9320777468,0.00860857,0.0568503484225,184.838464851
