AverageEsReturn,AverageAbsY,AverageReturn,AverageAbsQYDiff,Epoch,MinEsReturn,AverageAbsQ,AverageQ,MinReturn,AverageQLoss,QFunRegParamNorm,AveragePolicySurr,MaxEsReturn,StdEsReturn,PolicyRegParamNorm,StdReturn,MaxReturn,AverageDiscountedReturn,AverageAction,AverageY,Iteration
-177.732141436,1.70269979003,109.527579706,1.23348335958,9,-252.608949168,0.699404,0.623321,79.921025516,2.2163,11.5827,-1.03328,-64.3983468499,52.9107459552,11.7789,19.4839434389,138.725345256,7.13461735505,0.222071,1.67510506246,9
-310.813575818,0.828102555383,-579.616438432,0.393020904776,10,-310.813575818,0.775358,0.697169,-580.614309904,0.299795,12.1266,-1.62981,-310.813575818,0.0,12.2986,0.592778943286,-578.700159349,-55.4935644619,0.970726,0.70966082946,10
-439.045364984,0.866930273752,-585.284794885,0.262962566167,11,-439.045364984,0.831099,0.707207,-586.798730743,0.121429,12.6955,-1.77539,-439.045364984,0.0,13.6008,1.07591232141,-583.284792239,-51.5111702295,0.98893,0.709729566107,11
-400.242917335,1.2802495892,-416.10099696,0.267695097748,12,-400.242917335,1.25417,1.1128,-446.777972561,0.126727,13.4125,-2.0981,-400.242917335,0.0,14.8763,20.5036660867,-379.962169906,-38.1216470579,0.924402,1.11415118818,12
-394.280099474,1.71072376914,-524.608238091,0.30256270041,13,-394.280099474,1.68155,1.53799,-663.861913663,0.169706,14.1213,-2.50139,-394.280099474,0.0,15.5706,116.124942998,-293.462998062,-18.5055343359,0.920068,1.54190237363,13
-230.216494392,2.1246472547,-440.536222517,0.315044187897,14,-230.216494392,2.09987,2.02005,-489.989503786,0.182393,14.7814,-2.78774,-230.216494392,0.0,15.8663,26.4875745841,-394.343430117,-30.85577204,0.805931,2.02345172275,14
-381.213197696,2.41150173752,-369.992462736,0.358782325979,15,-381.213197696,2.37589,2.29573,-467.678282565,0.254398,15.5413,-2.95427,-381.213197696,0.0,16.2835,72.8490266927,-190.581067219,-39.7613630795,0.779308,2.29829188322,15
-486.823380147,2.60899435245,-409.148783998,0.395117510351,16,-486.823380147,2.56848,2.46062,-456.971191606,0.306614,16.3511,-3.01549,-486.823380147,0.0,16.836,34.7756898021,-342.742832172,-31.2990380441,0.671847,2.46146499285,16
-367.363584659,2.70884559156,-290.167511139,0.41561130588,17,-367.363584659,2.66295,2.5328,-321.614191481,0.337886,17.1454,-3.03512,-367.363584659,0.0,17.3909,14.8250420405,-260.783354464,-24.6261515412,0.495166,2.53494919522,17
-312.903758643,2.83389534312,-321.325658757,0.424841057817,18,-312.903758643,2.79224,2.64198,-367.507680893,0.340085,17.9602,-3.15734,-312.903758643,0.0,17.8178,42.212428373,-246.84572007,-20.5598165302,0.599164,2.64321362762,18
-334.88645488,2.9312045139,-432.676982076,0.436710567526,19,-334.88645488,2.89054,2.7305,-508.067217463,0.369096,18.7973,-3.27728,-334.88645488,0.0,18.3509,52.5705690794,-340.36785857,-30.0109151463,0.550435,2.73219632634,19
-260.75949382,3.12844929004,-274.063777575,0.45028181851,20,-260.75949382,3.08934,2.91424,-377.992248355,0.394795,19.5702,-3.50625,-260.75949382,0.0,18.8936,56.5077569368,-184.83629877,-9.94524914599,0.514168,2.91572377194,20
-324.785508888,3.32386515342,-125.500248465,0.467868300919,21,-324.785508888,3.28373,3.11314,-271.536761284,0.433255,20.3016,-3.7131,-324.785508888,0.0,19.405,62.0349811763,-20.294336563,-1.11455973395,0.32934,3.11649126592,21
-228.847543421,3.51168530783,-58.9991924483,0.464440102717,22,-228.847543421,3.47483,3.31649,-219.788365205,0.422248,20.9083,-3.94111,-228.847543421,0.0,19.8867,86.6857978785,49.1058586182,-6.9269978733,0.279533,3.31964429511,22
-135.646179712,3.77012132142,-15.9857411231,0.473935731112,23,-135.646179712,3.73584,3.60063,-151.93966612,0.443623,21.5192,-4.2706,-135.646179712,0.0,20.342,84.1374203369,147.286399983,-0.0242768216064,0.264196,3.60325437214,23
-50.8223931772,4.05237072397,1746.58897637,0.479711395906,24,-50.8223931772,4.01959,3.91008,1670.90336013,0.455259,22.1133,-4.62564,-50.8223931772,0.0,20.7405,38.6345099323,1793.53615387,137.795131779,0.934647,3.91518865012,24
-51.9073737591,4.375933419,32.5402051407,0.489369374019,25,-51.9073737591,4.34779,4.25378,-25.4902849012,0.47787,22.638,-4.97807,-51.9073737591,0.0,21.1838,34.9077145894,100.795839842,20.3096146299,0.557357,4.25828187866,25
100.642301572,4.6998862386,850.490714644,0.496639172701,26,100.642301572,4.67406,4.59635,23.7755719051,0.499905,23.2116,-5.35726,100.642301572,0.0,21.7097,798.116988414,1861.37263863,78.2335476109,0.764974,4.60193113568,26
65.9732925149,5.27400458988,562.052362464,0.513336574932,27,65.9732925149,5.25303,5.20014,111.182314114,0.532179,23.7475,-6.00641,65.9732925149,0.0,22.2465,472.51090465,1470.22815971,35.6389107967,0.730449,5.20428462456,27
443.976004263,5.87051583153,544.91285978,0.550434950848,28,443.976004263,5.8489,5.80104,283.306646672,0.626231,24.2787,-6.6257,443.976004263,0.0,22.8062,137.666471541,708.206608037,45.9659738164,0.81685,5.80696860267,28
148.72337285,6.39416644423,389.48782051,0.565253633558,29,148.72337285,6.37343,6.33585,137.415721451,0.664651,24.7898,-7.16597,148.72337285,0.0,23.3042,120.001497349,562.669939579,25.7267634254,0.74464,6.34191991476,29
158.261959376,6.9099849453,390.213477946,0.583241329768,30,158.261959376,6.89206,6.86136,218.62315441,0.675942,25.3003,-7.72535,158.261959376,0.0,23.7709,77.9277384923,497.603364807,20.2674051699,0.833235,6.86594621181,30
330.078141402,7.52271139322,468.582893831,0.605399025296,31,330.078141402,7.50372,7.48111,-414.504336841,0.762808,25.8016,-8.35494,330.078141402,0.0,24.2454,370.546266483,976.832756967,85.434086824,0.822976,7.48869532946,31
301.050300113,8.08944941383,866.776355168,0.614560913899,32,301.050300113,8.0765,8.05807,463.036350376,0.796011,26.2988,-8.94933,301.050300113,0.0,24.7107,388.499672321,1605.23589267,100.350379181,0.841115,8.06450219141,32
342.518559803,8.76008515197,807.973349458,0.647412110081,33,342.518559803,8.74259,8.72747,556.149872345,0.883102,26.7625,-9.64153,342.518559803,0.0,25.1706,193.364305625,1132.98205137,62.7584549357,0.918327,8.73541912008,33
370.079435628,9.61041919118,529.405815967,0.665389430744,34,370.079435628,9.59495,9.58224,487.400624017,0.925052,27.2356,-10.5309,370.079435628,0.0,25.561,40.0242950433,607.117452646,36.3577857276,0.833354,9.59042068054,34
64.2547887178,10.1835257096,460.805734859,0.670591707654,35,64.2547887178,10.1687,10.1549,-315.276520033,0.940207,27.7358,-11.098,64.2547887178,0.0,25.9152,283.312791355,742.24113817,52.6626019049,0.859252,10.1620533925,35
379.629769118,10.9204395826,1379.48546062,0.713639049685,36,379.629769118,10.9054,10.895,822.47728118,1.1774,28.1112,-11.8331,379.629769118,0.0,26.2642,221.158910462,1621.1490361,126.213191735,0.900407,10.9043150394,36
382.995587029,11.9412354171,958.870927468,0.718805790916,37,382.995587029,11.927,11.919,644.864415341,1.16838,28.5284,-12.8482,382.995587029,0.0,26.5937,142.997740616,1113.99332189,79.2512234101,0.884323,11.9283436504,37
675.899137964,12.9641948631,1146.4067447,0.739759407525,38,675.899137964,12.9504,12.9432,186.190169309,1.28656,28.9494,-13.8851,675.899137964,0.0,26.9954,372.831220708,1430.37050681,114.777987238,0.889739,12.9506636046,38
572.544889726,13.6212772625,922.927436863,0.722266459529,39,572.544889726,13.6085,13.6026,581.360145514,1.11469,29.2717,-14.5411,572.544889726,0.0,27.2902,309.254198112,1530.91533574,101.286832722,0.850384,13.6109206204,39
363.726345788,14.4371580528,1477.34079338,0.750321795753,40,363.726345788,14.4254,14.4237,575.326419096,1.23292,29.6402,-15.3806,363.726345788,0.0,27.5686,420.136970876,1839.80623686,147.052986935,0.894865,14.4325152767,40
520.365173093,15.2038536991,933.747873847,0.769685337199,41,520.365173093,15.1915,15.1884,628.000162906,1.33696,29.9849,-16.1449,520.365173093,0.0,27.8477,231.822330866,1309.583112,131.054012109,0.874142,15.1977367749,41
376.108055637,16.0185436448,726.4982335,0.763320499532,42,376.108055637,16.0068,16.0041,608.251206289,1.27688,30.3508,-16.9711,376.108055637,0.0,28.168,102.332369091,968.667747613,116.443841696,0.813466,16.0141295592,42
598.758772927,16.9015330942,764.075267723,0.782170201615,43,598.758772927,16.8908,16.89,581.803798427,1.38197,30.7171,-17.8648,598.758772927,0.0,28.4775,128.267673948,1021.79708976,125.967934559,0.816325,16.8991455721,43
637.113035492,17.7232256058,716.778734191,0.796703529185,44,637.113035492,17.7138,17.7127,-317.592514223,1.426,31.1277,-18.6989,637.113035492,0.0,28.801,366.482403007,1083.77041093,121.747390083,0.828224,17.7214340207,44
574.333681132,18.6297527678,648.059815242,0.837946714952,45,574.333681132,18.6193,18.6185,-475.28900826,1.80738,31.5635,-19.6518,574.333681132,0.0,29.1613,381.518528194,954.26835878,92.6350872452,0.838642,18.6275771989,45
560.411550185,19.4199432487,502.58952539,0.852681628051,46,560.411550185,19.4078,19.4073,-495.03680422,1.81237,31.9298,-20.4323,560.411550185,0.0,29.4619,372.139368189,1039.3526489,130.061853065,0.846459,19.4178814861,46
486.679124235,20.3271415089,732.432652027,0.861272151346,47,486.679124235,20.3161,20.3155,552.102026171,1.92332,32.2729,-21.3833,486.679124235,0.0,29.731,136.552666012,1062.04964803,146.947657987,0.831811,20.3248694345,47
585.087699392,21.2339233771,1411.08794785,0.876427205718,48,585.087699392,21.2233,21.2232,827.013117502,1.86952,32.6389,-22.2827,585.087699392,0.0,30.0178,622.489538359,2484.72210719,165.00243331,0.869834,21.2334711254,48
526.779867628,22.2151134947,1822.69566328,0.902265050605,49,526.779867628,22.2049,22.2049,811.619976071,2.01606,33.0479,-23.2768,526.779867628,0.0,30.2952,574.040530916,2433.11465055,191.612294177,0.867314,22.2142395658,49
477.724517454,23.2533211398,1842.13417979,0.935649279947,50,477.724517454,23.2398,23.2398,1064.68458604,2.08334,33.4194,-24.3348,477.724517454,0.0,30.5822,554.731997948,2872.0267752,228.020719454,0.858899,23.2523498817,50
1501.59646166,24.3374060142,917.604053842,0.953895947658,51,1501.59646166,24.3255,24.3255,140.514356367,2.31541,33.7896,-25.402,1501.59646166,0.0,30.7808,399.326305657,1597.15841517,164.135186672,0.826532,24.3365807884,51
573.556852964,25.2521439037,2227.23682767,0.99935656378,52,573.556852964,25.2413,25.2413,1537.45425269,2.75205,34.2135,-26.345,573.556852964,0.0,31.1145,501.666829354,2944.892656,226.851588363,0.883407,25.2513232324,52
671.270910142,26.4069132975,2344.18773248,1.00786357907,53,671.270910142,26.3945,26.3945,1169.85122642,2.52775,34.578,-27.4976,671.270910142,0.0,31.3327,405.650863451,2685.77719463,215.942076665,0.882582,26.4062761622,53
702.957047672,27.4918866809,2541.47330107,1.00578706088,54,702.957047672,27.4831,27.4831,1606.49880099,2.40722,34.9479,-28.6242,702.957047672,0.0,31.6583,424.296768179,2816.4276145,226.993791394,0.888834,27.4913421873,54
748.55764857,28.7149348955,1665.09058587,1.04671329489,55,748.55764857,28.7012,28.7012,779.245064946,2.95595,35.3442,-29.8549,748.55764857,0.0,31.9543,693.844304719,2891.25219653,199.410966653,0.880284,28.7143790538,55
1210.24024413,30.0259309736,1003.98648914,1.05623431374,56,1210.24024413,30.0135,30.0135,398.281878032,3.05279,35.7463,-31.2059,1210.24024413,0.0,32.2126,348.318551164,1521.23005617,165.42125102,0.849511,30.0253025966,56
1729.66934271,31.7682102364,2766.62460032,1.09349432812,57,1729.66934271,31.7552,31.7552,1072.64664353,3.10214,36.0968,-32.9517,1729.66934271,0.0,32.4855,820.601196134,3378.2541512,257.408472144,0.896569,31.7676496535,57
871.999057542,33.151218069,2189.0088287,1.12923002859,58,871.999057542,33.1374,33.1374,961.945977036,3.78483,36.5247,-34.3952,871.999057542,0.0,32.7961,792.032875741,3181.93992884,233.471782848,0.885046,33.1505878946,58
1458.50606881,34.531023504,1715.72224347,1.13324006391,59,1458.50606881,34.5198,34.5198,1075.40962238,3.49425,36.8931,-35.7609,1458.50606881,0.0,33.1266,540.449777409,2974.6316126,256.5385542,0.87619,34.5304428507,59
1507.13468061,35.7158839814,1424.76023918,1.1700272457,60,1507.13468061,35.7,35.7,664.712633806,3.94206,37.2667,-36.9666,1507.13468061,0.0,33.4676,730.146302861,3388.28918425,234.229583821,0.865234,35.7153265418,60
622.62051795,36.7394135009,911.5580938,1.17929500132,61,622.62051795,36.7268,36.7268,767.132610927,4.06423,37.6467,-38.0227,622.62051795,0.0,33.7446,68.5895977809,993.028630216,129.050243656,0.846314,36.7387254354,61
653.00602924,37.8483662797,1870.50363223,1.17534051517,62,653.00602924,37.8344,37.8344,617.520794319,4.14365,38.0314,-39.0902,653.00602924,0.0,33.9849,974.108774398,3576.13866011,248.013597187,0.854573,37.8479910522,62
570.375168016,39.2756048448,1557.21382756,1.20265481147,63,570.375168016,39.2612,39.2612,952.105058443,4.15935,38.3826,-40.5501,570.375168016,0.0,34.2806,607.880164135,2820.5533298,214.99329844,0.861709,39.2748898747,63
1499.2358702,40.815664873,1450.28937716,1.23622279883,64,1499.2358702,40.8011,40.8011,867.162524016,4.59645,38.8067,-42.1351,1499.2358702,0.0,34.5689,524.624895493,2648.25863182,218.182740365,0.863595,40.8149660193,64
2243.01077438,42.6063153668,857.350452533,1.24811570118,65,2243.01077438,42.5933,42.5933,719.185673858,4.68039,39.1538,-43.945,2243.01077438,0.0,34.8411,109.520781455,1020.07170006,140.605846367,0.863775,42.6057472887,65
989.9066589,43.8565106393,2473.19214823,1.25723052027,66,989.9066589,43.842,43.842,1373.40132898,5.36411,39.4758,-45.191,989.9066589,0.0,35.1661,570.409566367,2975.79600935,237.012497278,0.886982,43.8561633613,66
975.828667366,45.3018699405,1983.82249572,1.27797669126,67,975.828667366,45.2892,45.2892,716.504858093,5.14079,39.7925,-46.6653,975.828667366,0.0,35.4493,1031.64368737,3171.11692672,230.526998799,0.892897,45.3008697172,67
985.055806702,46.6337764439,1171.36576253,1.30833658555,68,985.055806702,46.6157,46.6157,562.500230937,5.46451,40.1392,-48.0101,985.055806702,0.0,35.6927,422.976513755,1794.11810181,207.437957525,0.886176,46.6333222034,68
1114.01260476,47.8645597642,1336.70135993,1.32374093442,69,1114.01260476,47.8502,47.8502,917.036961992,5.40189,40.5328,-49.2334,1114.01260476,0.0,36.026,480.032269263,2590.02182568,203.021143726,0.851715,47.8638875063,69
568.66679754,48.8669135431,1130.78530436,1.29499999064,70,568.66679754,48.8517,48.8517,965.09044073,4.92719,40.832,-50.2741,568.66679754,0.0,36.2848,177.175800812,1451.36172413,132.543354262,0.826206,48.8664563043,70
957.295964131,49.6822422263,1161.61998253,1.34678236021,71,957.295964131,49.6692,49.6692,90.474626798,6.27598,41.2008,-51.0602,957.295964131,0.0,36.5266,508.417085469,2285.84609142,203.480656116,0.871163,49.6818237199,71
540.978105651,51.5216368569,2821.54388123,1.37253194723,72,540.978105651,51.504,51.504,848.850978986,6.06399,41.561,-52.896,540.978105651,0.0,36.7295,861.289188978,3377.35975382,239.395608509,0.903264,51.5209399111,72
2242.40129396,53.2132058712,2554.01083912,1.37778315473,73,2242.40129396,53.1989,53.1989,1258.01443317,6.53468,41.9031,-54.5527,2242.40129396,0.0,37.0537,637.095636205,3116.46467587,240.704771915,0.901823,53.2125434493,73
824.038281273,54.5401893481,2770.55209189,1.39453977033,74,824.038281273,54.5222,54.5222,1033.38755409,6.47568,42.1906,-55.9058,824.038281273,0.0,37.2826,1132.84512878,3797.26212147,282.746556253,0.885989,54.5395991078,74
2232.67319959,56.0768478128,1116.65963635,1.46112953417,75,2232.67319959,56.0588,56.0588,134.533072408,7.68054,42.569,-57.4933,2232.67319959,0.0,37.5134,540.845997475,1925.59806449,200.57385974,0.861828,56.0763198854,75
764.174024215,57.8139713922,2791.32002747,1.42496575064,76,764.174024215,57.8001,57.8001,517.451566663,7.26038,42.8802,-59.2236,764.174024215,0.0,37.7679,1043.03514246,3651.92313574,282.595779324,0.895416,57.8135856589,76
1249.95791267,59.025614912,2890.33881688,1.43423221622,77,1249.95791267,59.0109,59.0109,1100.39628565,7.42251,43.2088,-60.4291,1249.95791267,0.0,38.0203,790.672694313,3387.63096994,246.319350623,0.92276,59.0251408103,77
1632.90637617,60.9969640188,1869.7417621,1.49038772542,78,1632.90637617,60.9785,60.9785,770.569296124,8.70395,43.5585,-62.4289,1632.90637617,0.0,38.2984,942.617049123,3050.79496939,215.126332771,0.906906,60.9964566972,78
2324.10165868,63.224471764,2393.0687031,1.55186525764,79,2324.10165868,63.2084,63.2084,-226.187125523,10.0882,43.8845,-64.6404,2324.10165868,0.0,38.512,1300.22736383,3449.35852269,233.594669779,0.889128,63.2238675105,79
2333.93332174,64.9833626718,2404.94768132,1.51720233093,80,2333.93332174,64.9679,64.9679,1065.50557744,7.87476,44.1687,-66.4157,2333.93332174,0.0,38.8054,957.36042996,3649.26514046,273.324973942,0.894527,64.9826333293,80
2192.202158,67.3821982055,768.315229919,1.51707768181,81,2192.202158,67.3679,67.3679,-384.686614816,8.86449,44.5129,-68.8101,2192.202158,0.0,39.0895,549.355452174,1374.91496583,163.902036285,0.88718,67.3817868407,81
2497.22824228,69.4252410357,1958.20374345,1.54771903272,82,2497.22824228,69.4081,69.4081,812.789072929,8.0908,44.8777,-70.9242,2497.22824228,0.0,39.329,948.421875359,3223.70479076,209.581772856,0.912827,69.4247662521,82
1749.25073654,70.9794602159,846.564746467,1.56990186264,83,1749.25073654,70.9629,70.9629,-453.484796718,9.42921,45.1847,-72.4983,1749.25073654,0.0,39.5588,969.616883607,2973.3113792,190.858744091,0.918502,70.978835682,83
982.277543421,71.984554532,2617.75820521,1.57834516402,84,982.277543421,71.9669,71.9669,537.84076771,10.0693,45.5413,-73.4133,982.277543421,0.0,39.7345,1064.20879043,3790.80885607,287.955000145,0.916134,71.9841251744,84
600.053307182,72.7871589628,1873.28815006,1.49459473769,85,600.053307182,72.7729,72.7729,960.238798634,7.78918,45.853,-74.2366,600.053307182,0.0,39.9632,744.410471236,3047.08607108,238.195019055,0.894392,72.7867437918,85
951.603324673,74.2233316599,3404.03214834,1.58221941066,86,951.603324673,74.2083,74.2083,1951.82524785,10.4055,46.199,-75.6435,951.603324673,0.0,40.1969,510.10671835,3773.39624103,291.300796103,0.931551,74.2229634451,86
625.067313456,74.8760779436,1199.35381712,1.56470773949,87,625.067313456,74.8598,74.8598,-86.4695691728,10.1209,46.4814,-76.3047,625.067313456,0.0,40.3863,793.941681297,2280.35977192,228.75261978,0.903237,74.87586402,87
1493.84140049,77.0996675154,1773.07411735,1.60659965963,88,1493.84140049,77.0808,77.0808,360.491617056,11.2679,46.7996,-78.5661,1493.84140049,0.0,40.5626,1138.58123873,3887.5207679,271.97866519,0.907157,77.0991755304,88
2559.67604434,78.581996697,1035.0845497,1.66834958885,89,2559.67604434,78.5624,78.5624,-180.419390092,12.8249,47.1296,-80.0753,2559.67604434,0.0,40.7358,465.975123267,1703.60381987,200.184251155,0.878848,78.5812476034,89
2688.92554823,81.3835594345,1188.68323214,1.75047838947,90,2688.92554823,81.3695,81.3695,510.116466332,14.3338,47.4268,-82.8532,2688.92554823,0.0,40.92,377.752426248,1969.81168275,210.431465175,0.904885,81.383242024,90
2292.20375214,83.2822980535,3495.28426552,1.6518331869,91,2292.20375214,83.2655,83.2655,3290.88706968,10.744,47.7817,-84.7858,2292.20375214,0.0,41.178,106.573014125,3621.54166508,279.21891096,0.938195,83.2817680158,91
1427.94439485,83.8697748676,1179.02179329,1.72893021619,92,1427.94439485,83.8544,83.8544,233.996300835,14.1157,48.0766,-85.3909,1427.94439485,0.0,41.3832,416.948197935,1723.78918572,250.277732573,0.912852,83.8692488901,92
