AverageReturn,Epoch,StdEsReturn,AverageAction,AverageY,AverageAbsQ,MinForwardProgress,MaxEsReturn,AverageAbsQYDiff,AverageEsReturn,AverageQLoss,MinEsReturn,PolicyRegParamNorm,MaxReturn,StdForwardProgress,StdReturn,AverageDiscountedReturn,AverageAbsY,QFunRegParamNorm,MaxForwardProgress,MinReturn,AverageQ,AveragePolicySurr,AverageForwardProgress
55.2187440102,9,6.26104757776,0.00464819,0.0152266232999,0.0104291,-0.0966525129572,48.5750716924,0.0129767351201,9.35438183396,0.000236903,2.65979654379,14.1718,88.579947593,0.188188955873,23.7712488823,42.8290304129,0.0162791585719,7.99689,0.530847245609,16.1173634991,0.00744277,-0.0422833,0.229705686163
4.2510595559,10,1.93558158499,0.878845,0.022929064148,0.0229548,-0.0344008798836,20.4640062669,0.00740366999592,4.03003088955,0.000104634,2.12662581972,14.653,6.76156163014,0.00811745075949,0.571472832415,4.18225819729,0.0232484232749,8.19196,0.0266466718355,2.13683432155,0.0227969,-0.0265739,0.000196145454926
4.32703493745,11,1.30097304706,0.902268,0.0328007420014,0.0327989,-0.0283594859013,14.7016559128,0.00467128332173,4.82734612502,4.35004e-05,2.86422800832,14.9263,6.64630803661,0.00723824807949,0.425440115895,4.25882100373,0.0328023117986,8.77744,0.0249535669981,2.62160972977,0.0327752,-0.0359451,0.00190328199906
4.33108151834,12,0.925539476512,0.971002,0.0401460111976,0.0401747,-0.0225609800693,11.3598175304,0.00430861906222,4.65871844341,4.1447e-05,3.1975587913,15.0855,6.43363054842,0.00714559851125,0.407341566109,4.26288113675,0.0401460111976,9.47125,0.0247552744216,2.97792745708,0.040134,-0.043299,0.00206470017468
15.368813409,13,4.32866034763,0.94185,0.0443406735973,0.0443879,-0.0357540906497,40.5558641368,0.00429967071066,5.60322620138,4.29369e-05,2.66628498269,15.0997,33.6010479411,0.0228246232719,4.03563169374,14.2721278494,0.0443406735973,10.1274,0.154001707077,5.83789370129,0.0443352,-0.0469781,0.0255410156787
14.7395359918,14,10.7316526662,0.913251,0.0483835321076,0.0484278,-0.0396662769355,61.601446688,0.00472565807215,18.1583613223,5.44527e-05,5.77024763937,15.1435,36.7471852994,0.0255997577518,4.44464062514,13.7118537851,0.0483835521254,10.7467,0.155217336062,8.25737027511,0.0483723,-0.0591766,0.0209871241087
70.0287051369,15,20.92751059,0.542185,0.0608808353847,0.0609365,0.209259363073,74.0882595351,0.00584502069654,32.1867692939,8.5764e-05,3.47461941824,15.4692,78.8542013811,0.032607163287,3.61878454969,55.5824297832,0.0608808353847,11.6114,0.5933567727,39.4419460635,0.060859,-0.0713204,0.519778096235
62.2574745343,16,20.4661019238,0.705223,0.0728178240664,0.0728992,0.0623634073432,72.7418806472,0.00659770640859,48.2144838726,0.00012039,7.34043423603,15.7747,72.2134255706,0.107227298501,10.9004128007,50.177646533,0.0728178240664,12.3546,0.532011924151,24.830445945,0.0728017,-0.0846652,0.436174518975
64.983733602,17,18.9003291875,0.710821,0.0842641151611,0.0843469,0.0782456260297,72.5117256586,0.00730392590272,39.0824308139,0.000156942,8.58306758518,16.0453,71.7094340648,0.0791497398894,7.99632494499,52.0556642161,0.0842641151611,13.0975,0.528370110385,27.2750155643,0.084239,-0.0973677,0.459580585022
68.4166877646,18,17.5040886544,0.656472,0.0961742282219,0.0962829,0.439408089828,72.84932147,0.00797690292568,56.4420689248,0.000191161,12.4558921637,16.269,77.9739720185,0.0210799122329,2.40842235059,54.5728420593,0.0961742360908,13.712,0.552781960725,62.6275958429,0.096146,-0.109789,0.502803181199
67.91973167,19,19.9434629466,0.665296,0.10797611991,0.108125,0.378657527516,78.2688164462,0.0086872466965,45.1863798638,0.00022693,9.92614005004,16.4699,76.3907342547,0.0379696610385,3.92862205556,54.2984186066,0.1079763566,14.3056,0.601911322136,51.442253543,0.107953,-0.122569,0.507740577999
70.4051965381,20,21.8767800784,0.608084,0.120207630228,0.120339,0.154449053366,75.2369275433,0.00946515235749,43.5263518739,0.000281,6.39513815047,16.6749,80.857006619,0.0387008651652,3.84433104269,55.9119238414,0.120208556096,14.9067,0.628185929685,35.1492581799,0.120157,-0.136078,0.531691273001
68.9431594376,21,20.8239063815,0.582736,0.133515280257,0.133692,0.352208275164,76.1735858814,0.00976273748606,44.2979743779,0.000311237,6.25434576251,16.9535,75.8175942372,0.0309267655469,2.32420363711,54.7516615901,0.133517835173,15.4716,0.556492749961,60.6591184396,0.133487,-0.150854,0.491833741827
68.1406249229,22,24.905745833,0.580299,0.146466152381,0.146656,0.353108229312,89.5229002054,0.01049209615,50.0311501921,0.00037017,5.36786681433,17.1953,75.1151923792,0.0288438498325,2.69526216391,54.3787378605,0.146466713987,16.0134,0.579429611391,57.7801196099,0.146402,-0.164542,0.500718733915
68.5310419445,23,22.7450353683,0.616204,0.158414241679,0.158694,0.329769772157,84.6047554792,0.0111074463153,49.7767508126,0.000423533,4.05975974942,17.4621,76.4979502188,0.0330286145078,2.78025994023,54.5631203439,0.158415979232,16.4782,0.578925965379,58.1195462778,0.158388,-0.177085,0.506226120772
65.5004456224,24,25.7302563271,0.631481,0.170833519453,0.171128,0.388421678947,105.565231397,0.0114615398706,50.1476878153,0.00045978,5.83598284342,17.7068,79.177781176,0.0335350833865,3.84789752561,52.5135830231,0.170839577621,16.945,0.560386663198,56.6844376089,0.170769,-0.190361,0.471262173494
72.3896987419,25,31.8327241196,0.659929,0.183379313918,0.183693,0.26183930193,147.44711369,0.0117144426447,49.8099802646,0.000495707,5.70694901111,17.9631,86.2996407993,0.0339741850677,5.64558243434,55.00710945,0.18338086951,17.3351,0.48105603193,47.1701853116,0.183347,-0.203169,0.405966997187
69.6780016889,26,23.4713812175,0.582397,0.194328874722,0.194628,0.272825902288,77.0317938002,0.012049158843,41.6498783502,0.000529054,6.66434757254,18.2159,92.3985988,0.0536566345372,8.94161874229,53.5463817643,0.194331972869,17.7066,0.515123627302,48.6274062134,0.19427,-0.214622,0.39427519676
68.8025175523,27,26.5017173572,0.591301,0.205402832989,0.205797,0.232251328096,99.1743678617,0.0126525404942,44.0437598044,0.000594574,9.63169728914,18.4642,80.2509953766,0.05149412114,7.34075890811,53.817777062,0.205417412782,18.0682,0.531009557304,38.4398904757,0.205371,-0.226206,0.421831232527
76.2857652135,28,32.2526693938,0.606968,0.215630800743,0.21605,-0.172640058454,116.110803451,0.0130096284431,44.8970779211,0.000633154,4.30133071973,18.6834,176.1563764,0.274234699447,32.4652529,54.9290797488,0.215637187427,18.3993,1.06478061734,9.01190096465,0.215584,-0.23681,0.422455484524
115.63143599,29,21.4490437947,0.662664,0.226551211255,0.226987,-0.225707601843,100.315091609,0.0139078882409,31.9767830249,0.000742588,6.85122321845,18.919,278.85817963,0.502461373263,61.1940198784,66.2528466476,0.226572471614,18.735,1.28239917017,12.3032419601,0.226514,-0.248164,0.435935163661
144.161926092,30,31.7799725354,0.609222,0.237021833123,0.237483,-0.113678016305,125.764260789,0.0139766395371,42.1450496328,0.000723091,4.53907217827,19.1143,297.26507496,0.348878965824,49.9353943806,82.0911561239,0.237037922918,19.044,1.56859501881,28.0034670159,0.236978,-0.258674,0.900379433861
116.789913219,31,26.7005646013,0.611865,0.246065241026,0.246588,0.474850072328,107.139529995,0.0144739683785,45.065372715,0.000788786,5.50908091763,19.307,186.27525958,0.0847060057314,15.3331504749,78.6129507116,0.246127246239,19.3187,1.0464605841,70.2709213878,0.246051,-0.267951,0.881575061087
85.0522507401,32,32.5039413326,0.574547,0.255883760102,0.256318,0.427306436772,118.354663182,0.014796779245,63.1567165731,0.000840849,8.24609757077,19.5137,111.72922385,0.126797286769,9.50709370837,64.3350016734,0.255915950033,19.6211,0.997125107994,61.9912406974,0.255818,-0.278033,0.637699243131
102.107577658,33,28.6375226384,0.609227,0.265742434251,0.26639,0.458124721261,103.160298325,0.0151788890399,54.502000185,0.00089593,6.08293767911,19.7074,127.403866257,0.132573526294,9.31856698967,75.0107623437,0.265794141934,19.9135,1.29038497686,66.1826389402,0.265727,-0.289289,0.908210068933
85.3716784512,34,28.870325185,0.565624,0.276961512679,0.277479,0.177853710204,110.873503322,0.0152566792704,48.0023240459,0.000915874,9.87718438288,19.8875,116.932109028,0.18899014125,15.0457769664,64.4770285675,0.277011587559,20.1827,1.07455477631,38.4994095543,0.276884,-0.300821,0.665466570958
90.0490103916,35,27.6541515532,0.553743,0.28766338148,0.288321,0.418014724887,113.196600977,0.015559180471,61.3964801942,0.000984655,8.8607958668,20.0616,135.617064128,0.232616718148,17.1757005843,67.4707475573,0.287720112286,20.4378,1.33762128665,63.7356392242,0.287638,-0.311839,0.735516233146
84.723972815,36,33.7845002106,0.603366,0.298294944963,0.298942,0.456399727159,119.19315953,0.0160917247668,57.7289018469,0.00105134,7.32807196498,20.2368,109.72843496,0.156885206113,11.729646538,64.7284418985,0.298363127799,20.707,1.03789012899,66.602159638,0.298231,-0.323263,0.69218195249
112.438214952,37,33.4051180084,0.667967,0.308970904585,0.309743,0.590586314282,130.263178465,0.0166301391446,73.2674339094,0.00114717,12.8696707239,20.4018,126.495346253,0.0921331421228,5.97647530516,81.5012421296,0.309041480523,20.9724,1.23671131034,79.6964174428,0.308939,-0.333949,1.07740973334
100.950200128,38,33.8763378029,0.703567,0.318982160603,0.319794,0.618563920141,127.789732434,0.0167139094545,66.2700625604,0.00113987,15.6052183074,20.582,116.522812509,0.103988357034,6.46451221759,74.9008990306,0.319079275564,21.2256,1.16280752359,81.1070123227,0.318946,-0.344106,0.938312016832
105.753281878,39,40.4669591111,0.704808,0.329542689131,0.33036,0.812390378515,138.249923152,0.0172363825213,73.8211037793,0.00120046,8.48408184714,20.743,119.854122409,0.0679979612684,4.54473535398,77.6892659098,0.329629197888,21.4684,1.1948577566,95.1351724261,0.32947,-0.355185,0.998191250753
119.81568867,40,39.646804037,0.702446,0.34002861963,0.340847,0.952042077409,152.945233952,0.0174375768124,86.7285741964,0.00126696,11.051894708,20.9051,138.671124773,0.122595518759,7.61691770198,85.8877174688,0.340130032386,21.7159,1.53910586969,104.590006682,0.339988,-0.366662,1.19852238579
123.111231741,41,37.1220063884,0.707527,0.352177311706,0.353075,1.01105819923,132.088043683,0.0178434360832,85.9356404903,0.00130505,9.39893244067,21.0589,138.60245696,0.102213789415,6.65389332429,88.0070363537,0.352319382645,21.9504,1.51391020475,107.434678351,0.352123,-0.378958,1.25377250436
120.80608692,42,36.431032928,0.713907,0.362409174088,0.363317,1.01415675595,133.021551261,0.0179380989875,85.6016933462,0.00135455,14.6376494666,21.1843,135.162280358,0.0965559664785,6.21238075296,86.6196713548,0.362615465948,22.1385,1.46339348167,106.082167118,0.362323,-0.389703,1.22183203579
129.44392468,43,37.012447308,0.705836,0.372941752419,0.373925,1.01467308702,153.974630817,0.0184169759486,80.7063572267,0.00146193,10.605680252,21.3034,148.502114196,0.0969686143204,6.17952517786,91.3025996812,0.373105145231,22.4072,1.63713373793,110.287725241,0.372891,-0.400988,1.32954343951
124.97737226,44,42.7080528872,0.6855,0.384829649697,0.385776,0.675897821855,138.800578937,0.0184831331825,67.0347179722,0.001499,6.78245661464,21.4461,146.492279022,0.101937991829,7.01679692419,88.5594654271,0.384980371172,22.6466,1.5806556229,83.272491722,0.38478,-0.413015,1.24149767482
120.765034791,45,38.9042647656,0.718965,0.394652668979,0.395666,0.841689160547,137.479189077,0.019208031747,66.0454581097,0.00158368,7.50274541287,21.5569,140.837043074,0.129827566076,8.89475042651,86.5235943515,0.394814471473,22.847,1.53207939749,94.4833281152,0.394576,-0.423316,1.21022207296
115.477942487,46,45.9324322098,0.747348,0.405927748961,0.406944,0.787329010031,156.651939048,0.0192964998838,71.5491567986,0.00164908,8.56230947562,21.6656,134.109024612,0.166605893459,11.6430479122,83.4637017764,0.406088840279,23.0481,1.43976298762,90.8345321186,0.405886,-0.435973,1.1330628064
122.301246928,47,40.4358709587,0.740082,0.41811791576,0.419207,0.864730765422,136.028649154,0.0199326634339,81.8897473742,0.00172986,6.3762967864,21.7529,143.993523806,0.155172074053,10.9729715562,87.315287101,0.418311542027,23.2642,1.53972525345,95.2962789413,0.418082,-0.447826,1.21993111199
125.590119985,48,46.0265475109,0.73988,0.429881639734,0.430899,0.806982714,143.143811949,0.0202723777325,73.2641490871,0.00182687,7.67845925843,21.8566,142.571392534,0.0923192583946,6.40461350402,89.0006365615,0.430069052583,23.4728,1.53209716979,92.8814796725,0.429776,-0.460016,1.25401518089
133.791243307,49,36.5456922112,0.736516,0.442318638464,0.44338,0.894813315897,142.85830124,0.0202856871082,59.9653662795,0.00185108,8.1178306038,21.9471,147.805577247,0.0831484391773,5.83271022609,93.7944778954,0.442458609368,23.6988,1.59154712197,96.17043776,0.442272,-0.473771,1.38909087934
124.19894821,50,42.8607658717,0.74753,0.452911311657,0.454057,0.795068849381,149.805629961,0.0205629598463,69.5903242155,0.00193987,9.03929721483,22.0497,137.078275185,0.10848372151,7.42562243991,88.1995827357,0.453067646882,23.8967,1.42942717651,91.9536670365,0.452855,-0.484768,1.22423935383
