Epoch,MaxEsReturn,AverageAbsQYDiff,MaxReturn,AverageReturn,StdForwardProgress,AverageDiscountedReturn,MinEsReturn,AverageAction,StdReturn,MinReturn,QFunRegParamNorm,AveragePolicySurr,PolicyRegParamNorm,MaxForwardProgress,AverageAbsY,AverageQLoss,MinForwardProgress,AverageForwardProgress,StdEsReturn,AverageEsReturn,AverageQ,AverageY,AverageAbsQ
9,61.6721704498,0.158258390642,6.28979131799,4.31714899619,0.00739306129083,4.24901153138,0.993398782421,0.879628,0.439963571177,2.65380029999,14.7693,-0.0979193,14.6151,0.0259159349238,0.21799004134,0.0278066,-0.0253263933032,0.00168162313122,11.8826010272,33.8927550034,0.0822984,0.21799004134,0.0822984
10,41.9211626154,0.0141927897723,5.79310965781,4.41490796389,0.00730077636928,4.34479594382,3.34253161914,0.99946,0.420583466903,3.06280985534,15.28,-0.201634,14.944,0.0268538348221,0.189957331533,0.000570494,-0.0212078403568,0.00261502910308,2.40056879936,4.60038746902,0.189292,0.189957331533,0.189293
11,5.48093157143,0.0151770183819,5.86043957662,4.41691596348,0.00715829049122,4.34669081003,2.90130667942,0.999949,0.412364732627,2.99024391208,15.8539,-0.284952,15.0371,0.0287291914425,0.269699415711,0.000657354,-0.021630315879,0.00256164736696,0.436366332412,4.40006095455,0.269537,0.269699415711,0.269537
12,5.65392195066,0.0183895198917,5.86070797857,4.41582321181,0.00716471657435,4.34560775849,3.48592462097,0.999989,0.413118251907,3.00859471953,16.3812,-0.369866,15.0633,0.0270208095991,0.359982851373,0.001166,-0.021468124233,0.00254814486838,0.449991050352,4.42347231701,0.359886,0.359982851373,0.359886
13,5.56184097199,0.0211361885867,5.79703683454,4.41315906525,0.00705399726576,4.34307677925,2.8429675237,0.999986,0.404544708593,3.16408088226,16.9096,-0.414088,15.044,0.0265032908854,0.425425771395,0.00161751,-0.0206463452709,0.00258830371947,0.423052831586,4.41951549774,0.425339,0.425425771395,0.425339
14,24.474424473,0.024797022188,23.5020460627,13.5033989188,0.0205741655418,12.6732231107,1.96983947493,0.885907,2.66276163916,7.7062560601,17.6197,-0.467321,14.8781,0.0724042392132,0.45798238772,0.00219059,-0.05838524443,0.0116176372091,3.00371458682,4.39121253462,0.457721,0.45798238772,0.457721
15,22.7614640716,0.0305506907815,26.6784947881,15.0268902024,0.0219692721531,13.960459419,3.69513893367,0.998271,4.16862349931,7.10713319927,18.376,-0.536992,15.3166,0.100159178208,0.504947615512,0.00342304,-0.0261626006081,0.0224696792686,3.49534256745,9.97887792757,0.504531,0.504947615512,0.504531
16,23.4267392338,0.041404053189,11.5076753764,8.46826302497,0.0129944310337,8.16785160208,5.95191595856,0.887014,1.13675866637,4.61349362095,19.0457,-0.637993,15.4192,0.0530426801527,0.591092044531,0.00622227,-0.0261251474077,0.00743563314801,4.32764056766,11.7863896683,0.590952,0.591092044531,0.590952
17,15.6978657071,0.0458999257003,12.1663407232,8.41287120781,0.0134528539974,8.12612265923,3.68395046379,0.875144,1.18225796076,5.24005698027,19.6438,-0.747416,15.525,0.0684340314181,0.662806032246,0.00765869,-0.0368105499675,0.0127778041302,1.52252522664,7.87191110559,0.662129,0.662806032246,0.662129
18,26.2134322459,0.0505854515719,55.9538004548,25.7412169397,0.0756585704501,22.8556311397,2.29709766854,0.80395,10.1935784577,7.34264238269,20.25,-0.81887,15.659,0.319916630021,0.745071931843,0.00890827,-0.0971825374303,0.0928285106243,2.79524368572,9.26685605434,0.744907,0.745071931843,0.744914
