AverageAbsQYDiff,StdReturn,MaxForwardProgress,MinEsReturn,AverageQLoss,AverageAbsQ,AverageAbsY,MinForwardProgress,AverageY,AverageAction,MaxEsReturn,MaxReturn,QFunRegParamNorm,AverageReturn,AverageForwardProgress,AverageEsReturn,PolicyRegParamNorm,AverageDiscountedReturn,StdEsReturn,Epoch,MinReturn,AveragePolicySurr,AverageQ,StdForwardProgress
0.683580890308,27.7233700156,0.825119318027,-46.0225086931,0.722929,0.71484,0.043152246833,-0.344456871524,0.0341791856994,0.996245,106.151653723,117.22135094,10.3554,74.179027808,0.518251451512,27.9558790763,17.9901,38.6992917373,38.0815502141,9,-14.7531562104,-0.725229,0.477787,0.246188453178
0.0413592030808,52.3962291126,1.23471509008,-18.4715970903,0.00889886,0.0816212,0.0695451026653,-0.550265915373,0.0558937376632,0.96448,133.686875565,162.350760934,10.5556,74.3852491538,0.47527182234,40.198708909,18.0871,39.8674483916,39.8046292158,10,-29.5409128128,-0.0680561,0.0588962,0.469067596667
0.0171417720691,52.2887249486,1.63030577186,18.3199237504,0.000617882,0.106237,0.106972434056,-0.262649877973,0.0876017983322,0.917722,124.273131659,206.434523203,10.6841,99.2350930463,0.731876762664,73.3485905572,18.1947,48.4848491542,30.1495845364,11,-8.28658623218,-0.0896672,0.0878012,0.464962651444
0.0160899426395,41.554347508,1.154937732,11.6626593063,0.000650928,0.147913,0.148862347352,-0.567418085838,0.121560311579,0.948758,166.912260956,147.272982779,10.8985,55.438311053,0.317261873045,62.4082534055,18.3309,33.6990319805,46.0608088631,12,-35.2403026367,-0.126983,0.121604,0.378238336556
0.0170365658281,48.0372481041,1.39882950593,17.6839038851,0.00083549,0.194721,0.195467970115,-0.233320423689,0.158849927768,0.961849,129.394365282,187.145059458,11.1665,72.4580360986,0.465314480728,57.8065836615,18.506,40.8459608627,36.3377137144,13,-4.17026331765,-0.16604,0.15888,0.423421269786
0.0191389380027,21.4516492202,0.39177600981,7.46690899949,0.00110612,0.242199,0.242768398451,-0.515534929111,0.196217127056,0.970879,132.979376174,71.7451680388,11.4736,13.0990026897,-0.0486473023257,65.6351633966,18.6491,11.5932223493,38.7151595423,14,-29.0282849884,-0.204422,0.196231,0.217969754403
0.021207301767,37.1406562864,1.25551181127,-7.09109472786,0.00135637,0.293625,0.29415648626,-0.117784472645,0.242397130053,0.916158,167.84940534,164.269868059,11.7274,77.6660347074,0.522423041128,76.8147131105,18.8091,44.2273244985,55.8983140763,15,4.40492339536,-0.252819,0.242465,0.327940626807
0.0241341113831,59.7797955612,1.95736611482,40.537860698,0.00175582,0.349565,0.350327961367,0.0584594915185,0.292204952977,0.911663,203.719851087,240.045550562,12.056,91.0294630065,0.641431852062,90.6427142103,18.9532,43.8598282258,58.096068573,16,22.7793540074,-0.302877,0.292256,0.52225066405
0.026227030183,42.3865607087,1.49109004373,-21.3916274846,0.00202712,0.399393,0.400225541421,-0.0954473683447,0.336111745496,0.9061,90.6585222815,198.425803634,12.4171,85.8545223781,0.604618423218,48.8606866211,19.1721,46.8332361738,32.6906952149,17,4.60711599826,-0.347595,0.336174,0.347201553504
0.02873979604,29.8168499354,1.21403650211,6.59656821604,0.00243802,0.450559,0.451470823536,-0.0333324135025,0.384756419944,0.921867,97.9986333102,166.842327199,12.8321,70.9659047835,0.466802527267,64.3203878691,19.4237,42.5027695745,27.2083175386,18,9.74823527823,-0.396688,0.384803,0.240268561155
