AverageAbsQ,AverageReturn,MaxReturn,AverageEsReturn,AverageQLoss,AveragePolicySurr,Epoch,QFunRegParamNorm,MaxForwardProgress,MaxEsReturn,StdForwardProgress,AverageForwardProgress,MinForwardProgress,StdReturn,PolicyRegParamNorm,MinEsReturn,MinReturn,AverageY,AverageDiscountedReturn,AverageAbsQYDiff,StdEsReturn,AverageAction,AverageAbsY,AverageQ
0.148441,-22.9163862322,-10.4035258045,23.5976906897,0.132084,-0.243144,10,10.3742,-0.214071931598,95.3952915695,0.0502367654384,-0.35151177068,-0.475858934576,4.84837737265,11.202,-30.2122698097,-35.2917862534,0.0568765312919,-12.3432257438,0.109894397143,25.9484991835,0.988528,0.0580198563764,0.126221
0.160206,-23.1638008094,-7.42802457492,-20.1650224145,0.00111219,-0.267201,11,10.4112,-0.186181130661,0.519089642849,0.0520378811796,-0.351221970117,-0.507789380684,4.671372269,11.2269,-32.0521453649,-34.4074249605,0.157818277395,-12.8085762986,0.0220527180272,8.81505481607,0.981099,0.160208346812,0.157602
0.24521,2.9492540709,86.6485983007,-7.57457949579,0.00156992,-0.318605,12,10.6173,0.666423637249,31.6021069147,0.161759788394,-0.0813476463995,-0.363452535641,18.2879746913,11.4679,-26.8170612808,-17.2353099687,0.242086690352,1.04850498637,0.0235798472493,17.7553716639,0.943861,0.245437532079,0.241794
0.282034,-22.5775664034,-5.25953502128,-17.2596288516,0.000927548,-0.312833,13,10.8431,-0.16471329149,6.51738773579,0.0527130531818,-0.348066977444,-0.504522936915,5.11882443687,11.7959,-33.3410108096,-34.8955625942,0.277200744078,-12.3080047717,0.0197564445504,11.1284121178,0.954107,0.282187781346,0.277191
0.294688,5.83129173773,64.5562215632,4.53377111646,0.0008522,-0.308387,14,10.9564,0.454845496157,42.0754694446,0.176722238171,-0.0640184213434,-0.548039648596,20.0368744747,12.3344,-8.54766022002,-35.7113499613,0.28981013281,2.71817920685,0.0179887155849,11.939552312,0.922163,0.29496163748,0.289598
0.313854,22.1478452569,59.5410839611,6.15407927307,0.000708735,-0.328006,15,11.1071,0.387362205645,38.2365662213,0.18546557024,0.0454905088041,-0.473142485164,18.8780810456,12.7646,-9.37711349778,-29.6830551734,0.30915126157,12.8402688233,0.0162408805038,14.6800229642,0.929589,0.314072666619,0.309097
0.325651,-29.494087497,12.0587070624,-11.2029976292,0.000838266,-0.34929,16,11.3432,-0.0569514141686,35.2076267286,0.108361475591,-0.431112822336,-0.637184919106,10.8378167202,12.9422,-35.9700156005,-47.5538169473,0.321852468211,-15.1837182577,0.0170872950848,23.2647050708,0.952575,0.325898069282,0.321708
0.337952,-33.0944191396,-0.0872670715672,-31.6608125818,0.000663024,-0.364955,17,11.4915,-0.166371794011,2.31990461318,0.112038120363,-0.468930774927,-0.680933948283,11.3260012225,13.1086,-45.1149464062,-50.7153110192,0.33407574637,-16.8862736461,0.0147300779545,13.0878756159,0.967476,0.338018974201,0.334014
0.34977,-24.9008627005,-4.62298866487,-27.6774858546,0.000659058,-0.369115,18,11.6369,-0.153875195965,-2.93092650946,0.0819623047591,-0.372425606187,-0.565600778679,7.6074087172,13.151,-44.6060523188,-43.7472628677,0.344336325796,-13.2164228877,0.0141880033758,11.9492466542,0.941916,0.349976173511,0.344268
0.355043,-22.5701555301,-8.91745365328,-21.1921407847,0.000641506,-0.367423,19,11.8756,-0.19218430074,-15.1465777423,0.0497527922935,-0.34607907949,-0.501240049309,4.68583734147,13.3485,-31.0028856317,-35.2478694696,0.348491767206,-12.3910082309,0.0135255686208,4.80442062853,0.979557,0.355223904195,0.348432
0.348473,-21.8150227956,-3.59102227086,-24.1863527009,0.00049449,-0.35258,20,12.067,-0.147681890687,-12.2583349509,0.0634050977225,-0.341067792063,-0.518418556268,5.91550344113,13.2901,-32.7712718108,-36.7871753349,0.341240053363,-11.6652728212,0.0119404382792,5.31407742603,0.953671,0.348607766037,0.341197
0.343603,-21.9297999608,-1.21288828206,-19.9480099666,0.000468878,-0.342851,21,12.2432,-0.13015102383,3.19293366831,0.0577093000607,-0.340036727504,-0.499589521334,5.56020295122,13.4347,-34.5280426055,-32.8845358079,0.335128819892,-11.8809706594,0.0118116795543,8.08491453111,0.985052,0.343740691581,0.335069
0.336969,-21.7733676318,6.5380069956,-21.798952434,0.000424987,-0.336117,22,12.3968,-0.0383515120566,-5.29466493682,0.0648723159454,-0.342290250236,-0.539115026865,6.25315392083,13.5065,-33.1749707033,-40.1539596607,0.326458907835,-11.4563738695,0.0109750173548,6.66752678152,0.989938,0.337056918623,0.326448
0.336046,-22.6180659406,-4.81665420545,-21.513703427,0.000410261,-0.337019,23,12.5848,-0.152434886193,-8.14787004748,0.0629098095454,-0.346364868777,-0.500581799831,5.73535229119,13.688,-33.0139676161,-37.1296118435,0.323540110597,-12.4222179661,0.0109180100954,6.95982073588,0.973704,0.336165023142,0.323518
0.331243,-22.0292870872,-4.42546354244,-20.6295259107,0.000340344,-0.323587,24,12.8976,-0.171005003246,1.93895451515,0.0588593702658,-0.343579702149,-0.467455171183,5.68175018556,13.8442,-35.6776893022,-32.3492549537,0.316704482654,-11.7372300652,0.0101232910515,8.73118940949,0.962458,0.33139757246,0.316693
0.324117,-23.0874924232,-7.40363380626,-22.0130289061,0.000367806,-0.310831,25,13.126,-0.185348711069,0.440210981034,0.057895180462,-0.354149777801,-0.480743271878,5.59446388576,13.952,-30.3342393966,-36.8114872198,0.306939836333,-12.4019997538,0.0101549169418,7.37108841315,0.980076,0.324158829152,0.30693
0.313062,-22.6235417369,-3.20495507024,-21.1774906068,0.000361248,-0.299282,26,13.3329,-0.162355141758,-5.0539980097,0.0607695432277,-0.34805138943,-0.472463354583,5.93156936896,13.9065,-33.9874294033,-33.2003010129,0.295099183866,-12.2515199835,0.0100851031605,7.64298964338,0.997248,0.313230913129,0.295086
0.301613,-23.0887532839,-1.7676901394,-21.6683312226,0.000347175,-0.285783,27,13.4663,-0.126805841034,0.89434800751,0.0591282130109,-0.352305104433,-0.479254729767,5.55980593853,14.0148,-31.778517142,-34.7777448638,0.281792904774,-12.5992381417,0.00998604712269,7.65201240765,0.993782,0.301938207837,0.281727
0.289851,-21.2215068551,-5.83900737943,-21.1970344392,0.000314027,-0.266799,28,13.6465,-0.171675859436,-3.33662870086,0.0556402278821,-0.334307928026,-0.478802574466,5.20263708735,14.1419,-30.7466359235,-33.7991140699,0.267609029603,-11.2510387449,0.00904472644628,6.98396925855,0.996602,0.29009183331,0.267577
