AverageEsReturn,Iteration,StdEsReturn,MaxReturn,AverageAbsQ,AverageReturn,StdReturn,AverageAction,AverageAbsY,AverageQ,AverageAbsQYDiff,PolicyRegParamNorm,AveragePolicySurr,Epoch,AverageQLoss,AverageDiscountedReturn,MinEsReturn,MinReturn,AverageY,QFunRegParamNorm,MaxEsReturn
0.784018767093,9,7.91375590813,-17.9636948856,0.216384,-24.4633331711,3.91144841287,0.156473,0.311210581953,-0.188033,0.506890062178,10.8764,0.1022,9,0.502473,-10.9387536584,-12.1983539307,-29.202033981,0.0759532033088,10.8049,9.9449773949
4.92899942162,10,0.0,52.7985210237,0.459464,49.9987562824,2.59593402383,0.951574,0.462349074115,0.00636387,0.0785682727916,12.2786,-0.229468,10,0.0183905,17.3861654631,4.92899942162,44.8493917492,0.00576465618665,11.1085,4.92899942162
0.779206239108,11,0.0,35.4118680277,0.657913,33.8561979859,1.09432153322,0.991248,0.665166123318,0.217637,0.0904686870668,13.5016,-0.531395,11,0.0213388,22.2757617231,0.779206239108,32.2514165639,0.217633334684,11.6482,0.779206239108
11.9210603887,12,0.0,37.8230738292,1.0676,36.289191388,1.08557431623,0.988485,1.08372645934,0.564135,0.137813945802,14.5173,-1.09958,12,0.0502535,23.5552113315,11.9210603887,34.7001004641,0.564471024415,12.6139,11.9210603887
37.7896678455,13,0.0,38.9594215859,1.54254,37.656012312,0.988987402729,0.996651,1.56179903511,1.07179,0.171552693729,15.3247,-1.83107,13,0.0805968,24.3873788177,37.7896678455,35.8458116929,1.07279139121,13.7563,37.7896678455
40.2598619779,14,0.0,41.4362847683,2.18972,39.4817985837,0.965593613959,0.998273,2.20919242374,1.77142,0.2025198721,16.0179,-2.70933,14,0.114114,26.9460128889,40.2598619779,38.1774090085,1.77295582743,14.9677,40.2598619779
36.3536582367,15,0.0,38.7988437826,2.8696,36.1310168839,1.81537900538,0.998231,2.88277688407,2.53473,0.221565464748,16.7922,-3.60118,15,0.137295,23.7880895004,36.3536582367,33.8522123054,2.53759856872,16.0411,36.3536582367
39.3055539562,16,0.0,41.5523440268,3.70615,38.7297823766,1.34148827362,0.978475,3.71570720332,3.45617,0.24517017731,17.3056,-4.72139,16,0.175972,26.6374315072,39.3055539562,36.3824896142,3.4590944773,17.1316,39.3055539562
34.9580169573,17,0.0,35.0508633146,4.6467,34.2463593372,0.54359023329,0.964285,4.65587292141,4.45938,0.268773579498,17.7172,-5.84911,17,0.200851,25.7198340799,34.9580169573,33.3628666512,4.46267954154,18.1693,34.9580169573
41.2176671407,18,0.0,29.9728416709,5.75652,28.4818035742,0.899273813438,0.979417,5.76395633292,5.60946,0.307841031952,18.0156,-7.15316,18,0.294993,22.2158997962,41.2176671407,26.9971010888,5.61307942157,19.2522,41.2176671407
34.1999265202,19,0.0,38.4563236921,6.79698,36.9624993669,0.901003197906,0.97097,6.80480216269,6.67748,0.32684883503,18.3041,-8.20845,19,0.333059,22.9592776999,34.1999265202,35.6534340862,6.68169728938,20.2495,34.1999265202
35.5933159939,20,0.0,35.772941679,7.82674,34.4364619742,0.899263647582,0.876196,7.83228301635,7.71374,0.346118692717,18.6739,-9.27053,20,0.354793,22.4402145484,35.5933159939,32.6840622479,7.71750172766,21.2087,35.5933159939
42.7074331562,21,0.0,32.7914371758,8.92891,29.8049504424,1.54138325719,0.761897,8.93413910426,8.83468,0.370629074423,18.9655,-10.322,21,0.388089,22.1090375839,42.7074331562,27.8542964819,8.83901454953,22.1962,42.7074331562
29.1910087286,22,0.0,35.9570156582,9.82564,28.009579789,7.26521726745,0.923133,9.83070774354,9.7312,0.386522877525,19.2459,-11.1506,22,0.504032,19.2730158348,29.1910087286,14.4152446051,9.73440735186,23.0715,29.1910087286
