AverageReturn,AverageAbsQYDiff,AverageAbsQ,QFunRegParamNorm,MaxReturn,PolicyRegParamNorm,MinReturn,Epoch,AverageAction,AverageY,StdEsReturn,AverageForwardProgress,AverageEsReturn,MinForwardProgress,AverageDiscountedReturn,AverageQLoss,MaxEsReturn,StdReturn,MinEsReturn,MaxForwardProgress,AverageAbsY,AveragePolicySurr,StdForwardProgress,AverageQ
3.55832346249,0.102754191579,0.0098976,14.94,6.06393763496,14.8205,1.54224112266,9,0.746357,0.112618262288,12.2900230736,0.000538281627814,34.0336216457,-0.0258041475819,3.51301551217,0.0135959,75.7163069117,0.651510429154,0.992176873599,0.0250502061726,0.112618262288,-0.0107555,0.00608922450132,0.0098976
3.11293061941,0.0150465554262,0.090081,15.2453,4.37483551332,15.0274,1.9972885958,10,0.868071,0.0911829652,0.343046606859,0.000322383926634,3.20284420305,-0.0173886423817,3.08100099456,0.000685008,4.14259048779,0.33876820606,2.30450515902,0.0195442244845,0.0911831165064,-0.0897394,0.00522318132746,0.0900794
3.0928321322,0.00576773937337,0.0619249,15.359,4.30890146464,15.1659,1.72582863092,11,0.984675,0.0619588286392,0.32567677305,0.000239117163063,3.12731760584,-0.0168254509505,3.0612500216,9.60983e-05,4.08322184876,0.337279433979,2.09428654652,0.0178481121512,0.0619588286392,-0.0619085,0.0051401863661,0.0619243
7.39982532359,0.00595296426899,0.0566925,15.6041,14.6851799395,15.1653,4.45917795938,12,0.980901,0.0570050730304,0.670117805932,-0.0205072095386,3.17232316901,-0.0631820468652,7.13932327344,0.000120251,8.96856120727,1.15667762082,2.16897940404,0.0402054974181,0.0570050730304,-0.0543115,0.0140842112934,0.0566886
4.384499594,0.00458631996786,0.0582733,15.7979,7.30928935401,15.2893,2.42255234816,13,0.984449,0.058570537542,0.755764207874,0.0001038014582,4.39117050623,-0.0326694861961,4.30981609292,7.5787e-05,9.64669219976,0.665494006068,2.96074176066,0.0286899199993,0.058570537542,-0.060442,0.00841000154217,0.0582439
4.33580259414,0.00409686454542,0.0642712,16.1668,6.69089186188,15.3322,2.37933245741,14,0.999954,0.0643287949272,0.590412600568,0.000370367505009,4.31706172753,-0.031068996983,4.26363424346,6.47043e-05,6.30832298856,0.643875358539,2.77100388215,0.0281184164173,0.0643287949272,-0.0667271,0.0085093844911,0.0642274
14.6578252901,0.00457550896561,0.0691446,16.5239,27.4801470537,15.5155,6.76118291702,15,0.999966,0.0692677261576,5.03533128298,0.0204652654339,13.2709135128,-0.0323452488067,13.6377145404,8.90742e-05,22.9651696301,4.13184136424,3.4885473421,0.0957255350252,0.0692677261576,-0.0768322,0.0224171849632,0.0690959
14.7970008168,0.00514890153787,0.0760468,16.9511,28.2433319636,15.5304,5.82333983886,16,0.999995,0.0760698079997,3.95059270692,0.0222475542786,14.4875377178,-0.0406113912295,13.7670999604,0.000116279,23.7657996494,4.08619308631,5.11824836846,0.0927878070692,0.0760698738212,-0.0849386,0.0224927263372,0.0759888
20.022811286,0.00641838448939,0.0814412,17.3243,58.1975280531,15.5344,5.69286860732,17,0.882307,0.0818172554225,6.58146535245,0.0542827717538,16.120543302,-0.0349191851142,18.2613708528,0.000180772,42.3231630091,5.68199295695,4.90829388483,0.375311202651,0.081819044998,-0.0905822,0.0456538754994,0.081373
27.6282145997,0.00597498505987,0.0869003,17.7635,56.0672551934,15.6415,14.5286781663,18,0.863025,0.0869675790567,6.13033516372,0.102751100839,18.3517711491,0.00457481359893,24.5645509215,0.000156062,38.708429227,6.11686480797,2.7861289503,0.276038753216,0.0869695280746,-0.0958805,0.0359752700526,0.0868577
