MinReturn,StdEsReturn,Epoch,StdForwardProgress,MinEsReturn,AverageReturn,MinForwardProgress,QFunRegParamNorm,StdReturn,MaxForwardProgress,AverageAbsY,AverageY,AveragePolicySurr,AverageAbsQ,AverageForwardProgress,AverageQLoss,MaxReturn,AverageDiscountedReturn,PolicyRegParamNorm,AverageAction,AverageQ,AverageAbsQYDiff,MaxEsReturn,AverageEsReturn
12.0575568374,6.98135938589,9,0.179997848736,2.31061412513,36.4332557805,-0.00470717042364,25.1114,18.7027051188,0.569685153881,0.209853803136,0.209853803136,-1.63072,1.53511,0.203467034045,2.23468,76.2967756976,31.0233203429,16.6296,0.967619,1.53511,1.32984271661,62.581946058,9.83872131629
12.6149565353,22.0084361336,10,0.145682888095,9.8780788191,37.4972047064,0.00366248442687,25.898,16.4672049947,0.544673573898,0.28453538293,0.283373916732,-0.347323,0.303886,0.204897282058,0.0391561,76.5021961007,31.8909077646,16.6516,0.909592,0.290539,0.122212392765,75.4009669242,34.3749938675
8.64552415235,13.6029539976,11,0.197202434079,7.72231784875,36.9198542247,-0.0241459499986,26.2827,23.079514369,0.527609252774,0.401340172992,0.401120081547,-0.450625,0.401513,0.216188405403,0.00960434,74.354801927,30.884012785,16.829,0.970246,0.401384,0.0714419303051,65.3733621936,24.6702730691
16.6711461521,22.0310497134,12,0.137252236018,11.1967140274,53.4752106029,0.0286051796987,27.1523,14.1269954706,0.551092325221,0.501808769662,0.501805051552,-0.543562,0.502137,0.360379424316,0.00870636,75.5192164595,43.9368704094,16.9586,0.954808,0.502006,0.0638788384901,76.2514377934,37.712476717
11.3630308137,21.260046949,13,0.156269672617,7.47529558864,58.6858709972,0.000513736144052,28.3481,16.8829488355,0.552662340419,0.600724114223,0.600724114223,-0.647459,0.601005,0.409538160113,0.00979806,71.6490304617,47.5165902972,17.1736,0.956341,0.600763,0.0642663662699,69.9060077227,36.1413909276
15.6260885027,23.1577348196,14,0.170285226103,9.53753812737,53.3439248321,0.0263112384172,29.9139,18.4545563787,0.552427436141,0.705398108808,0.705398108808,-0.76286,0.705399,0.353964810683,0.0119929,71.8256718725,43.6442471986,17.4412,0.936122,0.704949,0.0692856522372,75.3382201084,50.2148977853
52.445079183,16.3174508518,15,0.0312984667018,20.2311374145,68.0784381299,0.384501336493,31.4291,3.49834596758,0.573218870879,0.818005126374,0.818005126374,-0.882301,0.817977,0.496187786174,0.0143433,76.3608666732,54.3184162471,17.7001,0.847941,0.817432,0.075513922467,100.264670727,60.6091385569
54.7624675376,20.063095781,16,0.0360793318993,10.036709037,68.3481372284,0.353511922834,32.8218,3.42835064573,0.570818596929,0.933654126959,0.933654126959,-1.00599,0.933911,0.506278034569,0.0168421,76.5818856509,54.5005953619,18.0033,0.774467,0.932936,0.0797186439397,105.196352116,57.595507809
59.7056959508,24.1351894342,17,0.0273733580923,7.89095731762,69.6771177441,0.410296713566,34.0301,2.90354646285,0.580018949583,1.05571545538,1.05570844577,-1.14006,1.05591,0.517275521328,0.0195859,76.2524228302,55.3849060372,18.2525,0.816355,1.05493,0.0851710279666,72.1913647884,44.57693267
51.6905622026,22.1574781223,18,0.0479346455032,8.0787187135,64.8784868986,0.324384442213,35.2046,4.66174753034,0.571739230517,1.18449266496,1.18449266496,-1.28206,1.18517,0.479052136642,0.0226351,75.6971042603,52.3146898938,18.5408,0.804707,1.18365,0.0890242551237,77.9298042638,54.4965358526
63.1311102193,23.0759850576,19,0.0216703832225,4.79831702218,68.7773677033,0.46138283815,36.2705,2.33044333584,0.588335386507,1.31694427108,1.31694427108,-1.41994,1.317,0.516147295213,0.0272798,74.8698066607,54.8690142505,18.7795,0.856464,1.31581,0.0960205049768,76.9982498781,52.4324492079
62.5707190871,27.1235099445,20,0.0232561654286,3.4353720539,69.3022193882,0.427171177805,37.4261,2.46182732594,0.580153910197,1.43648118467,1.43648118467,-1.54134,1.43708,0.524206346164,0.0311397,75.905724933,55.2250553061,18.9805,0.833968,1.43549,0.103209163544,119.983370298,50.811698276
21.7366334143,22.4536529964,21,0.0552966936962,6.24811943661,68.8504997437,0.0629374929322,38.4247,5.54040172387,0.588964240462,1.56313746468,1.56313746468,-1.67403,1.56384,0.515269513843,0.033643,78.801370291,54.75074178,19.3319,0.878645,1.56183,0.108652204456,76.1963631431,44.6053796943
16.9081908431,20.2532414566,22,0.0491633364002,7.48715912222,68.6253856479,0.0274582925972,39.4439,5.20861238187,0.572714250255,1.68765337689,1.68765337689,-1.8037,1.68847,0.514285133271,0.0385562,78.0790162307,54.7023684174,19.5028,0.8451,1.68659,0.115367580057,95.1767252832,58.1069225551
17.7558718081,18.9222166413,23,0.0533665773258,10.3845769632,66.3221128128,0.0275327256699,40.4339,5.4318822206,0.561130204102,1.81670963346,1.81670963346,-1.94248,1.81745,0.493430021455,0.0454048,75.8127739322,53.1835693244,19.7573,0.884544,1.81533,0.123723244666,74.441299416,51.4478569332
