MinForwardProgress,StdForwardProgress,AveragePolicySurr,AverageQLoss,AverageY,AverageAbsY,Epoch,MaxForwardProgress,MaxEsReturn,MinReturn,MinEsReturn,QFunRegParamNorm,AverageAbsQYDiff,PolicyRegParamNorm,MaxReturn,AverageQ,AverageForwardProgress,AverageAction,StdReturn,AverageReturn,AverageEsReturn,AverageAbsQ,AverageDiscountedReturn,StdEsReturn
-0.635389339547,0.0659298971667,-0.268278,0.0224321,0.129808954654,0.132170393265,10,-0.271963205823,28.3026009078,-128.028298655,-95.9548161533,14.6727,0.0532732520973,14.698,-54.3718564956,0.159475,-0.455657302054,0.981383,13.3693958395,-91.3491166082,1.74905259216,0.164529,-54.674863485,18.969098315
-0.759173218685,0.0748784383028,-0.215606,0.00249247,0.19684794505,0.200721060507,11,-0.268201603141,-9.06682070821,-153.029451129,-93.8577458186,14.9536,0.0166694069723,14.7621,-52.5570957511,0.197072,-0.472492146465,0.973088,15.3288692687,-94.4341983745,-51.0108669076,0.199947,-56.5752328965,33.97794968
-0.0252612533794,0.00916579459,-0.236361,0.00255941,0.204929486846,0.206449358773,12,0.0340910222911,5.15565678305,-7.08682836916,-49.0710103676,15.0803,0.0196129374123,15.0913,5.38475995596,0.203571,0.00763029017619,0.99846,1.95081844089,-0.0755731904181,-1.52998626455,0.204662,-0.101655340276,7.29922684978
-0.013170587942,0.00794113818975,-0.284659,0.00205842,0.245765629203,0.246275333344,13,0.0286805273255,3.84150431103,-4.89388598777,-3.65285852292,15.2596,0.0211064396425,15.1596,4.04075448841,0.24503,0.00795073891951,1.0,1.69311908507,-0.382521085472,0.00898101897126,0.245512,-0.365931491958,1.62513320044
-0.011907794247,0.00785370032675,-0.305483,0.00179556,0.287825057805,0.288341464395,14,0.0312633152031,4.4295127244,-4.6041484375,-4.17976094286,15.4,0.0197135164615,15.1603,4.6111410866,0.286163,0.00869468369486,1.0,1.67701945993,-0.221178287194,0.0181515124595,0.286882,-0.215330063715,1.67856395101
-0.0164899591502,0.00801503813881,-0.316287,0.000757168,0.306600294575,0.307364353819,15,0.0304404650929,4.11709801984,-5.56585487117,-5.06119643799,15.6363,0.0140156403389,15.1639,4.20091201344,0.305093,0.00839449333293,1.0,1.71387154096,-0.286704515688,-0.360933491872,0.305973,-0.276646282585,1.66320262587
-0.0136507302766,0.00805235842873,-0.308342,0.00124984,0.303711960054,0.304842280724,16,0.0304815102068,4.83456964715,-5.00299588629,-2.91168603525,16.0207,0.0164590421716,15.2187,4.53167576332,0.302422,0.00839338487544,1.0,1.72332878989,-0.288365045448,0.180889973584,0.303842,-0.278739012207,1.63820561752
-0.0168478333673,0.00933787427571,-0.272085,0.00353068,0.280428759402,0.280623725219,17,0.0389592937385,6.62199292729,-5.32334351169,-3.85234350845,16.4788,0.0233139020529,15.0816,6.09462841935,0.280665,0.0116703077954,0.999999,1.94022813728,0.475990187484,0.248750868759,0.282723,0.38194487552,1.93599653698
-0.0175774433753,0.00940452556009,-0.233462,0.00061903,0.244241948017,0.244304837469,18,0.036068420311,5.84490156562,-5.5978912025,-2.97615822941,16.5301,0.0124471946067,15.2141,5.59838775236,0.243393,0.0106306962122,0.999992,1.96253378344,0.254029995802,0.888026589463,0.24355,0.177949409944,1.9517133608
-0.0179149723428,0.00889945158415,-0.227731,0.000435739,0.230901453322,0.231025102301,19,0.0389124486201,3.60232181043,-5.79927099331,-2.95745376316,16.636,0.0107300312717,15.255,6.20948523381,0.230538,0.0106679082021,0.994688,1.85913550014,0.2677634438,0.196238487771,0.2309,0.192007759022,1.47304976342
