MaxEsReturn,QFunRegParamNorm,StdEsReturn,AverageAbsQ,StdReturn,MaxReturn,Iteration,AverageDiscountedReturn,AverageY,AverageAction,MinEsReturn,AverageQLoss,AverageAbsY,Epoch,AverageEsReturn,AveragePolicySurr,AverageQ,AverageReturn,PolicyRegParamNorm,MinReturn,AverageAbsQYDiff
22.0,10.5002,2.20709417431,0.0245312,0.829591535537,14.0,9,11.2925771186,-0.0118877203231,0.00399111,3.0,0.00836065,0.0552278912575,9,5.12615384615,-0.00298938,-0.0217179,11.926102503,10.4335,11.0,0.0632451510093
11.0,10.755,0.740943495444,0.0403645,0.485620906056,3.0,10,2.36337142857,0.0242718935564,0.999973,2.0,0.000791829,0.0392524888488,10,2.83852691218,-0.0738366,0.0242053,2.38095238095,11.2939,2.0,0.0152136537496
5.0,10.8882,0.498961251031,0.060938,0.484488834561,3.0,11,2.35893498099,0.0594160619461,0.999997,2.0,0.000458669,0.0594160619461,11,2.80112044818,-0.0987653,0.0594769,2.37642585551,11.4327,2.0,0.0110953056508
7.0,11.05,0.594735328945,0.0545083,0.488272764758,3.0,12,2.37453684211,0.0541349155878,0.999994,2.0,6.83662e-05,0.0541349155878,12,2.80392156863,-0.060654,0.0541505,2.39234449761,11.3887,2.0,0.0053084935956
23.0,11.2953,2.31168257719,0.0490031,0.4419762278,5.0,13,4.19612080471,0.0488877684324,0.883323,2.0,4.11146e-05,0.0488878291228,13,3.44827586207,-0.0545625,0.0488911,4.2662116041,11.8783,4.0,0.00415374661785
91.0,11.5299,14.164077582,0.0564921,0.792277271333,32.0,14,25.9743411631,0.056216757268,0.760984,3.0,7.74431e-05,0.0562172574625,14,15.5625,-0.0798724,0.0562022,29.928358209,14.0178,29.0,0.00581890113296
56.0,11.7939,14.0557079213,0.067847,1.0149453181,47.0,15,36.2552776917,0.0677354607073,0.0439798,3.0,6.03577e-05,0.0677354607073,15,23.6428571429,-0.0923081,0.0677381,44.8080357143,15.4696,43.0,0.0051531458703
55.0,12.1043,16.3715086833,0.0761925,0.916666512994,66.0,16,47.3943626299,0.0760467988554,0.378517,4.0,6.48304e-05,0.0760467988554,16,26.972972973,-0.100462,0.0760463,63.9171974522,16.4018,62.0,0.0052042895981
60.0,12.4593,16.8008013822,0.0859127,2.07980638007,57.0,17,40.0515866807,0.0857774977882,0.446933,3.0,7.12172e-05,0.0857774977882,17,20.9375,-0.110294,0.0857696,50.9340101523,16.9543,45.0,0.00516404648014
67.0,12.8554,17.1247783896,0.0952236,1.70964360554,58.0,18,41.8496444892,0.0951078009891,0.155978,5.0,7.42999e-05,0.095115920767,18,30.1212121212,-0.1214,0.0950877,53.9569892473,17.3883,50.0,0.00519586900808
56.0,13.2681,14.2410965046,0.106038,1.73509925593,63.0,19,44.0163597237,0.105866750965,0.252232,3.0,9.01243e-05,0.105876519778,19,20.612244898,-0.132925,0.105864,57.7356321839,17.9004,54.0,0.00570632466356
68.0,13.6932,18.7854189934,0.116247,5.63705512946,95.0,20,53.815009508,0.116045799695,0.55341,3.0,0.00010655,0.116050172648,20,26.0526315789,-0.14359,0.116033,77.0230769231,18.5606,65.0,0.00610283519079
66.0,14.0682,16.0744794282,0.12506,1.51156810888,64.0,21,45.5721005108,0.124906289855,0.504975,3.0,0.00011532,0.124907127153,21,20.8333333333,-0.152333,0.124889,60.5361445783,18.9345,57.0,0.00607713445923
62.0,14.5226,16.4889486833,0.134822,1.03535079186,62.0,22,44.8403050521,0.134639896688,0.414314,3.0,0.000132912,0.134639995125,22,19.7254901961,-0.163003,0.134628,59.201183432,19.3587,57.0,0.00636717891697
56.0,15.0053,14.1656249617,0.143815,4.14025002667,90.0,23,54.7600358107,0.143607531063,0.48441,3.0,0.00014001,0.143620778634,23,20.5416666667,-0.173628,0.143606,79.0078740157,19.7466,69.0,0.0063779322201
80.0,15.526,18.626862323,0.153393,208.284016848,1000.0,24,44.6629806585,0.153101851582,0.522325,3.0,0.000164246,0.153162161365,24,24.3,-0.183711,0.153093,102.153061224,19.984,45.0,0.00685616393323
66.0,16.0502,14.9189396388,0.162495,2.42957631125,57.0,25,38.1636155084,0.162128768216,0.387115,4.0,0.000179633,0.162301000789,25,18.4074074074,-0.192959,0.16211,47.8564593301,20.2805,44.0,0.00716769726404
125.0,16.4791,20.0256213438,0.171285,0.656491805231,43.0,26,34.0831732268,0.170731428958,0.415323,3.0,0.00020186,0.171094513806,26,18.7857142857,-0.203386,0.170723,41.4710743802,20.589,39.0,0.00753558924733
61.0,16.9726,14.5684590812,0.180876,0.402552282125,40.0,27,32.5166803846,0.18042147696,0.295915,3.0,0.00021353,0.180660023547,27,16.4,-0.215027,0.180401,39.1328125,20.8814,38.0,0.00761107069293
53.0,17.3536,12.9815572153,0.192415,0.763952082525,40.0,28,32.1650059486,0.191984443006,0.429347,3.0,0.000241552,0.192178061938,28,16.3442622951,-0.226837,0.191979,38.6177606178,21.1976,37.0,0.00773082230221
84.0,17.7751,16.9214894139,0.201018,0.383207501537,37.0,29,30.3757836138,0.200497353073,0.318239,3.0,0.00029381,0.200772042368,29,21.7021276596,-0.236766,0.200462,36.0251798561,21.4715,35.0,0.00868486977258
47.0,18.2584,11.7393240178,0.210535,0.452454397548,35.0,30,29.4511615801,0.210022624482,0.188683,3.0,0.000318625,0.210279922731,30,13.7222222222,-0.247079,0.209984,34.7128027682,21.6624,34.0,0.00875380195415
