MaxReturn,StdForwardProgress,AverageAbsY,MinEsReturn,AverageQLoss,MinForwardProgress,MaxForwardProgress,AverageAbsQ,AverageAction,StdReturn,AverageForwardProgress,MinReturn,StdEsReturn,AveragePolicySurr,AverageDiscountedReturn,AverageY,PolicyRegParamNorm,QFunRegParamNorm,AverageEsReturn,MaxEsReturn,AverageReturn,AverageAbsQYDiff,AverageQ,Epoch
-119.844563792,0.0348212966036,0.0413111245309,-121.362562965,0.000999687,0.0244556380506,0.134316378577,0.0464704,0.924965,4.65699455737,0.0827686158602,-136.972776188,25.8115899046,-0.158975,-20.6934778964,0.039835822096,19.2328,18.3572,-6.2106416484,3.33623343433,-130.277406948,0.00790564270821,0.0416921,10
-114.603415015,0.256561219892,0.11717022667,-84.7931725669,0.000126709,-0.54825289823,0.329844391147,0.117028,0.955332,22.8385728837,-0.0459936553023,-192.519111238,22.5812723032,-0.156482,-13.0722368815,0.108931331163,19.3913,18.7475,-62.2119002636,-39.6306279604,-146.863122222,0.00410645159627,0.108986,11
-111.342958126,0.0466409248969,0.136155406748,-139.901131185,0.00013325,0.119807423826,0.336830704197,0.135899,0.965582,4.47675511388,0.196330048141,-132.124243018,8.97058556961,-0.147239,-14.2090313446,0.118022119539,19.8257,19.1271,-130.930545615,-121.959960045,-124.815677748,0.00436801994936,0.118064,12
-116.746234574,0.048643342143,0.146818304167,-210.843494879,0.000167402,0.129251034327,0.318525962338,0.146585,0.991035,4.71183785698,0.244033260476,-135.091077683,40.3378708643,-0.127036,-12.4611292799,0.112683256621,20.0789,19.6055,-170.505624014,-130.16775315,-124.021766622,0.00530707666976,0.112668,13
-120.018796791,0.0316616639051,0.157670377907,-126.214223912,0.000197928,0.175501697823,0.296795644261,0.157325,0.99968,3.16289770971,0.230533186391,-132.169073498,3.78020830544,-0.12358,-13.3819143662,0.110204244656,20.0333,20.103,-122.434015606,-118.653807301,-126.655400295,0.00531182060418,0.110217,14
-147.074486183,0.0523342105889,0.154173178718,-124.512025778,0.00021955,-0.284353496102,-0.0864145836571,0.153849,0.937614,5.96442772295,-0.186976078069,-169.667237785,3.56667412956,-0.0814319,-37.530956662,0.0906545426006,20.3194,20.5227,-120.945351649,-117.378677519,-158.994826548,0.00581197516021,0.0906471,15
-149.847547319,0.0326089743401,0.134287521967,-157.529875831,0.000242427,-0.122114690022,-0.00702314367142,0.133973,0.99601,3.19833194338,-0.0538616551692,-161.300863917,18.8333189058,-0.0514566,-33.0882637527,0.0532150865233,20.5676,20.9414,-138.696556926,-119.86323802,-154.458714154,0.00597877523537,0.0532505,16
-130.501624119,0.0531601700911,0.122236879686,-158.585980669,0.000266954,-0.00449957925625,0.188651411058,0.12188,0.997324,5.32675388475,0.100588179223,-149.839412744,12.2419125534,-0.0203056,-21.556755627,0.0255092564091,20.8682,21.3538,-146.344068116,-134.102155563,-139.301986231,0.00639598587732,0.0255042,17
-149.701592972,0.051979825941,0.118256925137,-155.711713841,0.000318807,-0.183437784892,-0.00165027447027,0.117904,0.998934,5.18671559145,-0.102558277613,-167.866927163,4.02614437782,0.00650378,-37.1109080279,0.00390266730723,21.04,21.8176,-151.685569463,-147.659425085,-159.788819451,0.00708093983135,0.00393759,18
-147.818746704,0.0177720045805,0.105548026006,-170.758241343,0.000335346,-0.0488936155127,0.0214578348998,0.105089,0.99994,1.7755754084,-0.0123569986223,-154.86090033,6.11771759602,-0.00873399,-30.7543161775,-0.0280050066068,21.1748,22.2518,-164.640523747,-158.522806151,-151.205782979,0.00746743495797,-0.0279995,19
-107.113149297,0.200368971234,0.0969812576814,-151.591823845,0.000351758,-0.153463013206,0.375329233069,0.0965913,0.979989,21.8138804463,0.105375063863,-164.808254415,2.80840298619,-0.0195104,-30.4618045536,-0.0313143329351,21.5155,22.7473,-148.783420859,-145.975017872,-136.061086614,0.00753753929895,-0.0312885,20
-150.705041909,0.0462566892471,0.11754920822,-211.523197903,0.000516138,-0.169869233362,-0.0157733538031,0.116991,0.994046,4.59657438722,-0.0934480640076,-165.904209483,11.498505202,0.0150489,-35.2147239517,-0.0204261957014,21.3239,23.2222,-200.024692701,-188.526187499,-158.260843276,0.00912652289934,-0.0204273,21
