AverageAction,AverageDiscountedReturn,AverageAbsQ,AverageQ,QFunRegParamNorm,wrapped_MinForwardProgress,MinEsReturn,Gather_MedianReturn,Gather_MaxReturn,MinReturn,wrapped_MaxForwardProgress,Epoch,AverageAbsQYDiff,StdEsReturn,wrapped_AverageForwardProgress,wrapped_AverageReturn,AverageAbsY,AverageReturn,wrapped_StdForwardProgress,Gather_StdReturn,MaxEsReturn,PolicyRegParamNorm,Gather_MinReturn,Gather_AverageReturn,MaxReturn,AverageY,AverageQLoss,StdReturn,AveragePolicySurr,AverageEsReturn
0.804786,0.0,0.00225057,-0.000541018,14.9171,-0.5196530514,0.0,0.0,0,0.0,0.107014725832,10,0.000696834987507,0.0,-0.0797988970674,-5.62935211961,0.00229370620839,0.0,0.127031499469,0.0,0.0,17.5508,0,0.0,0.0,-0.000581517934461,2.13017e-06,0.0,3.52244e-05,0.0
0.846066,0.0,0.0018259,-0.000696413,15.0153,-0.371724660528,0.0,0.0,0,0.0,0.224108042764,11,0.000328850785983,0.0,-0.129556934513,-6.82159914848,0.00185168723347,0.0,0.188783143605,0.0,0.0,17.4854,0,0.0,0.0,-0.000695781819808,3.01995e-07,0.0,-4.99215e-05,0.0
0.997064,0.0,0.00156397,5.62086e-05,15.0729,-0.396367850941,0.0,0.0,0,0.0,0.467053592119,12,0.000223093156084,0.0,-0.0467062066549,-5.92330039292,0.0015876476983,0.0,0.236881668726,0.0,0.0,17.5044,0,0.0,0.0,5.62941715598e-05,1.74468e-07,0.0,-0.000825323,0.0
0.999889,0.0,0.0017532,0.000745388,15.1244,-0.365795211446,0.0,0.0,0,0.0,0.29245295553,13,0.000209836960397,0.0,0.0348721951216,-4.30193447988,0.00177288530212,0.0,0.181826175388,0.0,0.0,17.5769,0,0.0,0.0,0.000745272700909,1.58808e-07,0.0,-0.00146404,0.0
0.999856,0.0,0.00199831,0.00111526,15.1738,-0.291287132501,0.0,0.0,0,0.0,0.394842926742,14,0.000223666110838,0.0,0.0521100996592,-3.96879869068,0.00201665682124,0.0,0.222055903154,0.0,0.0,17.6197,0,0.0,0.0,0.00111553767172,1.85883e-07,0.0,-0.00154256,0.0
0.525681,0.0,0.00219096,0.00140257,15.2114,-0.16991813708,0.0,0.0,0,0.0,0.716766006103,15,0.000214692301886,0.0,0.161973759469,0.630170005121,0.00220876018914,0.0,0.216501993985,0.0,0.0,17.5507,0,0.0,0.0,0.00140275396902,1.88602e-07,0.0,-0.00165082,0.0
0.999977,0.0,0.00219635,0.00149342,15.2791,-0.369055988934,0.0,0.0,0,0.0,0.409657092952,16,0.000216395061002,0.0,0.00613919775982,-4.88079079137,0.00221260487463,0.0,0.220973967378,0.0,0.0,17.6043,0,0.0,0.0,0.0014928961625,1.93806e-07,0.0,-0.0016475,0.0
0.999981,0.0,0.00202726,0.00136912,15.3259,-0.469185273912,0.0,0.0,0,0.0,0.456689917828,17,0.000211436781766,0.0,0.000616230922365,-4.99900614496,0.00204591524925,0.0,0.2598636606,0.0,0.0,17.815,0,0.0,0.0,0.00136919590493,1.94959e-07,0.0,-0.00135985,0.0
0.998216,0.0,0.00187663,0.00127091,15.381,-0.382593647183,0.0,0.0,0,0.0,0.371120234118,18,0.000202899938247,0.0,0.0854320236899,-3.28848010544,0.00189463548033,0.0,0.238361011385,0.0,0.0,17.8167,0,0.0,0.0,0.00127092467271,1.88179e-07,0.0,-0.00122912,0.0
0.999556,0.0,0.0016455,0.00109077,15.4429,-0.354161468041,0.0,0.0,0,0.0,0.191309977487,19,0.000178975519813,0.0,-0.0580266072725,-6.13862519119,0.00166021494709,0.0,0.167663480199,0.0,0.0,17.8129,0,0.0,0.0,0.00109049356763,1.49092e-07,0.0,-0.00103536,0.0
