AverageReturn,AverageAbsY,AverageAction,AverageQ,AveragePolicySurr,AverageForwardProgress,StdReturn,PolicyRegParamNorm,AverageY,MaxForwardProgress,StdForwardProgress,AverageDiscountedReturn,AverageEsReturn,MaxEsReturn,MinReturn,AverageAbsQYDiff,MinForwardProgress,AverageQLoss,QFunRegParamNorm,MaxReturn,StdEsReturn,MinEsReturn,AverageAbsQ,Epoch
13.080564806,0.119628661687,0.0106554,0.115845,-0.0818045,0.015882619193,1.61857511417,14.1728,0.119628661687,0.0748251904582,0.0209939381468,12.3473284731,34.5143969653,63.5923373683,8.48607726316,0.037905829869,-0.0515549502911,0.00267791,14.0872,17.4061762694,11.8066032289,0.9931646993,0.115845,9
4.26157082015,0.124824399192,0.983326,0.12448,-0.132926,0.00130134800622,0.530961706433,15.0906,0.124824399192,0.0297931398687,0.00764379614449,4.19388787774,4.60829694397,27.0768089262,2.36483021817,0.018161627194,-0.0256819507505,0.000870068,14.4704,6.83642456692,1.84149412868,2.65476354694,0.124575,10
4.27774914703,0.140119123272,0.994794,0.139981,-0.145658,0.0012634748396,0.516694135973,15.3533,0.140119123272,0.0314326744904,0.00750453970291,4.20958111582,4.30919974575,5.84510498529,2.44516059111,0.0124563320268,-0.0277507086704,0.000420357,14.8218,6.91999969806,0.456586193265,3.25547640621,0.140048,11
9.58843995342,0.137505399445,0.932387,0.137426,-0.137601,-0.0582429623658,3.34639175043,15.6359,0.137504656842,0.0402279517723,0.0308428484948,9.04828260122,4.62356074337,28.8203913845,3.02177713265,0.01014558831,-0.149205440205,0.000289047,15.2744,31.9764802927,1.87517437376,2.63855972263,0.137481,12
19.7341970154,0.13698049563,0.99075,0.136862,-0.168638,0.0593640187837,6.35319375342,16.0207,0.136961006782,0.183396164072,0.0380650544225,17.9998657361,4.04401011989,29.6129717155,5.45031444233,0.011537772039,-0.0332387398541,0.000395243,15.9041,38.6296464235,3.84591265404,1.90260021439,0.136991,13
33.1423708045,0.166444166421,0.941167,0.16625,-0.202703,-0.10287336325,19.6569486609,16.1023,0.166428206966,0.138936466427,0.0425990730704,26.8304922514,22.9648394212,93.4738709212,8.04017412008,0.0129309241424,-0.159801953391,0.00049126,16.513,211.092823698,13.484242335,5.35330706146,0.166427,14
27.2404135511,0.180133662556,0.957829,0.179993,-0.196266,0.0783291589001,6.32498818359,16.1647,0.180113915708,0.133946606814,0.0271902465292,24.1327057994,36.6736021388,83.2051425639,15.3266559298,0.0129064081082,-0.0858557492626,0.000519064,17.0339,63.6205413547,16.0417721511,17.218286427,0.180193,15
18.9076246816,0.1813622772,0.809813,0.181286,-0.195284,0.051158205098,3.53322009618,16.2348,0.181356222954,0.216155020161,0.0308489760996,17.4034817414,34.7048453748,93.1254670406,9.65031236272,0.011953217069,-0.0147302519363,0.000460162,17.5235,35.8802015188,21.1421980508,15.1770408779,0.181435,16
13.4117188628,0.183266709729,0.824416,0.18322,-0.197705,0.0117879318235,2.22099251825,16.3426,0.183259788376,0.0886071063337,0.0210838369245,12.6103734726,17.9230843398,57.4360398506,7.51938811451,0.0120377311721,-0.0619376946945,0.000489399,18.1017,24.0823463338,7.93740096008,8.18985903014,0.183372,17
13.2459800448,0.185839965061,0.853793,0.185799,-0.199005,0.00986641912742,2.8566521,16.434,0.185834381973,0.0966297684147,0.0222867226253,12.4392524159,13.3847049446,26.1829443668,7.67461073274,0.0126707713484,-0.0548273606159,0.000562824,18.6935,27.7282003618,3.61215810214,7.23916635576,0.185915,18
37.1300623105,0.187462182239,0.790926,0.187388,-0.210567,0.194254203055,17.4044255559,16.6137,0.18740803211,0.535033287003,0.151703281909,31.5582474449,11.6012580017,55.7702846297,6.46053504088,0.0139242230969,-0.0171575937304,0.000623029,19.4277,83.5754321828,5.36931996047,6.14333189542,0.187582,19
59.3836206683,0.190652517048,0.752877,0.190573,-0.213993,-0.0820212928877,28.3695297988,16.7753,0.190634397717,0.18703252481,0.0692483446751,42.5104441665,21.7369171206,105.276067789,13.0325418954,0.0146637356735,-0.205395627671,0.000647402,20.0686,149.725751806,15.6079453295,6.89355905567,0.190744,20
174.598175647,0.202466440511,0.701678,0.202383,-0.2265,-0.0885905394677,133.910469289,16.8252,0.202464675784,0.136395328685,0.110948078489,68.0950535193,47.0572746165,154.335521178,20.2666066445,0.0158512891883,-0.245790942889,0.00072989,20.7796,491.592771033,33.3096254573,22.1002272167,0.202566,21
56.2779242244,0.215278811812,0.708249,0.215238,-0.237148,0.270962834288,12.8795868315,16.8569,0.215274751521,0.562851640723,0.124632636183,44.8723267869,60.7735139203,100.439962505,34.1842519405,0.0165006552001,0.0667611956534,0.000821576,21.4811,128.275833336,19.3637560855,29.7225799802,0.215454,22
74.9393781609,0.224400864163,0.582885,0.224337,-0.245113,0.462461024201,8.56995958638,16.9089,0.224391265412,0.530106728123,0.0708288559082,56.9300098006,64.8741958796,114.489206643,20.342926575,0.0168485478335,-0.0464355336852,0.000889767,22.1299,107.250759932,16.8554796088,16.502418711,0.224632,23
36.2889603104,0.23210202811,0.490105,0.232062,-0.252409,0.1820136143,19.5138618758,16.9669,0.23209987957,0.542357428607,0.161516403564,30.6242889741,57.0092062644,87.9640699024,12.1171226269,0.0162789202382,-0.00760516216197,0.000886574,22.7983,84.7818048986,24.9513953099,1.98418887816,0.232369,24
56.3983988996,0.240720122095,0.55166,0.240666,-0.260888,0.376595878834,20.677827876,17.0511,0.240717002638,0.577214283174,0.178695724138,45.3844839171,39.0097601634,76.3928526696,11.5614956587,0.0161709853089,0.010650810738,0.000924461,23.3998,78.9458272718,23.8098181835,3.50595241834,0.241032,25
54.9106581488,0.24877793259,0.548492,0.248728,-0.268784,0.356048756427,24.2340734574,17.1572,0.24877570761,0.564739877612,0.202185602401,43.9492968028,50.879798475,82.8830878911,15.0290773332,0.0165580547005,0.00829118484452,0.00101243,24.0519,77.70427578,23.2905397666,14.2674399958,0.249071,26
91.7222436083,0.257534572376,0.626512,0.257452,-0.277128,0.523791592389,10.7813029803,17.2803,0.257503631122,0.609137531499,0.0493969662789,64.9706115185,65.926586124,92.2806594723,64.141311065,0.0167787436392,0.34188896113,0.00111548,24.5755,124.565603953,16.789687836,19.135351433,0.257854,27
150.899773601,0.265716713564,0.629589,0.265634,-0.284467,0.206137082125,94.4952917783,17.4006,0.265707267875,0.643892027553,0.187869408798,71.6844594979,87.4380539453,131.168710428,24.1584324034,0.017009097457,-0.184779174235,0.00112381,25.0822,505.062746172,26.0303095752,10.9651515646,0.26601,28
151.01166008,0.273008808694,0.810852,0.272939,-0.291691,0.356903708649,73.7361565099,17.5351,0.272978925635,0.614731510949,0.293728728754,72.7662120991,105.775981135,194.310053026,11.0137134049,0.0170977828508,-0.296879690073,0.00119705,25.5684,362.463294698,49.0316337432,2.84718380491,0.273327,29
36.7567845631,0.280702400362,0.65899,0.28064,-0.299713,-0.133554209264,21.2288070534,17.6748,0.280685823431,-0.0229205572753,0.0517329248655,28.482679441,63.3771115017,148.703207102,10.0808415624,0.0169967630892,-0.288963922646,0.00121847,26.032,129.584773251,44.8747618498,11.5438234759,0.281081,30
67.502393837,0.28820170081,0.696302,0.28812,-0.307758,-0.16371072168,53.772114187,17.8636,0.28816085428,0.00715900534949,0.0573641020541,41.819311215,59.4477741897,219.092944279,14.1844415718,0.0174567511162,-0.268871423215,0.0013062,26.5228,289.120386493,49.4546746319,8.49595821173,0.288591,31
202.945109195,0.296560293446,0.681886,0.296479,-0.315812,-0.193082491963,133.927784707,18.0389,0.296545623578,-0.0816367904721,0.052145972954,72.4917737333,51.1404244038,130.54517655,24.4003740926,0.017295411136,-0.284820950475,0.00125545,27.0213,490.492705774,30.6322462183,9.28813614795,0.296935,32
37.8175470285,0.302735626747,0.67349,0.30264,-0.322019,-0.14005829249,18.0057211584,18.2074,0.302714793208,0.591136423191,0.117100886365,30.0664542061,39.674949649,65.0239604647,13.1662441903,0.0177281676081,-0.272041933124,0.00136264,27.4579,143.58606232,13.737128817,15.377408086,0.303222,33
82.387613902,0.309263255794,0.683198,0.309245,-0.328844,-0.094210628982,50.7190822736,18.4148,0.309235174293,0.540827935097,0.196243219904,51.651166473,36.211494711,73.1919897814,23.5078854533,0.0179898963671,-0.271242240311,0.00137628,27.9581,496.085251624,16.7715337842,12.4471575793,0.309769,34
73.0024454113,0.316317661492,0.689053,0.316219,-0.335608,-0.0353578129537,34.8024349924,18.5867,0.31625082276,0.642057831375,0.287135208118,48.7893056247,88.9338993852,187.60069816,20.6458178458,0.0183751817425,-0.275372046001,0.00145199,28.4038,186.141583747,49.334390716,32.9387945035,0.316818,35
101.007683543,0.322962417007,0.645491,0.322807,-0.342484,0.504822847861,21.7709235322,18.7482,0.322884391159,0.632511270032,0.130998628035,66.9557086283,80.9575306425,202.773118513,34.2811367973,0.0183454231622,-0.157526585155,0.00145998,28.8277,198.430687241,49.9012450293,16.6740659251,0.323429,36
145.258555579,0.330406422706,0.624614,0.330301,-0.350641,0.555007890616,56.5133768746,18.9129,0.330338411906,0.726852208697,0.0666754005052,77.2117273528,145.176757492,264.672133859,82.4825492923,0.018403339212,0.22203049116,0.00145813,29.2646,333.881636668,62.7058335779,74.8056335695,0.330952,37
201.553004166,0.338112653075,0.681655,0.337988,-0.358132,0.620877233684,77.2613057467,19.0872,0.338044522259,0.996268675873,0.20171063798,84.5130483017,102.702944839,187.738815728,42.3169930391,0.0188813972234,-0.0456265803967,0.00156638,29.6575,495.461677097,49.3406835973,16.6753659701,0.338646,38
103.426146186,0.346688028857,0.626579,0.346612,-0.366022,0.645645517157,20.2612369295,19.2257,0.346617791713,0.922835628002,0.181188748144,69.8727095983,107.870466545,164.691457306,26.0862270112,0.0189522834789,-0.0144886198096,0.00158209,30.0211,147.87412569,27.7983636882,57.7606433908,0.347228,39
99.7786842346,0.352526601364,0.614256,0.352317,-0.37201,0.668110403701,13.6724882174,19.3616,0.352396068452,0.984928272965,0.126918481454,69.7719890291,100.753269166,140.846094917,63.360997639,0.0192431652469,0.275004675768,0.00166382,30.4107,131.522158591,19.196842982,75.3776925835,0.35307,40
104.624612441,0.360059271575,0.628597,0.359947,-0.379731,0.74943164109,17.6357047913,19.4911,0.359948971323,1.13234378999,0.183116675147,72.2807386471,106.056692799,137.813644665,55.7105985439,0.0195789359802,0.203032985557,0.00176487,30.7591,149.783863596,29.8077341921,42.9121328979,0.360673,41
98.7769982666,0.368303029385,0.62909,0.368103,-0.387799,0.747163265733,13.3544564832,19.6004,0.36816334907,1.05448032276,0.151365753711,70.5787593637,114.197054209,150.307413234,31.922539003,0.0192233594546,0.146545362638,0.00170372,31.0676,131.06719317,28.2697248641,29.9683885787,0.368844,42
102.920052999,0.375899988377,0.63365,0.375654,-0.395314,0.829302620014,14.5097775911,19.7248,0.375702491683,1.13701356432,0.169429322149,73.283629031,94.2233228741,134.953614131,24.4470437115,0.0193997416559,0.0568803433748,0.00179192,31.3862,133.684517519,33.8524411705,11.4588533174,0.376462,43
120.965872798,0.382679899304,0.650027,0.382468,-0.402469,1.01758238491,36.2652394551,19.859,0.382539757591,1.47100061281,0.395410192389,79.8925398002,102.44008499,158.850400323,26.8770910813,0.0196884928756,0.029438166789,0.00185693,31.7213,172.399838429,34.8050957904,28.4208911107,0.383258,44
131.054792062,0.390867065128,0.652494,0.390649,-0.40973,1.05010935395,31.8126757281,19.9791,0.390682802333,1.40895750268,0.3040660142,84.0980496007,130.630007833,161.691077933,26.3631088463,0.0193010554863,0.0334421242667,0.00179761,32.0546,261.159462998,38.4393114413,4.70177150693,0.39154,45
153.811772913,0.397505903241,0.657227,0.397144,-0.416527,1.06157094593,38.2642263708,20.0924,0.397189296917,1.44908629878,0.342777912331,87.4896668027,127.379331428,183.310832075,49.3946078178,0.0200639531564,0.115075719829,0.00201901,32.412,242.595963571,46.6742926447,8.90713356642,0.398106,46
177.45325717,0.40462177385,0.679338,0.404314,-0.423629,0.740183745137,74.5134373128,20.1941,0.404337116501,1.50379835837,0.421292613594,83.8798312168,180.297669414,493.591281791,43.8348632992,0.0197770914308,-0.15380185577,0.00193923,32.7788,374.654401874,136.905988201,16.9671080961,0.405288,47
362.998989819,0.411850312202,0.7025,0.411501,-0.43049,-0.0479573867869,171.153621083,20.2871,0.411532252551,0.119380281176,0.0893396895123,86.7989702755,248.879203948,408.928151825,34.8648952348,0.0193949610306,-0.198351106741,0.00188214,33.0995,500.716631831,146.491979279,27.9110948868,0.412491,48
159.86958617,0.418413334736,0.699383,0.417935,-0.437381,0.0953876059511,106.51161316,20.3809,0.418028872897,1.17528637178,0.26613378137,70.7816198906,209.200626699,424.629762666,36.7131918196,0.0199672398357,-0.156526621738,0.002004,33.4502,503.79761863,116.914981416,78.3227617223,0.41902,49
113.659770251,0.424975538571,0.731523,0.424664,-0.443336,-0.101231513403,80.7066315685,20.4554,0.424669305841,0.158664357606,0.0913274445172,57.5602681406,165.66851857,315.084983916,19.972819524,0.0198369363655,-0.265494497847,0.00204952,33.7643,378.300479648,101.231140569,30.8464146162,0.425738,50
111.840615482,0.431389297414,0.754714,0.430965,-0.450144,-0.174027683272,81.7141887036,20.5422,0.431050945491,0.0237803820408,0.0694245492393,56.8128794787,73.4872365346,148.193139336,20.5977810731,0.0200280956489,-0.290360959357,0.00206347,34.0872,366.935018728,39.9688187914,7.72873303331,0.432155,51
88.1288903251,0.438379767855,0.757471,0.438077,-0.457188,-0.195657432426,51.1201225605,20.6167,0.438069834038,0.0831972681202,0.0801899488686,52.4165139067,104.734653899,183.926884894,26.6891677534,0.0198908818714,-0.319391377849,0.00200188,34.3798,352.05615086,51.9944424762,30.120842823,0.43913,52
85.005323208,0.444247527598,0.752087,0.443864,-0.463048,-0.146010237302,41.469115404,20.6952,0.443904988297,0.0450813014488,0.0789820194034,52.1478960724,62.4010920902,147.745378557,26.6685089665,0.0202189691097,-0.271933778012,0.00208525,34.6694,210.379583713,36.5786233871,3.86555155579,0.444923,53
104.005442938,0.449064417336,0.744406,0.448692,-0.467801,-0.135648950073,60.2170684528,20.7676,0.448740323359,0.120190393732,0.0954982855305,58.0605142321,100.059111609,368.304674342,28.5968473749,0.0205945853888,-0.283618305009,0.00216065,34.9508,323.0621215,96.4108171409,32.5473620654,0.449696,54
