AverageAbsQYDiff,PolicyRegParamNorm,AverageAction,AverageAbsQ,StdReturn,AverageReturn,StdForwardProgress,QFunRegParamNorm,AverageAbsY,StdEsReturn,AveragePolicySurr,MaxEsReturn,MaxReturn,MinReturn,AverageDiscountedReturn,AverageQLoss,AverageEsReturn,MinEsReturn,MinForwardProgress,AverageQ,MaxForwardProgress,Epoch,AverageY,AverageForwardProgress
0.000805155691039,13.0533,0.998961,0.00744727,4.23494929859,-29.6754845158,0.0422885237848,10.1519,0.0073850268389,7.83605155082,-0.00631023,29.5993800767,-18.1304174509,-43.8521372747,-18.5294328169,3.26786e-06,-2.88356601194,-34.7936896129,-0.138714437247,0.00706951,0.11853750528,10,0.00707772705829,0.00277061491884
0.000487121953888,13.0144,0.999999,0.0102427,3.94251815458,-36.3189496606,0.039440433152,10.2636,0.0102754061949,5.93946468233,-0.00930191,-23.1255837746,-25.8392720102,-46.5687408888,-23.2624619126,9.69098e-07,-33.4915155665,-40.5330300997,-0.168350394517,0.0100516,0.0392595073829,11,0.0100507819387,-0.0657063289566
0.000773834233026,13.0389,0.977709,0.00867187,24.6038299927,66.2663177166,0.243496105222,10.4873,0.00870727404343,46.5069326942,-0.00619951,101.017069809,107.450988,-0.870400345132,33.5790806541,2.8117e-06,30.1634618347,-53.9912838551,0.261892910338,0.00776782,1.32931901534,12,0.00776910945916,0.91962459446
0.000947270748688,13.0448,0.956621,0.00810779,12.0634630095,-4.12840935227,0.120111981724,10.7805,0.00815462925488,25.3002098456,-0.00545847,43.6822205696,31.298061227,-40.2006178062,-3.46242175768,3.99085e-06,0.571873602648,-32.1760631,-0.115462576105,0.00626602,0.595654469928,13,0.00626645367984,0.243612338383
0.00106725331696,13.2271,0.959983,0.00873596,4.2850926698,-33.1515316042,0.0428899978955,11.1034,0.00881219637317,22.186648819,-0.00481851,29.4986403867,-23.0479015046,-44.8998599936,-20.6859284586,5.54003e-06,-31.0510821377,-58.0123169077,-0.165876077219,0.00496028,0.0523393912707,14,0.00496257138656,-0.0484260996287
0.00126808796573,13.7531,0.906593,0.010019,3.57419269921,-27.0829118266,0.0361086233183,11.4266,0.0101113449156,5.21333541165,-0.00397575,-23.2020188264,-17.2792315164,-36.65634434,-17.5050862028,7.03173e-06,-30.3691690612,-42.9463667291,-0.101187826172,0.00351999,0.0962281008455,15,0.0035212612843,-0.00118175193218
0.00129688587448,14.0841,0.965817,0.0110982,3.20473339361,-31.7182280886,0.0327453249517,11.7504,0.0111897628764,2.93799120918,-0.00228543,-28.1324456492,-24.1018115214,-39.2072776247,-20.1651404401,7.79815e-06,-31.6261985044,-37.5466959125,-0.105303723297,0.00224584,0.048621377487,16,0.00224708770691,-0.0297896260649
0.00138194833653,14.2873,0.979695,0.012757,4.4204418341,-37.729387007,0.044252959635,12.0816,0.0128533746207,2.35487371224,-0.00041505,-32.803812194,-24.9884972627,-49.0961526623,-24.2171024382,8.55635e-06,-38.4096247506,-41.5026923272,-0.202566788644,0.00045828,0.0394596968788,17,0.000458043847883,-0.0868903807817
0.0015127351996,14.298,0.999926,0.0143015,3.75993199035,-36.3224981052,0.0376203531755,12.4025,0.0144078803652,4.95117381251,0.00360749,-30.8357291476,-28.0007200615,-48.2166369764,-23.2653207776,1.06341e-05,-37.6435219905,-44.9056679544,-0.184717162448,-0.00225868,0.0175765779087,18,-0.00225710762962,-0.0657768731895
0.00142348735418,14.6814,0.992247,0.0155913,2.97036886389,-32.0979811343,0.0299641963746,12.6229,0.0156962009507,1.83650507622,0.00518562,-26.2174657534,-25.9392571505,-41.9959238219,-20.4360079474,1.02513e-05,-30.2658550493,-33.7100581424,-0.125854868802,-0.00509387,0.03623214196,19,-0.00509385123607,-0.0255106389633
0.00151457584726,14.782,1.0,0.0171297,2.84418925161,-31.3252705165,0.0284408847642,12.9226,0.0171992580601,2.69072501742,0.00819561,-26.1442797778,-25.2925649915,-40.5317617727,-19.9424242391,1.18109e-05,-31.1220656323,-34.7424439612,-0.107354256272,-0.00743692,0.0449961800804,20,-0.00743604805594,-0.0153649222196
0.00162398022263,14.6273,0.991112,0.0195411,3.87228779027,-36.0124759075,0.0388048349977,13.1863,0.0196355430821,3.6878208889,0.0114054,-29.1910230088,-24.7956455166,-44.5768314783,-23.0325893384,1.38278e-05,-36.2129380978,-40.6923787668,-0.15159183036,-0.0104708,0.0465747988019,21,-0.0104722637677,-0.0653424691059
0.00164993978186,14.6595,0.999998,0.0224116,3.12400068379,-36.6926043533,0.0312462175126,13.4455,0.0225226925795,2.50829211056,0.0156509,-32.0025309683,-29.5788395773,-49.4540181546,-23.6035521495,1.4005e-05,-35.550577579,-39.8209151697,-0.197166089683,-0.0139108,0.00180941629123,22,-0.0139089429459,-0.069442094121
0.00169398739774,14.8709,1.0,0.0258372,2.96884806183,-30.8613245234,0.0297227842641,13.7796,0.0259037730043,3.13647264473,0.0189068,-27.7947742273,-24.576022207,-39.7823559794,-19.5511409588,1.53545e-05,-33.4458952762,-36.4866421071,-0.0998069856427,-0.0175707,0.0520367835284,23,-0.0175685744448,-0.0107135159822
0.00186072683788,14.8975,1.0,0.0294649,3.14267779501,-31.1834892266,0.0314348866075,14.0764,0.0295746480112,3.39619504137,0.0225843,-24.0335784946,-22.6399219134,-39.3711792854,-19.8607910265,1.93911e-05,-31.1416334972,-37.5800601348,-0.0957382214185,-0.021147,0.071712638244,24,-0.0211437832738,-0.0139472260942
0.00184487426182,15.0321,0.999983,0.0334296,3.54079536956,-31.0201539002,0.0354130105536,14.3572,0.0335158116152,2.4469875923,0.0271457,-28.2537036009,-22.348322155,-40.6296354582,-19.6974078845,1.96101e-05,-32.5188060254,-37.1024353241,-0.108204608897,-0.0250034,0.074465192123,25,-0.0250009738999,-0.0123349754201
0.00190561103095,15.219,1.0,0.0371745,3.32919624412,-31.1900387796,0.0333000568936,14.5992,0.037274957669,3.02805788557,0.029655,-24.9018575672,-24.5795719933,-39.3063829064,-19.8670976858,2.2082e-05,-31.6835448707,-36.392524061,-0.0950283684303,-0.0285408,0.0524220620282,26,-0.0285392725725,-0.0140101985187
0.00198927739686,15.2244,0.988714,0.040962,3.38907875272,-31.4717196687,0.034133113138,14.8659,0.0410457263016,5.46557112476,0.0344421,-21.7969567178,-24.4620703239,-39.0467342192,-19.9098344347,2.4492e-05,-34.441157453,-42.5333507625,-0.0966323442184,-0.0325014,0.05109731056,27,-0.0324934667129,-0.0202876191323
0.0021259560394,15.4054,1.0,0.0448376,3.10863197432,-30.6305830038,0.0311033690444,15.1421,0.0449737528799,1.99284018382,0.038248,-28.6532222676,-23.7983448414,-38.6460520583,-19.3617395879,2.87188e-05,-32.1073093802,-34.9647613245,-0.0884604384875,-0.0366927,0.0598546045457,28,-0.0366906810542,-0.00841672717618
0.00205611179118,15.3959,0.998233,0.0486187,3.72338973422,-37.5056807991,0.0372330467755,15.4367,0.0487399021297,3.37146289482,0.0427442,-26.2834428658,-29.0056529181,-48.6990868655,-24.2746378082,2.55314e-05,-34.4423940674,-38.9367676675,-0.189990200704,-0.0408278,0.00700796884122,29,-0.0408207140282,-0.0780869520902
0.00210694792505,15.7139,0.918859,0.05255,3.12774468204,-33.4995193629,0.0320321504789,15.7346,0.0526563299618,4.0933056335,0.0461084,-32.7692149526,-26.2030815057,-40.7528141813,-21.6043447934,2.88108e-05,-38.4194215294,-47.5270910258,-0.135890845843,-0.0447305,0.0141237602054,30,-0.0447238959944,-0.06172839825
0.00212554337214,15.8135,0.981189,0.0554714,3.00204941954,-32.3130792596,0.0307585081379,15.9955,0.0556121925348,2.01048948202,0.0483135,-29.9414354332,-22.2567608367,-39.7113295116,-20.5756940633,3.26236e-05,-32.5910759615,-36.4064264724,-0.105424648116,-0.0477855,0.0709012279867,31,-0.047780759226,-0.0309515453461
0.00213537127876,16.0255,0.887761,0.0583834,4.38155978226,-33.700221569,0.0424773737908,16.2453,0.0584876437557,2.2208570757,0.0507493,-27.8281053306,-24.0676178175,-46.6553207226,-21.9549557771,2.88599e-05,-32.7750348731,-35.5925902977,-0.196421608807,-0.050107,0.0250716062916,32,-0.0501051663147,-0.0731072252747
0.00234929546105,16.0337,0.999409,0.0611805,3.91181454781,-36.2394581175,0.039168000597,16.581,0.0613352433558,3.26628450137,0.0536008,-27.2290772172,-28.717467546,-45.6268701377,-23.2510881109,3.99159e-05,-34.3937065077,-39.1395617843,-0.15918308812,-0.053019,0.0101925334809,33,-0.0530171686389,-0.0651098617361
0.00241457399483,16.0875,0.900134,0.0637374,5.79279028602,-34.5310436616,0.0569230652944,16.7883,0.0638831005449,3.95703195281,0.056944,-32.0862579527,-22.3846115931,-53.6188474283,-22.4986304099,3.97778e-05,-36.8670377468,-45.3103675292,-0.266911285405,-0.0560474,0.0425692514559,34,-0.0560465616238,-0.0777597406
0.00246612943924,16.1391,1.0,0.0666553,3.40234059954,-31.2460144674,0.0340567367928,17.021,0.0667927070643,1.33951880489,0.0586758,-28.6401764655,-23.3254231482,-41.7117130592,-19.8845254874,4.43082e-05,-30.8381202627,-32.5351789022,-0.119315179632,-0.0585796,0.0645621194648,35,-0.0585775243351,-0.0145858717179
0.00242390936545,16.2586,1.0,0.06866,2.86045079041,-30.7259730911,0.0285878051258,17.3007,0.0687842709589,4.03186220201,0.0608236,-27.4165739151,-22.8055229148,-36.6535645148,-19.4785234236,3.9545e-05,-31.7441800049,-40.7645843359,-0.0684602957296,-0.0606039,0.0701139561713,36,-0.060600867896,-0.00936369336986
0.00258072834554,16.318,1.0,0.070504,2.88394645504,-31.5373332191,0.0288601279378,17.5812,0.0706183766247,2.59211265342,0.0631597,-27.0270403161,-25.2302711454,-38.7319650409,-20.1488213647,4.12924e-05,-31.3102779194,-34.6852758567,-0.0894389980276,-0.0625679,0.0455660735222,37,-0.0625658615785,-0.0174746463042
0.00261444975852,16.3879,0.968148,0.0733052,5.78805485082,-42.0398817046,0.0574834691105,17.8655,0.0734550532159,3.38294076206,0.0668896,-27.4762523036,-26.6513932841,-57.6301082077,-26.2080142103,4.88009e-05,-32.1564323617,-39.9423752228,-0.290073356717,-0.0656553,0.022672594079,38,-0.0656524489483,-0.133144033
0.00248829334652,16.5508,1.0,0.0766571,3.00077841335,-30.9760921923,0.030002379214,18.1042,0.0767683650206,4.6872885315,0.0705957,-27.0027709186,-23.9438152221,-38.4561903019,-19.6758987536,4.17157e-05,-32.4545252635,-41.3670410931,-0.0866711796264,-0.0692725,0.0583086316448,39,-0.0692758709612,-0.0118827156093
0.00263532770663,16.599,1.0,0.0787903,3.35358553763,-30.7013724327,0.0335268291044,18.455,0.0789045174287,2.83586854389,0.0706738,-26.1125843311,-21.4201518391,-39.2681771944,-19.4746056672,4.61011e-05,-30.7376692945,-34.0405448342,-0.094914070844,-0.0710291,0.0834459486355,40,-0.0710320255976,-0.00912898392424
0.00266826329616,16.6093,1.0,0.0804435,3.46359336706,-31.6112364997,0.0346541070367,18.7259,0.08057654883,2.70227428164,0.0738266,-26.4141860839,-23.5939751992,-40.7573798252,-20.2011676444,4.95715e-05,-31.1284960423,-35.6125488225,-0.109684060582,-0.0733084,0.0619628535019,41,-0.073310326487,-0.0182312740159
0.00255348100816,16.6096,1.0,0.0829852,3.04365027632,-31.0740069819,0.0304439615745,18.959,0.0831116521756,3.28845933302,0.0764258,-23.4581799007,-23.5368943415,-37.9889411687,-19.7405073898,4.51877e-05,-29.957506519,-34.8536208246,-0.0817797310887,-0.0754479,0.0625912707029,42,-0.0754425947542,-0.0128430687706
0.00250206506697,16.6942,1.0,0.0851238,3.42443607624,-31.1425251218,0.0342724855789,19.2327,0.0852343206495,5.28508633015,0.0788107,-28.2528742426,-22.3541617166,-38.4707632201,-19.8019231281,4.53503e-05,-33.5815499235,-48.0915528439,-0.087052134599,-0.0781247,0.074521648196,43,-0.0781290598244,-0.013536830033
0.00245351564467,16.8234,1.0,0.0870318,3.08510816706,-30.9666114701,0.0308280266708,19.4293,0.0871376316483,2.76292373845,0.0814982,-26.9546366393,-22.9702987579,-36.7230334333,-19.6602019182,4.45032e-05,-31.2640550808,-35.926569522,-0.069448970954,-0.0807495,0.0680830146937,44,-0.0807421407216,-0.0117730313243
0.00253776272644,17.0232,1.0,0.0895925,2.94456329037,-31.3113818613,0.0294695217686,19.664,0.0897001621723,2.79965895179,0.0837135,-29.0276408007,-23.9680732473,-37.7330601066,-19.9507305817,4.39481e-05,-32.925676903,-37.3392837992,-0.0792965486023,-0.0832405,0.0582259657357,45,-0.0832375340536,-0.0152106221636
0.00265477870497,17.033,1.0,0.0915959,2.77061371543,-31.1030781927,0.0277067388735,19.8856,0.0917239956861,1.55312318079,0.0850377,-29.7116839759,-24.0995063366,-38.7037878002,-19.7819460989,5.10095e-05,-33.1817402596,-35.3132830517,-0.0892266560156,-0.0847718,0.0568973722782,46,-0.0847789067099,-0.0131348853544
0.00259050825731,17.0354,1.0,0.0935879,3.12846381534,-31.5848027162,0.0313126678756,20.1541,0.0937046300408,2.0370243125,0.0879932,-28.2855752554,-23.1794311091,-40.6604517376,-20.1823044373,4.67689e-05,-32.2185177734,-36.0132562945,-0.108791376069,-0.0874681,0.0663065854245,47,-0.0874652252359,-0.0179463755763
0.00249933794474,17.0359,1.0,0.0955236,2.98627458787,-31.3835049807,0.0298774059282,20.376,0.0956453675519,2.97500901709,0.0900582,-24.9435695135,-24.3170230965,-39.0130070632,-20.0272033951,4.61095e-05,-29.4705685437,-34.4837562984,-0.0922252006898,-0.0894327,0.0547766373421,48,-0.0894304705549,-0.0159441750821
0.00256337606658,17.0363,1.0,0.0977139,3.53667767837,-31.6478759307,0.0353810516893,20.5915,0.0978614581693,3.58253256134,0.0924748,-24.976883817,-22.1302679998,-41.7708600189,-20.2407584101,4.96713e-05,-30.1315800272,-37.6089466396,-0.119871341591,-0.0920565,0.0767031065721,49,-0.0920542242696,-0.0185656777412
0.00262876996002,17.0363,1.0,0.100485,3.53385794969,-31.3281722119,0.0353676023266,20.8216,0.100592287897,3.78097814261,0.0958574,-26.0169583579,-23.5599827253,-38.339991329,-19.9895253595,4.73417e-05,-31.8406807756,-40.360693034,-0.0855413999398,-0.0949523,0.0624786690186,50,-0.0949535429566,-0.0153885010397
0.00262236151279,17.0363,1.0,0.102885,3.31234903468,-30.9938190354,0.0331339899441,20.9617,0.102979606114,3.28398362716,0.0988003,-26.326439841,-19.4941759996,-39.1404658076,-19.7042393775,4.73594e-05,-32.4072251776,-37.9486966265,-0.0936473130612,-0.0977196,0.103046583853,51,-0.0977141088517,-0.0120246306166
0.0027326034112,17.0363,1.0,0.10569,3.42418157992,-31.9992583006,0.0342509309027,21.1545,0.105784298177,3.23992185235,0.101583,-24.1492879917,-22.503534078,-42.0797518981,-20.5224902214,5.57084e-05,-30.9122718763,-36.6758333949,-0.122804263969,-0.100751,0.0730321294906,52,-0.100747546423,-0.0221012937
0.0026443660878,17.0363,1.0,0.108331,3.34278250444,-30.7838140923,0.0334367589823,21.2675,0.108435847656,2.92438312286,0.104648,-27.8509377189,-22.9417157376,-37.2953723194,-19.521800989,5.09845e-05,-32.229072264,-39.8166203693,-0.0751892949863,-0.103737,0.0685503839908,53,-0.103732406265,-0.00994479657167
0.00276071084049,17.0363,1.0,0.110604,2.81232067527,-31.4905727425,0.0281043258783,21.505,0.110734902587,4.25862258641,0.107331,-23.5137967369,-23.9187706539,-39.0697227968,-20.099789315,5.47585e-05,-31.1396025971,-40.9114651548,-0.0928007623994,-0.106478,0.0584500423855,54,-0.106473586848,-0.0170170921801
0.00262415116121,17.0363,1.0,0.112708,3.53796649499,-31.4550640297,0.0353889812059,21.6651,0.11280787516,3.39248175992,0.109177,-26.086040895,-22.5991089595,-37.3451757619,-20.0905143245,4.92291e-05,-30.8455189937,-37.5394715793,-0.0757205460627,-0.108729,0.0719945184964,55,-0.108722852874,-0.0166566871301
0.00269583403146,17.0363,1.0,0.115196,3.42278708768,-31.1588227751,0.0342325627193,21.8537,0.115303574613,3.57628979221,0.111915,-23.4816650036,-21.4263010116,-39.3211183539,-19.8265424428,5.29878e-05,-30.539802294,-35.6108827008,-0.0953256234811,-0.110975,0.0836040307444,56,-0.110976931288,-0.0137058858068
0.00266649176098,17.0363,1.0,0.117558,3.26057106628,-30.8023252157,0.0326165300708,22.0788,0.117711450753,4.41751838832,0.115019,-24.1653365259,-22.0373861392,-39.2469856398,-19.5238984761,5.8359e-05,-30.9656099961,-38.4049654654,-0.0944679253971,-0.114097,0.0774585337452,57,-0.114086657698,-0.0101371937651
0.00270842348493,17.0363,1.0,0.119891,3.15993048728,-31.4870618009,0.0316063765651,22.2743,0.120013337961,3.36746436872,0.117357,-25.1653029116,-22.5238154324,-39.2029683131,-20.0914037398,5.73288e-05,-30.1443109759,-35.2835946964,-0.0943740389114,-0.116511,0.072713523079,58,-0.116503700567,-0.0169613788443
0.00255509362372,17.0363,1.0,0.12235,3.21342669416,-31.3376067713,0.0321471045087,22.4862,0.122460532128,4.95346257442,0.119506,-22.0612984214,-24.4292825155,-40.013921199,-19.9657174429,4.95734e-05,-31.9180725659,-39.5349146525,-0.102185624974,-0.118985,0.0537459584824,59,-0.118988808472,-0.0154679471079
0.00259978937175,17.0363,1.0,0.12397,3.67486722839,-31.8876962678,0.0367790389069,22.7115,0.12409782996,3.88772707276,0.120744,-24.6754137609,-23.5889210281,-39.6599141726,-20.4263518665,5.89206e-05,-32.1707638774,-38.9738128685,-0.0986300274877,-0.120734,0.0620092846984,60,-0.120735188861,-0.0209878156154
0.00247523235646,17.0363,1.0,0.125781,3.3756495479,-31.1732176336,0.0337679444378,22.826,0.125886712662,2.43812666243,0.122554,-27.1405300626,-22.3410167012,-40.8412857295,-19.8557221045,5.18097e-05,-31.1941710708,-35.729235668,-0.110328236797,-0.122458,0.0745647069022,61,-0.122461805327,-0.0138482548129
0.00247186270551,17.0363,1.0,0.127478,3.31678062247,-31.2456568581,0.0331678267486,23.016,0.127584506658,2.80766267891,0.124714,-27.2267536439,-21.1330916596,-37.7561606528,-19.9027547184,4.94345e-05,-31.6619059691,-36.0155375371,-0.0796751505055,-0.124491,0.0865923387515,62,-0.124499666421,-0.0145521629034
0.00244194189132,17.0363,1.0,0.129223,3.37726130923,-31.6373042027,0.0337829430181,23.1885,0.129332679652,2.11050311564,0.12664,-28.7897241277,-24.0105813633,-40.8421119569,-20.1907323448,5.42616e-05,-31.8063007401,-34.9687012102,-0.110804581164,-0.126093,0.0579261164914,63,-0.126089598581,-0.0184705855905
0.00224548830635,17.0363,1.0,0.131293,3.96905980469,-31.141593324,0.0397145398822,23.3392,0.131387223268,2.55494443461,0.128787,-25.4670604302,-23.330497962,-43.5339094768,-19.8314162112,4.47248e-05,-30.8690803886,-33.7645190153,-0.137652763944,-0.128244,0.0645269976044,64,-0.128243585408,-0.0135299613422
0.00232448396656,17.0363,1.0,0.133428,3.18164434656,-31.5039298537,0.0318300004448,23.4833,0.13352024671,1.95128224605,0.131025,-29.4726897679,-23.1061366923,-39.9486659217,-20.1251298082,4.34741e-05,-31.9828393352,-35.5065870971,-0.101555650022,-0.13038,0.0668128343905,65,-0.130379994307,-0.0171303417346
0.00244023918881,17.0363,1.0,0.135358,2.62871875055,-31.2724803164,0.0263160053452,23.6569,0.135501129771,3.61215855309,0.132677,-24.2813775763,-24.2090419172,-36.5154431349,-19.8914452799,5.36522e-05,-29.478153656,-35.4142082787,-0.0674626917466,-0.132344,0.0560009231822,66,-0.132339402627,-0.0148155214788
0.00225717745039,17.1685,1.0,0.137298,3.49481435596,-31.6672031933,0.0349527292327,23.8162,0.137416948328,3.34431299982,0.134767,-26.4536906362,-20.4826500497,-40.0535230979,-20.263788177,4.33894e-05,-32.4399419955,-36.8492874977,-0.102702398554,-0.134424,0.0931317225258,67,-0.134423205361,-0.0187934345604
