AverageAction,AverageAbsY,AverageForwardProgress,AverageQLoss,StdEsReturn,AverageDiscountedReturn,QFunRegParamNorm,MaxForwardProgress,AverageAbsQ,AveragePolicySurr,AverageY,AverageEsReturn,MinEsReturn,PolicyRegParamNorm,MinForwardProgress,AverageAbsQYDiff,MinReturn,MaxReturn,Epoch,MaxEsReturn,AverageReturn,StdForwardProgress,AverageQ,StdReturn
0.76121,0.109724014345,0.425828772243,3.10524,6.42915870645,48.4775634845,12.5295,0.560358585114,1.62067,-2.255,0.109724014345,9.43163458448,2.09901274124,16.0831,-0.00997794156466,1.52608501103,8.14458913684,77.3320584838,9,63.8229461012,60.515861834,0.160124767541,1.55385,18.9453288839
0.96981,0.340325471572,0.00199885778147,0.0937413,2.86927796845,5.70745106123,12.9995,0.046951207786,0.378003,-0.449309,0.331770327461,6.82228187846,2.71729776814,16.3718,-0.0364483695931,0.198411417869,2.59329429027,10.0583110753,10,18.8408006535,5.85681673649,0.0103019665298,0.356513,1.74131480524
0.944234,0.40317543138,0.058174041433,0.0205416,10.4011340003,16.7103458436,13.21,0.211955015743,0.403011,-0.347837,0.403060281343,17.1682609456,5.36576863234,16.7038,-0.0113575220778,0.105432675772,8.79471246546,35.1906537084,11,62.6778723256,18.0542731822,0.0294497589956,0.402547,3.68110208764
0.886075,0.445105331265,0.506573080274,0.0123616,17.0093798215,55.0144856709,13.5832,0.566892825604,0.445195,-0.480649,0.444987135766,29.0330532263,9.05184449115,16.9382,0.445708156137,0.0809763368823,63.2756884767,75.3828430214,12,73.1425400507,69.1804526071,0.0252349805747,0.444661,2.13311101012
0.881011,0.553504561893,0.361711747958,0.0134042,26.7536064891,42.1813289145,14.4232,0.587179174439,0.553113,-0.615685,0.553491291612,48.0586922117,13.8260817556,17.2663,-0.0245465255819,0.0796107516734,11.0205097938,78.4755830507,13,132.226978327,52.2307840671,0.225261228547,0.552652,25.3266137784
0.924549,0.670366277455,0.475571906327,0.0151441,23.47104512,53.0517040835,15.35,0.527653194882,0.669969,-0.75267,0.670344783394,40.9590187554,9.97118876588,17.6072,0.412947999469,0.0811691845303,61.4801433555,73.5935758565,14,74.5322806462,66.4330284343,0.0208498919011,0.669138,2.44615509936
0.871158,0.796004086426,0.481860245245,0.0170171,23.1367094516,54.0322414052,16.2422,0.538332309915,0.795596,-0.881527,0.795991228775,49.9573275942,12.3231737192,17.9952,0.406679057808,0.0843144660874,62.4301318768,76.4809795286,15,75.0505493576,67.9277168308,0.0233751143934,0.794605,2.43581768575
0.934815,0.926675988386,0.485059787443,0.020791,19.8878373166,54.5547588547,17.2143,0.548867278103,0.926879,-1.02563,0.926659294973,59.6336053898,14.0975682351,18.3339,0.430894297711,0.090426870253,62.6966798057,76.6426874087,16,105.303720088,68.7193275366,0.0214462751361,0.925285,2.41923775088
0.886388,1.05925200321,0.482477479738,0.0239934,22.7707812146,54.2652561394,18.001,0.540867026997,1.05995,-1.16671,1.05924900721,50.3916827564,10.7490557694,18.7925,0.0417678419495,0.096347568204,26.6984228347,75.2458560236,17,75.8628954951,68.213289598,0.0359434376787,1.05785,3.57832053937
0.895244,1.19019562039,0.488791576928,0.0282526,26.2035767192,54.3548212943,18.7135,0.567874203959,1.19123,-1.30543,1.19019562039,55.4640783493,10.3982795359,19.2406,0.432270634922,0.102623137575,62.7926474926,74.9562553741,18,124.996549409,68.2560838918,0.0213145530015,1.18895,2.25805968569
0.868059,1.32723662253,0.490916413627,0.0325606,18.4376933592,53.8971539204,19.3201,0.543457457624,1.32825,-1.44817,1.32723662253,56.3910419785,8.02488130303,19.6015,0.443144833053,0.11006265134,63.2898013512,73.0151032871,19,74.2749977055,67.4852181131,0.019645665469,1.32566,2.07918659159
0.869944,1.45506960997,0.478770745402,0.0357376,23.2767250085,53.7383367125,19.8606,0.526319338618,1.45733,-1.579,1.45506960997,52.4732944679,9.78057463607,19.9094,0.415058801429,0.112844956665,62.0625455145,74.2824048594,20,79.4546255527,67.2749806863,0.0194417977983,1.45432,2.20222078813
0.891847,1.59415347316,0.488626792781,0.0375195,8.90973964998,53.5239769427,20.2829,0.56707035885,1.59696,-1.72836,1.59415347316,65.5460426547,29.2690445465,20.2401,0.394535597982,0.113517517826,60.7336241839,73.8266209658,21,79.9516078733,66.8927427923,0.020661268753,1.59347,2.27120918252
0.858121,1.72501529481,0.492885619311,0.0433476,19.8573833189,53.3949517008,20.736,0.568519420546,1.72788,-1.8608,1.72501529481,58.2273182302,9.01416601945,20.4199,0.422107723051,0.121006449252,61.2527404223,79.1206361774,22,72.7365423073,66.6321344731,0.021200318812,1.72403,2.23857405362
0.792866,1.85661152361,0.490407830077,0.0476912,21.5703027201,53.8762539604,21.1202,0.53044015122,1.85949,-2.00193,1.85660829022,57.9130507821,8.48569657982,20.5191,0.433767653735,0.127075274077,61.600596782,73.0298441726,23,89.6678896809,67.3540332963,0.0189856158198,1.85515,2.07705245952
0.830849,1.9876241826,0.483639370645,0.0538922,20.5397446104,52.7839421841,21.472,0.544381028429,1.99147,-2.14721,1.9876092677,58.387442474,16.6305055897,20.5223,0.426912704457,0.135829608856,60.5946210474,73.4275531622,24,87.1788447091,65.6061137263,0.0214810495651,1.98731,2.13117905055
0.799805,2.12076647246,0.493296283633,0.0564979,21.3811398477,53.4438439154,21.8464,0.546671473954,2.12412,-2.29146,2.12074720054,50.3804552399,9.45770581584,20.5184,0.434069238597,0.140007558036,61.1636220336,73.4003563518,25,76.3067971635,66.5946138536,0.0202667574673,2.11967,2.30432179014
0.795028,2.26453881433,0.486118822855,0.0633806,24.0875241683,52.8158448941,22.2598,0.543514486884,2.26767,-2.44085,2.2645134376,49.6192470031,9.36875453372,20.6552,0.379645029315,0.147726611268,60.7200397461,72.3277767815,26,102.236531052,65.6956991554,0.0221174415271,2.26351,2.01116560404
0.857461,2.41012387304,0.48622732543,0.0713508,20.6365898687,52.7368222582,22.5633,0.555844486932,2.41315,-2.59143,2.41010087164,50.9965788866,12.4448730574,20.7846,0.438169188985,0.158034188403,61.0667520145,74.551518964,27,79.0468183591,65.6288707733,0.0191027139489,2.40882,2.18472191529
0.897698,2.53962115739,0.486085740106,0.0794164,19.2034614186,53.3403606826,22.8789,0.540920867004,2.5429,-2.73008,2.53961433145,56.2549203425,8.70536057447,20.9683,0.401431546012,0.165201500362,61.670010363,73.7695213025,28,76.2383966875,66.6244976359,0.0214638112464,2.53812,2.18104847421
0.88825,2.68915754958,0.488946448947,0.0936835,22.1687561209,53.2169359785,23.1721,0.549337939068,2.69277,-2.87517,2.68914348585,57.6041115691,10.0347532081,21.2421,0.433793520542,0.180535814747,60.1423541591,72.2047904031,29,101.089709983,66.3480714147,0.0212552887155,2.68781,2.17191133232
0.864632,2.81177342536,0.486525361102,0.0976377,19.5852416867,53.154262428,23.4452,0.549286807337,2.81541,-3.00724,2.81167947079,55.3089286008,11.5958887018,21.4533,0.402361684139,0.184125003895,62.0823505341,73.513106961,30,74.332285886,66.420957562,0.0251110090104,2.81,2.18914571703
0.824795,2.93893236853,0.478272848735,0.106063,21.450636148,53.0906121244,23.8068,0.548321001508,2.94197,-3.14085,2.93873551533,52.875192152,13.4246163595,21.5456,0.407309934147,0.191936985254,61.2052796113,71.5271028813,31,75.2486988344,66.2946276247,0.022963750138,2.9369,2.16052573408
0.815404,3.0439376845,0.477868295399,0.111751,21.3929644289,53.3776856837,24.2625,0.540696775371,3.04754,-3.24821,3.04368994866,53.1224395414,11.2280890949,21.7526,0.413271928226,0.196211853717,61.913919063,71.6112282287,32,87.5062163005,66.6899498507,0.0224822736498,3.04206,1.98841528664
0.795264,3.15823306088,0.488638739751,0.124958,21.2515681443,54.028970843,24.4144,0.545409875585,3.16314,-3.37471,3.15798409657,55.460918372,12.1447376906,21.8551,0.407973259917,0.205977647711,61.4047061635,73.7861263427,33,88.7999389485,67.7822262097,0.0217125696445,3.15619,2.2587225179
0.898976,3.27559048725,0.48673992315,0.145439,23.6730995754,53.7648047217,24.6667,0.535991497414,3.28157,-3.49792,3.2753477604,46.8839768788,11.3179517209,21.9054,0.428401273012,0.223204174536,62.0292343054,73.0822439212,34,85.5208274633,67.3185326854,0.0190715365068,3.27385,2.3467237001
0.813521,3.40511616156,0.479800225391,0.15213,16.6944321424,53.929641564,24.8535,0.538019784322,3.4113,-3.6371,3.40489093355,57.2505962949,16.2528292125,21.9519,0.422634090217,0.226613674845,62.9376979819,74.1252588193,35,74.5336700655,67.5917018138,0.0223629992072,3.4043,2.1601532316
0.841879,3.51134122863,0.489097555011,0.163301,23.1037699122,53.8843819756,25.038,0.560782744402,3.51771,-3.74911,3.51102309747,55.7355415332,11.278459504,22.0353,0.428709527898,0.231319773895,61.6201179806,75.3527507245,36,80.7818901513,67.5766749642,0.0232525571554,3.51062,2.57241615772
0.862574,3.64705560257,0.482197118429,0.181695,19.4057560957,53.7535972329,25.3106,0.553311503291,3.65248,-3.89476,3.64692958083,52.8074690568,12.126686774,21.9692,0.41529579785,0.24103364479,61.9715856935,75.5624084484,37,76.3988338819,67.4713862372,0.02558715684,3.64552,2.64276053343
0.854662,3.76053903673,0.496233221472,0.192146,20.074774996,54.8041495805,25.583,0.542604508936,3.76613,-4.00795,3.76024180002,53.9314741875,12.3882579261,21.9537,0.428243990273,0.246160857269,62.5715813805,75.9459199689,38,82.7533284005,69.0042599133,0.0206867186297,3.75839,2.28383736206
