QFunRegParamNorm,AverageQLoss,StdReturn,MaxEsReturn,AverageY,AverageForwardProgress,StdForwardProgress,MinEsReturn,AverageQ,MaxReturn,AverageAbsY,AverageAction,MinForwardProgress,AverageAbsQ,AverageEsReturn,StdEsReturn,Epoch,PolicyRegParamNorm,AveragePolicySurr,AverageAbsQYDiff,AverageReturn,AverageDiscountedReturn,MinReturn,MaxForwardProgress
14.1912,0.00130816,6.13275715808,41.7838495521,0.0256922898026,0.0848561805357,0.0495816947753,0.192303815803,-0.00807142,42.2433402586,0.0256922898026,0.000340187,-0.0373412287146,0.0081891,23.3073411553,8.77502498432,9,14.1287,-0.0207264,0.0337637133217,24.4863213506,16.5722217819,9.61306733453,0.227168471252
14.9813,6.9888e-05,10.892948783,93.5149164578,0.0586543405638,0.160490539919,0.0757374611303,0.166424213133,0.0585685,68.2901900889,0.0587346613932,0.988915,-0.0186947768895,0.0585793,45.6498623317,25.4983926365,10,15.1287,-0.101314,0.00475627590294,33.2612772983,21.8864540805,7.53862552081,0.408104705887
15.8953,0.000172063,13.1823318213,57.093202672,0.131583545579,0.0314248619233,0.0929120059198,4.33910687475,0.131484,72.0067940723,0.131583545579,0.992544,-0.0736715974086,0.131484,18.5054300401,13.6513761816,11,15.7143,-0.160413,0.00665745534493,10.6393602792,8.43631848752,-3.48293736303,0.46072768082
16.7573,0.0003248,28.8720340967,96.3737187962,0.187782152305,0.189111032884,0.200548028704,-2.34316816318,0.187689,116.841866453,0.187782152305,0.997401,-0.0774972851465,0.187691,25.9190864446,31.6980595947,12,16.0517,-0.20597,0.00892470088292,33.4555044322,23.3431327084,-4.45607390657,0.773801755964
18.021,0.000570998,3.87768799452,45.6907415741,0.235915283664,-0.0022848559831,0.0300463228353,1.66273795463,0.235782,18.9543738383,0.235917818191,0.994784,-0.0753867430729,0.235787,22.4736921088,14.3893110358,13,16.4732,-0.264363,0.0116059371976,5.89615671121,5.0254780863,-3.69967555519,0.0991480640003
18.8735,0.000679143,3.56755530133,13.286525545,0.266543979066,0.00210006532933,0.0272717337584,-4.29649831399,0.266437,15.8069541817,0.266551925539,0.946651,-0.0646637569572,0.266454,6.52689701416,3.71622320967,14,16.9239,-0.287057,0.0126564578345,5.84329328016,5.06107626316,-3.16066204106,0.0752641388582
19.8558,0.000961826,4.83815961861,108.003524877,0.312375940973,0.0187878371657,0.0365406106387,-1.23110455781,0.312281,24.5557935,0.312386030603,0.96614,-0.0817795601756,0.312298,29.0412635227,30.3211941333,15,17.3168,-0.333888,0.0149969495708,9.89164048805,7.92037587559,-3.25343605555,0.123236118235
20.6981,0.00131325,9.67210218197,102.728479589,0.364958765357,0.328417780948,0.0694197554585,-6.72878446107,0.364926,82.133903755,0.364987415866,0.951158,0.114512173385,0.364942,23.4558143719,28.8256056943,16,17.7487,-0.400841,0.0183347650941,58.877853576,33.7849221564,28.918835692,0.47922225209
21.6463,0.00182544,14.301456921,73.8080980712,0.432054169479,0.0978437387068,0.0979185575855,1.74726456858,0.431914,51.0802203638,0.432081120391,0.96075,-0.0660003370898,0.431952,34.2345886839,18.5414991159,17,18.0547,-0.484079,0.0218187375939,21.3552612087,15.8429165797,-2.4673704821,0.316248534938
22.5295,0.00218344,6.20914653356,45.6123479555,0.499088688877,0.0292849004584,0.0448970905748,0.544722792581,0.498952,39.7685703099,0.49911196302,0.947762,-0.0681917902788,0.499015,10.6740232866,10.0973106272,18,18.3389,-0.568201,0.0239773604136,10.5739519049,8.64269135126,-2.9379724391,0.240501336573
23.4742,0.00285889,3.4794483587,20.3959132697,0.572558182104,0.00105754178557,0.0269458521797,-1.1847269933,0.572425,14.0473062102,0.572580316941,0.952227,-0.0762204306519,0.572476,7.465437889,5.17539432289,19,18.6562,-0.663215,0.0278985355368,5.63759578356,4.89725529019,-4.6748916535,0.0685607398937
24.3408,0.00318448,4.32534138523,12.9183961985,0.639291311525,0.000264164631803,0.0340366703181,-1.34734412328,0.639177,16.7270697316,0.639339441925,0.948591,-0.133337587934,0.63925,6.74063028451,3.58340778768,20,18.8693,-0.686586,0.0296232400473,6.11668239555,5.27190063296,-10.2167784104,0.0841913218425
25.1501,0.00361587,13.7634649828,81.3129067385,0.689886381818,-0.0598603988616,0.121594217885,-24.5711172881,0.689743,47.8161349975,0.689935405736,0.910828,-0.474314209573,0.689819,12.0317519531,22.9985888625,21,19.1003,-0.738387,0.0318280563147,5.56723024452,4.88257980495,-42.5365632447,0.244693904792
25.8857,0.00413554,7.36802120272,49.343175964,0.729942743884,0.0112207973924,0.050643048765,-21.0482052119,0.729908,73.6637244414,0.73003517683,0.932143,-0.0995275084043,0.730006,3.77035298246,16.9040798268,22,19.303,-0.793614,0.0345586479309,8.51732804046,6.83131012342,-5.21571528394,0.447192533977
26.5996,0.0050058,5.3776789366,45.3121290672,0.77991641716,0.00147430860424,0.0398537179588,-11.9600521615,0.779805,52.5652237621,0.780025184037,0.935669,-0.0952370927052,0.779869,9.49075133432,13.0796063632,23,19.5412,-0.851381,0.0382560710178,7.09257973043,5.85684965517,-4.99350092492,0.305051348629
27.2564,0.00574455,16.0003219714,98.9847199281,0.837668218538,0.316680449723,0.1097828382,-1.77575384667,0.837496,92.898164394,0.83778504124,0.946246,0.00631171516579,0.837591,18.3067388901,21.3111462738,24,19.7405,-0.895366,0.041003675914,56.4636875923,33.3595845851,7.79579895867,0.536399195803
27.903,0.00596606,6.67740114355,87.3057903883,0.890742543589,0.105759635025,0.051275048338,-6.60272740081,0.89067,43.6707069134,0.890813621518,0.949649,-0.0291024317965,0.890759,20.3841999826,21.5581068797,25,19.8894,-0.955992,0.0426350137506,24.6733504066,18.0698136545,7.90247716217,0.250354887156
28.564,0.00661112,5.37286074454,33.1142703282,0.935272459247,0.0566968288453,0.040885677253,-1.20110802577,0.935157,33.506596381,0.93538143349,0.929675,-0.0564420412599,0.935249,13.5231902609,9.50814629613,26,20.0595,-1.00857,0.045819621662,16.9285751312,13.0670165611,2.32652975651,0.187895186499
29.1376,0.00759769,6.53003410454,45.8632841086,0.983228196215,0.0335911019641,0.0460319230505,2.42670573101,0.983109,38.5581003619,0.983407488028,0.964718,-0.0605349846317,0.983297,14.2436987985,8.93154532227,27,20.1885,-1.05649,0.0490656367739,14.1227825205,10.7312287249,0.443703893572,0.191818012491
29.7481,0.00777792,14.7951716007,32.5020693322,1.04475758753,0.195855984334,0.102195755052,3.27147628241,1.04462,71.3807683352,1.04490090429,0.970333,0.015372424321,1.04488,13.7461504986,6.98447549694,28,20.3479,-1.13608,0.0511115203081,38.0700935345,24.6231006251,12.5670878398,0.432027466383
30.3518,0.00867774,16.7158891065,72.5900072778,1.14144138735,0.262717200962,0.114104888564,10.2043886652,1.14123,77.2007682135,1.14151684958,0.978554,0.0114707583292,1.14136,50.497457118,18.6022122971,29,20.5283,-1.25124,0.0532210831672,47.803173577,29.7088573852,10.1918245797,0.463191280949
30.9403,0.010158,19.4173938745,73.7101534268,1.25440849253,0.17806200758,0.132630931453,6.85363736585,1.25408,80.3831380538,1.25449745088,0.982489,-0.0491731179838,1.25423,35.268158576,23.8959962398,30,20.6766,-1.34749,0.0575975478146,35.3055366838,22.784281072,2.74678799855,0.486543571413
31.5415,0.0113757,15.4547923766,73.1231279293,1.33606171977,0.214468147119,0.106731366587,5.42301639494,1.33571,73.897275288,1.33614441239,0.985051,-0.0113510793949,1.33582,36.8333284019,21.1627665019,31,20.8129,-1.43713,0.0611406922659,41.3956125143,26.0148886424,10.15760733,0.428808130923
32.1933,0.0109894,11.3641875978,85.4210145347,1.44385458492,0.391285456291,0.0777763929295,1.92614305842,1.44359,84.3852438018,1.44392306408,0.992784,0.0950657085732,1.44372,46.680392648,25.3953886007,32,21.0217,-1.54382,0.0619888194521,66.386164906,39.0662071035,22.4343804655,0.511487294944
