Iteration,MaxEsReturn,Epoch,AveragePolicySurr,AverageReturn,AverageQ,MinReturn,AverageAbsQ,AverageAbsY,MinEsReturn,StdReturn,AverageQLoss,AverageY,QFunRegParamNorm,StdEsReturn,AverageAbsQYDiff,AverageEsReturn,MaxReturn,PolicyRegParamNorm,AverageAction,AverageDiscountedReturn
9,63228.1602245,9,-28.7554,49735.5853551,14.2756,43540.315231,19.2948,89.1909484544,43271.4782663,4246.55718547,7596.28,89.1909484544,16.4053,6695.15406494,75.0045393232,52770.8300781,55763.2448767,16.6627,0.980471,4327.72125116
10,51484.6696753,10,-77.9073,98426.5900959,76.0515,69610.1016778,76.0541,77.4110971448,51484.6696753,20661.458541,317.875,77.4088674226,25.2768,0.0,12.4465415552,51484.6696753,117858.133977,16.85,1.0,7669.80792883
11,91989.1643774,11,-108.134,98312.1766851,104.816,69254.4373194,104.821,105.193836496,91989.1643774,17932.1431045,130.67,105.193836496,37.5198,0.0,8.60905877392,91989.1643774,117728.920224,16.8588,1.0,7623.01555426
12,69101.1242342,12,-156.407,91581.1678976,151.822,69718.576146,151.822,152.101297174,69101.1242342,16324.9905746,147.376,152.101297174,49.6321,0.0,9.09665930341,69101.1242342,117740.640617,16.8593,1.0,7467.74266913
13,52078.4440671,13,-208.348,89093.3942301,202.955,69413.2836161,202.955,203.2317642,52078.4440671,20534.3697358,185.385,203.2317642,59.7629,0.0,10.0438927359,52078.4440671,117612.56362,16.8596,1.0,7280.76059124
14,52836.4461982,14,-264.669,88951.6760088,258.562,69401.4697518,258.562,258.805796036,52836.4461982,20720.0925837,217.523,258.805796036,68.4091,0.0,10.7114615034,52836.4461982,117748.038797,16.8598,1.0,7245.07561273
15,91293.1088169,15,-327.882,105496.310437,321.3,70038.6156368,321.3,321.574256077,91293.1088169,15922.7752226,309.978,321.574256077,75.3901,0.0,12.5624588308,91293.1088169,117857.09225,16.8604,1.0,7984.22756896
16,90633.2095691,16,-391.579,93648.7335038,384.236,69409.297128,384.236,384.471432674,90633.2095691,21099.526193,395.494,384.471432674,81.094,0.0,13.5759954839,90633.2095691,117817.729308,16.8611,1.0,7447.38470794
17,82082.5888104,17,-459.115,97100.6662347,451.213,58207.9322205,451.213,451.47823858,82082.5888104,22529.3226476,486.767,451.47823858,86.2399,0.0,14.7944098014,82082.5888104,117652.126347,16.8618,1.0,7524.97596038
18,82432.9706035,18,-526.31,91524.9484984,517.938,69859.5709257,517.938,518.199992065,82432.9706035,19411.1912367,678.28,518.199992065,90.6395,0.0,16.4178290794,82432.9706035,117549.567666,16.8622,1.0,7431.40045685
19,51817.4415813,19,-585.533,95924.3820046,576.902,68159.624353,576.902,577.162824762,51817.4415813,19937.1654482,632.063,577.162824762,94.7347,0.0,16.4688193155,51817.4415813,117591.516977,16.8631,1.0,7522.47900987
20,70162.3559638,20,-651.281,99114.2911039,642.269,54691.4247055,642.269,642.519693623,70162.3559638,23779.9601528,877.785,642.519693623,98.8071,0.0,18.3575910899,70162.3559638,117712.401527,16.8638,1.0,7621.13899328
21,52252.4767523,21,-711.258,96072.8342925,701.932,69673.436457,701.932,702.279709145,52252.4767523,16718.5876162,1143.33,702.279709145,102.215,0.0,19.8633439065,52252.4767523,117771.949797,16.8646,1.0,7597.50098933
22,69366.8535719,22,-770.782,93751.0469897,761.136,69435.2013462,761.136,761.402298353,69366.8535719,23545.0421705,1090.49,761.402298353,105.417,0.0,19.9599426705,69366.8535719,117713.602073,16.8652,1.0,7458.97430344
23,55564.6828437,23,-835.21,95718.9577754,825.29,69587.4483494,825.29,825.564304469,55564.6828437,19511.0949802,1137.34,825.564304469,108.389,0.0,20.6534871344,55564.6828437,117343.764206,16.8658,1.0,7464.5413646
24,85815.5210845,24,-903.613,86475.1685799,893.334,69302.886012,893.334,893.5776563,85815.5210845,18625.2362503,1392.02,893.5776563,111.3,0.0,22.2511228671,85815.5210845,117433.549747,16.8662,1.0,7088.51151405
25,74963.7688532,25,-977.939,96047.2164,967.54,69702.8787646,967.54,967.925046126,74963.7688532,16686.1735783,1842.11,967.925046126,114.22,0.0,24.1163330003,74963.7688532,117564.346974,16.8665,1.0,7591.94171309
26,94222.5012071,26,-1049.79,96106.6502664,1039.23,69456.1703021,1039.23,1039.58907418,94222.5012071,16697.1943767,2074.34,1039.58907418,117.011,0.0,25.6401751331,94222.5012071,117547.163999,16.8676,1.0,7590.0558294
