PolicyRegParamNorm,AverageY,QFunRegParamNorm,MaxForwardProgress,AverageQ,AverageAbsQ,MaxEsReturn,Epoch,StdReturn,MinForwardProgress,AverageAbsY,MinReturn,MaxReturn,MinEsReturn,AverageEsReturn,AverageQLoss,AverageAction,StdEsReturn,StdForwardProgress,AverageReturn,AverageAbsQYDiff,AverageDiscountedReturn,AveragePolicySurr,AverageForwardProgress
15.7947,0.108981519402,11.6431,0.0605854897195,1.76706,1.76706,62.6995828774,9,1.12954411557,-0.0328592698462,0.108981519402,4.4658567292,13.8566569538,2.30020292385,9.40959640823,3.20112,0.928891,6.42673418544,0.0144564191717,8.12045887899,1.66001951522,7.84790358794,-2.1323,0.00943201909377
15.9107,0.281860617174,11.7099,0.0423598344138,0.328488,0.350452,73.2077980768,10,0.899415811047,-0.0406666413451,0.297249889845,3.19196476335,8.39993476046,3.48244177197,10.7889344034,0.0828509,0.966238,11.501243128,0.00929776942589,5.05490755136,0.172929227533,4.95422618415,-0.426213,0.00243885101179
16.0208,0.407269892881,11.8898,0.0456012359261,0.408066,0.408084,11.0830669677,11,0.976111097089,-0.0597386238219,0.407768464027,4.52669448582,10.8132661564,2.14512044967,7.60384346596,0.0103303,0.907111,1.24265323698,0.0147373910946,7.5316826836,0.0723843241307,7.28074364837,-0.450006,-0.00313368819755
16.0343,0.461680928816,12.1014,0.362116412819,0.461066,0.461312,45.5336851199,12,7.64004236996,-0.0482523141845,0.461681142289,5.8593944421,56.4001464621,7.31577767633,22.8997871921,0.00785548,0.975218,8.23372089697,0.0546428590348,21.6299440692,0.0587395238203,19.6011038142,-0.487187,0.0802390523833
16.0984,0.523904402653,12.7505,0.0904601283215,0.523469,0.523971,48.250761871,13,4.23088114782,-0.0286202258471,0.523904402653,5.62847127971,26.9776026911,9.55264193902,17.9991120356,0.00893075,0.999622,6.20753249268,0.0222390591634,15.0094427366,0.059089760606,13.9461095243,-0.569343,0.0229574457785
16.1842,0.617876197012,13.7282,0.10506776747,0.617332,0.618057,42.2391658416,14,4.53188195687,-0.0329479493699,0.617878504251,5.40420204989,28.86371711,7.82975256848,16.1242074447,0.0114043,0.983451,5.63753852104,0.0247991970575,14.5589700196,0.0655841947746,13.5427755094,-0.685071,0.0208372858634
16.337,0.713551338799,14.7608,0.147802093438,0.712875,0.713947,62.4903408195,15,2.46403602239,-0.0183883400054,0.713553854356,10.552526569,25.4364186923,7.0197878429,25.1075964251,0.0146757,0.940244,12.9202077747,0.025539789845,16.2731007778,0.0723350507276,15.200401033,-0.798712,0.0491876268169
16.4614,0.808692768789,15.8645,0.559008542869,0.808179,0.809552,100.208598113,16,10.143723087,0.0882641313607,0.808692768789,22.9068305108,76.9506181324,7.00069541145,41.8007853853,0.0177733,0.926103,22.7832406314,0.0961693099953,66.472107498,0.0802419731269,53.0502864361,-0.908811,0.475639105323
16.8258,0.906903768659,16.6126,0.544133315392,0.90614,0.907562,81.3033265573,17,18.1436578866,0.032213583439,0.906903768659,18.3013252467,74.2361308262,8.83097851471,36.3509689335,0.0218267,0.954731,22.1897492678,0.160231881421,57.8982198912,0.0853218169012,46.7351705975,-1.01391,0.384521544961
17.2102,1.0140611907,17.2942,0.577294920924,1.01336,1.01457,87.9912728901,18,2.89965279674,0.392795755334,1.0140611907,60.2219819839,76.2522188572,11.6210255634,51.3284686521,0.0260678,0.924686,22.7278804029,0.0282815113769,68.7452138043,0.0921189144325,54.6199236061,-1.12631,0.499917970487
17.6196,1.12547256087,17.8295,0.580240714389,1.1247,1.12594,87.5291329685,19,5.6861082793,-0.00569423373317,1.12547565099,6.9909551305,76.3078007448,10.1383876643,58.4184947299,0.0318149,0.954232,19.7524324938,0.0488753778375,67.2581006063,0.101330478408,53.6338223579,-1.24268,0.496146989877
17.9247,1.23943783747,18.3709,0.558724314497,1.23921,1.24049,77.9944877186,20,2.95741388355,0.416818928248,1.23944104025,59.9798101725,74.9747031721,9.579638585,49.4839213527,0.0366633,0.952491,20.704051589,0.0238923839543,67.0511633702,0.109591599592,53.4739818738,-1.36863,0.482730097219
18.254,1.35835884623,18.9862,0.54952512925,1.35794,1.35924,94.2598675418,21,2.51494889189,0.442682792276,1.35835920799,60.8500828241,73.2663782961,25.5009855053,56.695461932,0.0425431,0.9783,18.5081667985,0.0202730235165,66.5618183541,0.117697199207,53.3341418225,-1.49212,0.493244156149
18.6415,1.47679515433,19.6527,0.541382875007,1.47663,1.47812,76.9144080561,22,2.76461251133,0.399600013063,1.47679515433,57.3386693488,72.3048369246,11.0184121197,53.1791040927,0.0478097,0.943508,19.9443004932,0.0238615221155,65.6907695076,0.124466695082,52.6244765861,-1.61504,0.465000228732
19.0334,1.59527198123,20.2825,0.548547473996,1.5951,1.59664,74.9005172517,23,2.64932900695,0.403364038108,1.59527198123,60.0587831878,76.044992676,11.2853264182,58.5195747661,0.0550401,0.959059,18.9661096175,0.02151596925,67.1433921143,0.132719820276,53.683585026,-1.74047,0.490189125855
19.5033,1.72455324686,21.0315,0.550268590916,1.7238,1.72566,113.489274575,24,2.07969777145,0.453444900081,1.72455324686,62.5149553392,74.1989531759,11.9695368601,55.3535504237,0.0597857,0.948075,23.18816658,0.018410093441,69.0114700459,0.137433091287,54.869514231,-1.88919,0.501548338314
19.8242,1.8485824278,21.523,0.559620662346,1.84841,1.85024,78.0426077556,25,2.41577926028,0.445466963237,1.8485824278,63.5304989163,76.9051405421,16.7616446918,57.6521200464,0.065941,0.951934,18.8058096625,0.0212254334811,69.4721443763,0.144604724629,55.1332083728,-2.01406,0.499049022139
20.1674,1.97171859383,22.0047,0.560727401451,1.97172,1.97328,76.0049048307,26,2.12725052996,0.430146572021,1.97173438297,63.4713462742,75.8431762215,9.55279164653,52.8795258192,0.0729921,0.956732,21.3606957782,0.0206339851367,68.921177586,0.153113209044,54.7114039909,-2.14514,0.497761910857
20.5606,2.09414968538,22.62,0.583391400621,2.09497,2.09689,109.119260617,27,2.36390495175,0.442153513855,2.09420492475,62.4740366911,78.9244305679,17.6701840263,62.542845742,0.0798672,0.96579,17.9247632522,0.0221793931051,68.0910672414,0.159359891698,54.2297366564,-2.27344,0.49567917232
21.0573,2.2088011336,23.1656,0.559583916553,2.20884,2.2109,78.0249480491,28,2.82188102151,0.436724703221,2.20884038583,60.8188816177,76.1819054044,10.8665359786,61.3309029807,0.0818919,0.850219,18.107386427,0.0257684727103,68.5968940777,0.162731731898,54.6213562802,-2.40294,0.499963432318
21.4872,2.31831522296,23.4527,0.544610864341,2.31786,2.32059,86.1168109844,29,2.20193350327,0.40168676704,2.31841548402,60.8395595111,74.2821224546,8.32579532846,54.6483300246,0.0947711,0.879548,19.2251645218,0.0226494982946,66.9911534766,0.173249580904,53.4761498555,-2.5356,0.476060707932
21.8811,2.44188741647,23.8023,0.551621535311,2.44134,2.444,96.708722321,30,2.73986051549,0.424864961637,2.44225446101,60.2774601603,77.439382787,12.413849035,52.2091213019,0.126625,0.878751,23.0323537454,0.0246730883421,67.3891906774,0.197956222976,53.7917545622,-2.68146,0.484307233269
22.2054,2.58123376928,24.0987,0.589521694336,2.58029,2.58288,81.2592080549,31,5.90848853966,0.0872544961128,2.5813694582,21.9374368622,79.7298834009,7.74987045012,52.3751365545,0.123297,0.876175,22.5068041117,0.0560611758229,69.613045575,0.198087822472,55.156793978,-2.82048,0.516360887653
22.4847,2.708941486,24.4696,0.593998991676,2.70881,2.71166,94.6432548135,32,2.3726775313,0.44816509344,2.70903138017,60.4816505863,76.4540094285,17.299466747,59.5117052851,0.125046,0.835158,18.6792629399,0.0238041414952,69.5216818227,0.195875210538,55.1920905472,-2.93701,0.515092394175
22.7462,2.81345281113,24.8422,0.599074608425,2.81365,2.81679,86.6020115046,33,4.49900135633,0.01015470397,2.81350857949,17.0063289322,78.1318862928,20.9827231333,55.4706035013,0.129302,0.874663,20.5879901697,0.0441671336779,68.9972090122,0.200403957108,54.760876838,-3.03587,0.504280379776
23.1249,2.92400396071,25.2058,0.541767777423,2.92435,2.92745,80.7424770364,34,2.65099740232,0.407738918408,2.92424039529,60.2084224011,77.9519221383,8.20033778498,53.330947983,0.142238,0.894846,21.3123967282,0.0230492960838,67.2960773691,0.209166647809,53.694844595,-3.1531,0.475754827047
23.4704,3.03188500852,25.4688,0.579223474195,3.03262,3.0363,119.436360743,35,2.27450926702,0.442989018413,3.0322848079,60.4812560338,76.546232366,18.7063234637,59.5984429584,0.141449,0.878866,19.3019821173,0.0230603830781,69.8520491848,0.208785867311,55.4725816527,-3.28247,0.518487706349
