MinForwardProgress,MaxForwardProgress,StdEsReturn,AveragePolicyStd,StdForwardProgress,AverageAbsQ,AverageForwardProgress,MinEsReturn,AverageAction,AverageReturn,MaxReturn,AverageY,PolicyRegParamNorm,MaxEsReturn,QFunRegParamNorm,AverageAbsY,AveragePolicySurr,StdReturn,Epoch,AverageDiscountedReturn,AverageQLoss,MinReturn,AverageAbsQYDiff,AverageEsReturn,AverageQ
-0.663456518752,0.326004200579,1.17897361385,1e-06,0.246983392198,0.00385343,-0.240143516461,-5.45862801107,36557096.8041,-6.19591036082,53.1635002138,0.000223810865654,5138.75,5.35759523268,8.03002,0.00606304753688,-36.5597,24.534666132,9,-2.21659077629,6.00021e-05,-49.6692158705,0.00582801107056,0.224460544732,-0.00126435
-0.663729271552,0.22168354139,1.05261012746,1e-06,0.222112436695,385.513,-0.202499719469,-4.19202284546,35630548.0948,-2.77806165322,41.4178678248,455.716032356,5338.49,2.36539911154,23.0983,455.719103236,-34830.8,22.5486753853,10,-0.486178013448,690031.0,-48.9816077034,489.615552079,-0.280419880329,385.513
-0.579263363773,0.30954123333,0.97097500801,1e-06,0.226156550789,7540.89,-0.174203206091,-3.02308849564,57084846.6221,-0.0619817204596,51.0515401734,9058.08342486,5607.97,3.13024243874,49.9851,9058.08592934,-217164.0,23.1115144995,11,0.656989704083,1.43761e+08,-42.771062088,9229.0947841,-0.143276696863,7540.89
-0.578101238772,0.368719343473,0.872932301879,1e-06,0.252554934154,48066.4,-0.145863859552,-2.44157937894,50896785.003,2.50976165989,53.2758059019,62131.6991004,5893.59,2.28322678652,85.0783,62131.7017503,-865984.0,25.6931311061,12,2.21233629538,5.72839e+09,-42.1832718157,61139.3241754,-0.248545856187,48066.4
-0.740946106949,0.445821093513,0.99424868802,1e-06,0.234649511218,197205.0,-0.190457382908,-2.60862516396,32600700.0028,-1.63707721738,64.8499158441,295127.934064,6239.25,2.79475436957,130.401,295127.936919,-2.3126e+06,24.0979777929,13,0.0182975372795,1.30062e+11,-56.9702488876,287430.396398,-0.0235471438156,197205.0
-0.59003502297,0.320505772802,0.902729924629,1e-06,0.230137800298,575888.0,-0.199963824829,-2.00530149927,49305382.4744,-2.41954553407,50.0609797163,1049430.14012,6714.45,3.04726240114,177.847,1049430.14315,-6.85059e+06,23.5350703332,14,-0.768489943557,1.85112e+12,-42.1356728281,1038338.75188,-0.0650788842072,575888.0
-0.524732398905,0.292488652435,1.00286187688,1e-06,0.236267654705,1.26508e+06,-0.188846517848,-2.27843045809,72545838.0466,-1.54263157587,47.4903797607,2884646.13945,7209.76,3.09568324185,223.405,2884646.14246,-1.35527e+07,24.4029268334,15,-0.377420973968,1.41153e+13,-37.9066781411,2807183.85473,-0.0406565663215,1.26508e+06
-0.564560076591,0.342102140375,0.955885800657,1e-06,0.234511281376,2.33955e+06,-0.0962991547227,-2.18322304298,63596633.2038,8.0630589638,52.7616603099,6619935.00017,7760.2,3.27537843879,270.137,6619935.00328,-2.61923e+07,23.9893211424,16,5.13438027481,7.92645e+13,-43.0926874234,6477316.2951,0.153872776531,2.33955e+06
-0.569406166865,0.328419818948,1.03625509228,1e-06,0.238949270075,3.75289e+06,-0.102283397978,-2.69304729784,69184871.0668,7.78359903807,53.3900785348,12976434.0084,8277.27,5.24010427557,311.727,12976434.0115,-3.55559e+07,24.8380327973,17,5.25016393479,3.21748e+14,-41.8344044686,12713693.8231,0.458607553662,3.75289e+06
-0.62898078777,0.386605184896,1.08898330575,1e-06,0.23268342794,5.49339e+06,-0.113648043571,-2.60785479572,76210142.3281,6.35319382249,59.0850083554,21440681.4226,8863.59,4.69233954977,351.73,21440681.4256,-4.63626e+07,23.8368281452,18,4.32505496677,9.50357e+14,-44.9259570133,21175716.2098,0.418566204599,5.49339e+06
