AverageAction,StdEsReturn,AverageDiscountedReturn,MaxForwardProgress,AverageAbsQ,MaxReturn,AverageY,PolicyRegParamNorm,StdReturn,AverageQ,Epoch,AverageAbsQYDiff,AverageQLoss,MinReturn,MaxEsReturn,AverageReturn,AverageAbsY,MinEsReturn,AveragePolicySurr,AverageEsReturn,StdForwardProgress,AverageForwardProgress,QFunRegParamNorm,MinForwardProgress
0.0106554,11.8066032289,12.3473284731,0.0748251904582,0.115845,17.4061762694,0.119628661687,14.1728,1.61857511417,0.115845,9,0.037905829869,0.00267791,8.48607726316,63.5923373683,13.080564806,0.119628661687,0.9931646993,-0.0818045,34.5143969653,0.0209939381468,0.015882619193,14.0872,-0.0515549502911
0.983326,1.84149412868,4.19388787774,0.0297931398687,0.124575,6.83642456692,0.124824399192,15.0906,0.530961706433,0.12448,10,0.018161627194,0.000870068,2.36483021817,27.0768089262,4.26157082015,0.124824399192,2.65476354694,-0.132926,4.60829694397,0.00764379614449,0.00130134800622,14.4704,-0.0256819507505
0.994794,0.456586193265,4.20958111582,0.0314326744904,0.140048,6.91999969806,0.140119123272,15.3533,0.516694135973,0.139981,11,0.0124563320268,0.000420357,2.44516059111,5.84510498529,4.27774914703,0.140119123272,3.25547640621,-0.145658,4.30919974575,0.00750453970291,0.0012634748396,14.8218,-0.0277507086704
0.932387,1.87517437376,9.04828260122,0.0402279517723,0.137481,31.9764802927,0.137504656842,15.6359,3.34639175043,0.137426,12,0.01014558831,0.000289047,3.02177713265,28.8203913845,9.58843995342,0.137505399445,2.63855972263,-0.137601,4.62356074337,0.0308428484948,-0.0582429623658,15.2744,-0.149205440205
0.99075,3.84591265404,17.9998657361,0.183396164072,0.136991,38.6296464235,0.136961006782,16.0207,6.35319375342,0.136862,13,0.011537772039,0.000395243,5.45031444233,29.6129717155,19.7341970154,0.13698049563,1.90260021439,-0.168638,4.04401011989,0.0380650544225,0.0593640187837,15.9041,-0.0332387398541
0.941167,13.484242335,26.8304922514,0.138936466427,0.166427,211.092823698,0.166428206966,16.1023,19.6569486609,0.16625,14,0.0129309241424,0.00049126,8.04017412008,93.4738709212,33.1423708045,0.166444166421,5.35330706146,-0.202703,22.9648394212,0.0425990730704,-0.10287336325,16.513,-0.159801953391
0.957829,16.0417721511,24.1327057994,0.133946606814,0.180193,63.6205413547,0.180113915708,16.1647,6.32498818359,0.179993,15,0.0129064081082,0.000519064,15.3266559298,83.2051425639,27.2404135511,0.180133662556,17.218286427,-0.196266,36.6736021388,0.0271902465292,0.0783291589001,17.0339,-0.0858557492626
0.809813,21.1421980508,17.4034817414,0.216155020161,0.181435,35.8802015188,0.181356222954,16.2348,3.53322009618,0.181286,16,0.011953217069,0.000460162,9.65031236272,93.1254670406,18.9076246816,0.1813622772,15.1770408779,-0.195284,34.7048453748,0.0308489760996,0.051158205098,17.5235,-0.0147302519363
0.824416,7.93740096008,12.6103734726,0.0886071063337,0.183372,24.0823463338,0.183259788376,16.3426,2.22099251825,0.18322,17,0.0120377311721,0.000489399,7.51938811451,57.4360398506,13.4117188628,0.183266709729,8.18985903014,-0.197705,17.9230843398,0.0210838369245,0.0117879318235,18.1017,-0.0619376946945
0.853793,3.61215810214,12.4392524159,0.0966297684147,0.185915,27.7282003618,0.185834381973,16.434,2.8566521,0.185799,18,0.0126707713484,0.000562824,7.67461073274,26.1829443668,13.2459800448,0.185839965061,7.23916635576,-0.199005,13.3847049446,0.0222867226253,0.00986641912742,18.6935,-0.0548273606159
