AverageAbsQ,StdReturn,AverageReturn,AverageQLoss,PolicyRegParamNorm,MinReturn,MaxEsReturn,AverageQ,AverageY,QFunRegParamNorm,AverageDiscountedReturn,MinEsReturn,Epoch,MinForwardProgress,AveragePolicySurr,AverageEsReturn,StdForwardProgress,StdEsReturn,MaxReturn,MaxForwardProgress,AverageAbsY,AverageAction,AverageAbsQYDiff,AverageForwardProgress
0.24474,3.61781935711,-1.03046284399,0.0782389,17.1173,-12.9916996382,13.786577533,0.231006,0.0153894332677,18.6932,-1.03719223821,-25.7272452384,9,-0.0574766477197,-0.233837,-2.6814867779,0.0179523159348,4.48482523353,8.31141126854,0.0476133307298,0.0653240303865,0.980758,0.226352206766,0.000851194831656
0.061175,2.04153074059,-0.411820420972,0.00350325,17.2782,-7.30823913879,3.87205155893,0.0124246,0.0102831401487,19.1156,-0.416046514979,-4.49306609433,10,-0.0294264269189,-0.0236671,-0.955712450678,0.00975709604776,2.16386833081,5.69243022945,0.0328276284302,0.0649225530462,0.986343,0.039106132856,0.00364329074081
0.0499814,2.4070598372,-0.0534339158537,0.000530586,17.3321,-6.88832855432,4.47303662752,0.0244196,0.0245476260814,19.5361,-0.100567935563,-5.78112726191,11,-0.0253089315439,-0.0385609,-0.977399938578,0.0115565481924,2.55160748551,7.47182547346,0.0428015084945,0.052736206221,0.944273,0.0171209710535,0.00732207715437
0.0582302,2.19299101772,-0.16199068156,0.000477314,17.2308,-6.83244898782,4.62000775111,0.0332979,0.0334130455117,20.0463,-0.18847241083,-7.64050399505,12,-0.0245468682392,-0.0510182,-1.01132828559,0.0104832263906,2.849690176,5.87013663045,0.0365426089849,0.060522377476,0.934352,0.016120512513,0.00779593655017
0.0645442,2.35249987494,3.02028155375,0.000545504,17.138,-4.54742375432,5.85617070513,0.038588,0.038652606616,20.6243,2.50761254289,-12.8530487436,13,-0.0143116417425,-0.0564685,-0.282133681772,0.0113143292147,3.59609721028,8.88260625283,0.0521310520331,0.0667861109725,0.846556,0.0165965428503,0.0246391843268
0.0684658,2.48942513677,4.26246205465,0.000620134,17.0852,-3.49860171968,38.2962540709,0.0430398,0.043127771688,21.3321,3.42904825282,-11.0784074796,14,-0.00923658836409,-0.0601262,1.95127289919,0.0125894160677,7.41306726468,11.6241772519,0.0669578314817,0.0709931544144,0.80839,0.0174198021454,0.0298233547703
0.0731061,4.70317038129,5.48041223758,0.000700313,17.0606,-5.1676064662,17.9457256188,0.0484971,0.0485617867167,22.0044,4.06408101532,-3.60095674838,15,-0.0178368789288,-0.0616015,2.83735167804,0.0216660153235,5.16546333671,18.6370939433,0.0945465471796,0.0756960965531,0.830887,0.0182660623123,0.0323956562724
0.0785652,3.86074630693,5.01083273762,0.000810462,17.1616,-3.27712371924,9.11854654622,0.0519151,0.0519840820812,22.6361,3.84662450296,-4.45154028185,16,-0.00792383338542,-0.0649578,2.31769256495,0.0184808787708,3.60178965454,22.9157643758,0.115308161206,0.0810667831323,0.775768,0.0192137122136,0.0317446870282
0.0865716,3.65885234514,6.13664265211,0.000832155,17.3193,-2.71668258786,20.706851561,0.0592236,0.0592715173268,23.2569,4.76869726026,-6.94076625541,17,-0.00328829299076,-0.0711062,5.21545693109,0.0176086465721,6.42379634833,18.0450006083,0.0971274119473,0.0890905847328,0.776502,0.0198995636113,0.0398898634702
0.0953313,4.08986181171,10.8763669115,0.000947987,17.5084,-3.21862568424,13.2621874196,0.0652347,0.0653258070539,23.8249,8.59920427206,-9.99881169131,18,-0.00537945298095,-0.0779543,4.30559650985,0.0196168182002,5.92859291589,21.9319227158,0.114927194889,0.0978689372252,0.871154,0.0207954111415,0.0617886269651
