Gather_AverageReturn,StdEsReturn,PolicyRegParamNorm,Gather_MedianReturn,AverageAbsY,MinEsReturn,MaxEsReturn,wrapped_AverageForwardProgress,AverageY,Gather_MaxReturn,QFunRegParamNorm,AverageQLoss,AverageEsReturn,Epoch,wrapped_StdForwardProgress,wrapped_AverageReturn,StdReturn,MinReturn,AverageAction,AverageDiscountedReturn,AverageAbsQYDiff,AverageReturn,Gather_MinReturn,MaxReturn,AverageAbsQ,wrapped_MaxForwardProgress,AverageQ,Gather_StdReturn,wrapped_MinForwardProgress,AveragePolicySurr
0.0,0.0,17.0789,0.0,0.00185425470761,0.0,0.0,0.0118666304608,-0.000883815761822,0,14.9581,1.48739e-06,0.0,10,0.19382223377,-4.76876845517,0.0,0.0,0.999979,0.0,0.000604116567424,0.0,0,0.0,0.00180226,0.365011791975,-0.0008748,0.0,-0.333051173424,-0.000729792
0.0,0.0,17.199,0.0,0.00156984993874,0.0,0.0,0.0121052697084,0.00066983500988,0,15.042,2.52779e-07,0.0,11,0.239652177231,-4.75446360385,0.0,0.0,0.999999,0.0,0.000259959748115,0.0,0,0.0,0.00155192,0.404520967818,0.000670552,0.0,-0.309142711002,-0.000262305
0.0,0.0,17.2114,0.0,0.00159021837662,0.0,0.0,-0.349282720412,0.000411745211652,0,15.1071,2.06343e-07,0.0,12,0.105642074567,-11.9976920945,0.0,0.0,0.99952,0.0,0.000215046920302,0.0,0,0.0,0.00156611,-0.117461868355,0.000411494,0.0,-0.52483698637,-0.000716955
0.0,0.0,17.3612,0.0,0.00146378542214,0.0,0.0,0.00187929490915,0.000769079458304,0,15.1458,1.87783e-07,0.0,13,0.229464425822,-4.96254514056,0.0,0.0,1.0,0.0,0.000202586553113,0.0,0,0.0,0.00144771,0.353023273328,0.000769033,0.0,-0.39002141932,-0.00167418
0.0,0.0,17.3787,0.0,0.00163463252659,0.0,0.0,0.0811554908048,0.00117390064858,0,15.2307,2.59706e-07,0.0,14,0.225030888417,-3.38803456544,0.0,0.0,0.999997,0.0,0.000229042518739,0.0,0,0.0,0.001623,0.403030002484,0.00117428,0.0,-0.415172624875,-0.00111246
0.0,0.0,17.4353,0.0,0.00174845829374,0.0,0.0,-0.0574992572303,0.00137606504957,0,15.2891,2.33928e-07,0.0,15,0.263439276804,-6.14243261618,0.0,0.0,0.999657,0.0,0.000202509681943,0.0,0,0.0,0.00174039,0.529525736343,0.00137579,0.0,-0.491655954746,-0.00171641
0.0,0.0,17.6608,0.0,0.00184135309629,0.0,0.0,-0.160463740708,0.00152130903428,0,15.3795,2.92778e-07,0.0,16,0.199897570517,-6.97277985688,0.0,0.0,0.753298,0.0,0.000242837191431,0.0,0,0.0,0.00183219,0.305534539862,0.00152147,0.0,-0.492690898502,-0.00178591
0.0,0.0,18.0218,0.0,0.00208411619567,0.0,0.0,0.0202444863421,0.00189264072453,0,15.4299,3.70333e-07,0.0,17,0.24216083329,-4.58802389416,0.0,0.0,0.998218,0.0,0.000231244107441,0.0,0,0.0,0.00207718,0.43110826521,0.00189262,0.0,-0.4901743509,-0.00206577
0.0,0.0,18.0394,0.0,0.00214940801345,0.0,0.0,0.0248038032328,0.00203510436541,0,15.4919,3.06722e-07,0.0,18,0.216926410788,-4.50443235821,0.0,0.0,0.998887,0.0,0.000217871163218,0.0,0,0.0,0.00214714,0.353698143374,0.00203519,0.0,-0.275918055552,-0.00204143
0.0,0.0,18.1143,0.0,0.00215384571695,0.0,0.0,-0.099162470549,0.00205663174118,0,15.5447,2.56241e-07,0.0,19,0.177065556347,-6.9578432763,0.0,0.0,0.998568,0.0,0.000192952354077,0.0,0,0.0,0.00215242,0.233327338359,0.00205669,0.0,-0.426712242095,-0.00204973
