AverageAbsQ,AverageEsReturn,MaxForwardProgress,StdForwardProgress,MaxReturn,AverageDiscountedReturn,StdEsReturn,MinEsReturn,MinReturn,AverageQLoss,AverageQ,QFunRegParamNorm,AverageForwardProgress,PolicyRegParamNorm,AverageY,Epoch,StdReturn,MaxEsReturn,AverageReturn,AverageAbsY,AveragePolicySurr,AverageAction,AverageAbsQYDiff,MinForwardProgress
0.44787,27.3918506702,0.0678279514931,0.0317717271899,18.0537859634,5.24760487229,9.1306871604,0.194097274787,-7.98287503607,0.308644,0.445864,29.4861,-0.000676196916587,11.0865,0.00469766549102,9,4.1271006303,48.527472814,6.17041753639,0.00488664870473,-0.427575,0.932386,0.444004109857,-0.111607560241
0.0574342,7.39501462314,0.178225290559,0.0428918533427,31.5995309684,7.90865507909,4.99580187704,-0.414881210767,-5.20218354023,0.014644,0.0422886,31.6345,0.0165096629023,11.5003,0.0364123609716,10,5.8736490391,22.3956409333,10.121930378,0.0385439327634,-0.0809887,0.953546,0.0314621570954,-0.0957735681241
0.0746964,6.63706772649,0.0991429202896,0.0322604747409,19.2645736114,5.28254465597,4.23403118067,-0.23104751504,-7.7331758638,0.00433183,0.0693936,34.355,-0.00108966168838,11.9741,0.0712940788457,11,4.17338349052,19.8773876899,6.22767320241,0.0742129166194,-0.0934317,0.856104,0.0276330156978,-0.108527034745
0.0926099,6.09753775238,0.0786214714917,0.0298176264499,16.1198262128,5.08522881497,3.70551375661,0.254233977716,-4.93365427266,0.0092761,0.0845637,36.5597,-0.000986559233785,12.4546,0.0873726598468,12,3.84031244781,14.9005421683,5.94641102648,0.0915861962817,-0.123616,0.964476,0.0300622735709,-0.0879255033336
0.194759,6.18967827389,0.0827144219527,0.0286956847154,17.4088060655,5.48084568091,2.54461176288,-0.4081785274,-3.24225988922,0.00820474,0.18851,37.9957,0.00422578498755,12.598,0.190178430302,13,3.74174857648,10.272561912,6.37607915201,0.193741219435,-0.386541,0.995584,0.0363748923171,-0.067627632792
0.421069,5.48641270338,0.0919195820864,0.0295877745977,17.5673407587,4.91944919078,3.36800836229,-1.71553703859,-6.03707644831,0.0304579,0.411777,39.3602,-0.000379708265395,12.7321,0.418970890257,14,3.82998863402,12.973344948,5.70446513502,0.420749857534,-0.695524,0.961886,0.0606756350503,-0.0908520471618
0.660064,6.04565268596,0.0701874900224,0.0284917342288,14.7796285278,4.96271159369,3.54837244798,-0.958289380872,-3.8106895111,0.0106555,0.658566,42.063,-0.000228316454898,12.8809,0.660334592235,15,3.66863909392,13.0768327055,5.75759382401,0.661631212116,-0.929393,0.969752,0.0590826748488,-0.0723157253781
0.80718,4.87678281778,0.0845147902109,0.029699008323,17.2698799781,5.26702508826,4.17267897382,-2.66326848144,-4.73447642014,0.0145669,0.806109,43.561,0.00111427687914,12.9927,0.807820457415,16,3.8308009852,12.5574169493,6.15109297049,0.809036312403,-1.01104,0.982524,0.0669973232919,-0.0848885889434
1.02786,5.23401485816,0.0835678778037,0.0302247069484,17.1160158918,4.83422038477,3.87331269081,-2.76850231512,-7.45236341388,0.0271321,1.02696,44.292,-0.00434926204457,12.9836,1.03363128914,17,3.89401560211,12.4503824601,5.67746459043,1.03379425987,-1.59917,0.991633,0.0897644881485,-0.107341676531
1.7031,8.80334387445,0.208778446772,0.0535952364967,37.1221075812,10.4510075343,7.26396122446,-0.240466151359,-0.127058243449,0.134484,1.59652,46.1384,0.0424028569521,13.2592,1.60953592139,18,7.63995770447,33.9242305048,13.9219471994,1.72054919861,-2.74401,0.96999,0.205807777912,-0.0590910195096
2.11557,35.2677523409,0.433607755048,0.0723878368477,68.9558612808,28.5262038174,12.5720346713,1.34807877979,18.7737838251,0.225662,2.01511,46.8309,0.242424074766,13.4778,2.02813878058,19,9.81974667651,47.0565756939,42.7276037509,2.14403793045,-3.21643,0.98476,0.286884599526,0.0698312450656
2.56762,7.50563241686,0.0960588932334,0.0343473936904,18.94569473,5.55443669662,4.07460576169,1.17191224374,-4.63057395169,0.357357,2.51774,47.3854,0.000110175294994,13.6501,2.53060342435,20,4.38916261396,19.8893616634,6.58543028377,2.58225006837,-2.9007,0.982522,0.340915796424,-0.0875895442281
1.92484,6.67563977488,0.114068068817,0.0345645177801,21.6269623015,5.41327661484,3.67391175667,-0.2950039718,-4.24830479543,1.53606,1.85787,54.7437,-0.00103611989299,13.6691,1.89460525266,21,4.43411598108,18.3455545752,6.41370480133,1.94620111664,-1.64036,0.997218,0.562582896022,-0.085327080049
2.40795,7.29329688961,0.143716829482,0.0338210048193,24.9543629217,5.67003661495,4.19996268081,-1.81504241491,-3.78572278669,13.0549,1.88266,56.1026,0.000931462317007,13.9141,2.0476547655,22,4.32384828195,14.4997922534,6.73098745037,2.0772612335,-2.03385,0.994137,0.883799013653,-0.0808447492646
2.21747,5.72330581843,0.075720813433,0.0354671805045,16.2052426726,5.39856305377,4.43555171328,-10.7308766785,-9.30215848564,0.659235,2.19672,57.7945,-0.00131049884714,14.0362,2.18779227796,23,4.53581392836,12.2665010194,6.39740282365,2.22071655397,-1.98842,0.978175,0.467722663741,-0.123939465949
1.95201,5.24357798065,0.121698690034,0.036587065168,22.3277186606,5.81249971004,4.26748341879,-3.63977731911,-3.69911151535,0.746039,1.91155,59.0297,0.00226073419686,14.0751,1.90243679037,24,4.73133216774,13.8863134827,6.90939179874,1.94712062366,-1.68064,0.999912,0.448205375066,-0.0800678112893
1.78851,6.48984599113,0.0795080244886,0.0321890238152,17.3646391444,5.68123343737,3.27512747653,-0.502405649833,-6.31410731252,0.497939,1.75424,60.8661,0.000429925815901,14.1545,1.75239060514,25,4.13136024373,11.8218607385,6.76448592702,1.79064088211,-1.79361,0.99905,0.403526179268,-0.102217270351
1.80266,6.51158847826,0.0890808259475,0.0356142965813,18.3868169473,5.38127823154,3.96327421603,-0.806177972235,-8.62740026278,0.487897,1.77203,62.1548,-0.00244700489934,14.2956,1.777134242,26,4.59100742686,12.8555749558,6.40898692654,1.81397725739,-1.96973,0.989483,0.412732322965,-0.121405311725
1.9977,30.5702398939,0.370416757198,0.0520651951798,60.8350541645,31.0562326286,21.3555208621,-1.39410022577,28.0034837832,0.388326,1.96604,61.9812,0.270141662927,14.428,1.97643518033,27,6.96642761692,54.1993137959,46.9515771319,2.01001045254,-2.23013,0.982489,0.344621101463,0.129821929633
2.06004,43.879875951,0.409171468692,0.0514251055535,65.5407084412,29.7923492752,7.48208315988,27.240342102,24.2577577542,0.260871,2.03849,62.3417,0.253787776191,14.468,2.04497578511,28,6.82213197477,56.3015518827,44.7816908444,2.0734735888,-2.20296,0.983221,0.308820888717,0.0921552205568
2.12136,41.8800793197,0.387519349884,0.0465974392055,63.0506197353,29.7736136113,12.8522781541,0.482806775995,27.3498952187,0.208876,2.10517,63.7809,0.252585189236,14.4868,2.10980180818,29,6.32979821191,60.4969057904,44.6180188207,2.13005957473,-2.22215,0.987321,0.281588267886,0.128710729303
2.11323,43.0415459404,0.411908657745,0.0584782187745,65.2735695284,26.5890613879,14.126983741,2.05013136085,17.0552381742,0.219961,2.09674,62.5623,0.215910513154,14.529,2.10388607896,30,7.90849161207,61.3544488838,39.4078223679,2.11972957401,-2.16838,0.987255,0.271470005491,0.0548389988211
2.02252,38.3160327402,0.362077037873,0.0609082052783,60.1374975346,26.4700897947,9.72847993367,23.4638195327,20.2694076882,0.155385,2.0085,63.3505,0.214297295034,14.5953,2.01221080355,31,8.34447165854,58.1341725187,39.081728686,2.02807160699,-1.99579,0.989641,0.235290910053,0.0744117853029
1.91987,33.6089692753,0.292697862453,0.0512574447275,48.5951676131,21.0533381881,11.786876583,15.5690594498,11.1924549392,0.153645,1.9065,64.7093,0.15141635538,14.6484,1.91007810355,32,6.82131001316,55.8431055249,30.1254662821,1.92399650661,-1.87355,0.992189,0.2275416667,0.0133679202463
1.66398,24.0733977757,0.0915778115235,0.0343067435343,18.4944885194,5.82140878555,15.8924955324,0.46986518765,-4.60837606552,1.20137,1.05834,66.8307,0.00191077289204,14.7523,1.06045394496,33,4.40557487093,57.9832267529,6.92969340676,1.73493125603,-0.933685,0.979104,0.494155325369,-0.083385935412
1.52805,8.14612733367,0.0874905377393,0.0324111558134,17.7637222461,5.33196081248,11.1158502397,-1.06545699254,-5.44816763677,1.06153,0.675974,67.5765,-0.000319323506314,14.8588,0.677417132169,34,4.17099905314,60.9748335171,6.28058999512,1.60990736485,-0.818497,0.9868,0.44035067219,-0.0973318747971
2.40594,7.17573156378,0.0862827445791,0.0289566423204,17.5857366602,5.08718857717,4.21594450378,-2.96146273233,-3.64403301432,9.1668,0.361262,70.3547,-0.00278154482575,15.0272,0.208881601871,35,3.73302950284,13.7885632736,5.99442867936,2.24863393391,-1.24283,0.970632,1.1198099096,-0.078853420098
2.66801,6.37063479574,0.115088111562,0.0326283729384,21.5959752175,5.48851974538,4.65755904349,-8.67587836908,-5.17656065629,18.7374,0.676658,70.7248,0.000263625860053,15.1779,0.633753061166,36,4.20782315273,15.997207765,6.4902878727,2.61761651791,-2.40387,0.983055,1.30281664839,-0.0878455039072
2.76584,7.54895863174,0.076492161012,0.0299549670925,16.158161182,5.61540954901,3.33487881826,-1.15915201335,-7.55835633397,5.66329,2.00721,74.7135,0.00263528421598,15.2676,2.28797886861,37,3.84703015309,13.667468831,6.60344139469,3.1148028552,-2.82919,0.958458,1.2457679563,-0.109375255811
3.65753,6.01507512086,0.0940528873905,0.0326758324535,18.4979778383,5.39636684876,3.63542848472,-2.03541300846,-6.90507313497,2.90182,3.45908,75.4036,-0.000306677718235,15.3222,3.58491512612,38,4.21496282234,12.5024310392,6.3731892333,3.83868752752,-4.07104,0.977206,0.913866197919,-0.102726325369
3.85959,6.06168879267,0.102815482972,0.0338880367013,20.298418005,5.70965102758,5.28626771176,-3.52884117982,-4.84271217262,1.81606,3.7716,77.5664,6.19722714473e-05,15.3922,3.83300851182,39,4.43840378081,15.0868528759,6.88068952328,3.94499773846,-4.13638,0.988359,0.769950733728,-0.0905109643986
3.7886,4.64075277269,0.0890620603746,0.0322080227457,18.2712484428,5.32898273662,3.73952289854,-2.40673705388,-5.09089850368,1.21626,3.75117,79.9073,-0.000312984439804,15.4544,3.78673170387,40,4.14124679009,12.4827391393,6.27442330679,3.83508617957,-4.15678,0.98612,0.677143697681,-0.0902893245839
3.75496,17.8844679075,0.244417199697,0.0481034993159,45.2367555363,8.9403746239,17.2647743153,0.833401418247,-0.0979918530806,1.06212,3.74664,81.6096,0.0210072779867,15.509,3.78034190593,41,6.563437339,58.5719916731,11.3827113264,3.79611543887,-3.85976,0.986759,0.633963519044,-0.0700275413601
