MaxReturn,StdEsReturn,Epoch,AverageForwardProgress,AverageAbsY,AverageQ,AverageQLoss,StdForwardProgress,MinReturn,AverageReturn,StdReturn,AverageDiscountedReturn,MaxEsReturn,AverageEsReturn,MinForwardProgress,AverageAbsQYDiff,AverageAction,QFunRegParamNorm,AveragePolicySurr,PolicyRegParamNorm,AverageAbsQ,AverageY,MaxForwardProgress,MinEsReturn
48.9466366798,5.0469996086,9,0.0525563135712,0.105952539783,0.0928249,0.00530522,0.0468553310003,11.8840219243,25.7083648506,5.91236717267,22.8698345044,38.7560551136,7.38399019205,-0.0564243622693,0.0526307296058,0.00446507,14.0915,-0.0233382,14.1721,0.0929279,0.105952539783,0.262047226718,2.25667615636
7.30224353056,0.918397549974,10,-0.000249865011066,0.0905561897495,0.0962708,0.00251535,0.00808981831704,1.81431521253,4.04136066493,0.903792614823,3.97668576447,8.08405792177,3.01822112453,-0.0278416297797,0.0398992788743,0.424341,14.6405,-0.103364,14.3939,0.0963636,0.090556097058,0.0284301600073,1.43293885737
4.22961789597,0.481573879268,11,0.000234517258498,0.0888612310553,0.0919806,0.00107742,0.005259455123,1.88584345969,3.0961157844,0.344602745195,3.06447570756,4.78817795122,2.34402218132,-0.0177177356432,0.02542760042,0.986525,15.4501,-0.114565,14.9989,0.0920041,0.0888599709391,0.0183057795993,1.47922138514
4.28583852108,0.212451688147,12,0.000348034319856,0.0929429331549,0.0975856,0.00228588,0.00512427626728,1.8187766066,3.10096962415,0.336987711976,3.06930986091,2.77596167375,2.17943783283,-0.0167913099232,0.0334710034351,0.998271,16.3609,-0.139392,15.2014,0.0976085,0.0929429331549,0.0181231262304,1.3851633957
4.16756941848,0.220821430914,13,0.000236475890064,0.107335299559,0.124387,0.0101688,0.00512762660124,1.68665449405,3.04344336584,0.331139670139,3.01275462891,2.84222266262,2.1557832989,-0.0228771685137,0.0621438231298,0.910751,17.5158,-0.213164,15.3941,0.124447,0.107335299559,0.0170845752971,1.41942461897
4.12516030848,0.221706297394,14,0.000242873924288,0.142237471027,0.191532,0.0472648,0.00516091810623,1.61701104931,3.02874724529,0.335971924599,2.99832404566,2.74241409297,2.1504211003,-0.0219794085296,0.124837467926,0.90042,18.8985,-0.367647,15.5516,0.19162,0.142237354647,0.017562000349,1.56241428839
4.15697383991,0.22860685611,15,0.000200504067603,0.206614862762,0.332453,0.192687,0.0050548910789,1.90355532628,3.02958974102,0.330591104112,2.99912700939,2.83800627112,2.17052745524,-0.0174122321164,0.245143932156,0.903615,20.4523,-0.618228,15.6551,0.332652,0.206613826809,0.0165186016226,1.58660402974
4.09205258647,0.230982856297,16,0.00018069304543,0.300920792491,0.570366,0.636847,0.00518526259547,1.92570468818,2.98589014462,0.339967043469,2.95617399964,2.90281656276,2.1442195439,-0.0155963212001,0.442176671172,0.901337,22.022,-1.01384,15.7213,0.570694,0.300913289142,0.0163864940873,1.54630966861
4.19290228652,0.220103427584,17,0.000296838491022,0.448722879877,0.9511,1.77391,0.00518279672163,1.858349277,2.96788063235,0.336545697934,2.93843426237,2.80392742523,2.11612333375,-0.0166980536101,0.750544443889,0.98192,23.6489,-1.60357,15.7542,0.951642,0.448689269545,0.0177764816439,1.40397544783
4.11421691536,0.219952694615,18,0.000208969701915,0.638967723549,1.4323,4.04859,0.00515162261485,1.84748510832,2.95854242908,0.333683156962,2.92925608544,2.80039840978,2.07843859963,-0.0171634039123,1.15736137014,0.955103,25.4492,-2.32766,15.8107,1.43356,0.638797710917,0.0169077624587,1.42429851449
4.26715718587,0.236246525633,19,0.000133493919912,0.939376396341,2.31695,10.8428,0.00503423266316,1.70760306496,2.95638228443,0.326232535947,2.92705183571,2.9321792313,2.09952497125,-0.0187243522358,1.9180813054,0.974947,27.2598,-3.70221,15.8509,2.31917,0.939040885647,0.0194918460753,1.38435662556
4.26790225131,0.222121160537,20,-2.34207689954e-07,1.37797621876,3.56907,26.0593,0.00520360002462,1.74358619496,2.94870580736,0.338148005377,2.91940977589,2.78195489225,2.0878592319,-0.0181648546119,3.01657217187,0.988212,28.9587,-5.60067,15.8613,3.5751,1.37736436124,0.0199362543563,1.44143326466
4.25361421551,0.234187123315,21,2.90100300222e-05,1.97798125991,5.42775,59.8464,0.00517378568336,1.71556392447,2.99227665095,0.36015471693,2.9621547938,2.83790528676,2.1173543496,-0.0199581055445,4.65555649027,0.976372,30.7584,-8.21019,15.9055,5.4373,1.97701350499,0.0188355492614,1.51096961816
4.15352685358,0.233177399702,22,7.35102458182e-05,2.67101773461,7.90727,130.682,0.00517385461123,1.8115234149,2.97484820483,0.344291180651,2.9451207452,2.86676246062,2.08971441506,-0.0171475107541,6.90383761286,0.948938,32.4348,-11.6931,15.9469,7.92647,2.66976854411,0.018197605445,1.46986846561
4.13463796172,0.22760529543,23,6.24287775194e-05,3.68336740018,11.241,264.099,0.00518580764526,1.86816893931,2.97159279385,0.34477260849,2.94200222963,2.78763317169,2.10922712446,-0.0177836025688,9.88663405778,0.912083,34.2985,-16.3305,15.9839,11.2662,3.68166745351,0.0164935482425,1.45316301328
4.2102475064,0.240064564824,24,0.000147503135799,4.85170071874,15.0951,474.339,0.00520400041312,1.84978087031,3.02396007638,0.346626433568,2.99355825853,3.42090698807,2.13953281294,-0.018065545768,13.4019286945,0.906064,36.0161,-21.5924,16.0292,15.1285,4.84919117964,0.017383483517,1.46660771647
4.21251924084,0.241408813379,25,0.000331287387581,6.29129203857,20.4327,869.698,0.00508910717074,1.95728637547,3.0390287676,0.337966290589,3.00846574094,3.11611686405,2.14621539062,-0.0157643345371,18.2903932086,0.909094,37.7544,-28.6805,16.0659,20.4856,6.28826750474,0.018049935551,1.51413747624
4.32703538616,0.219277190479,26,9.95931265774e-05,7.83959281787,26.4535,1443.76,0.00518584261822,1.65893523647,2.98815898457,0.345859589612,2.95835780165,2.78884664069,2.1643958641,-0.0195705154979,23.788719031,0.903922,39.5981,-36.4264,16.1076,26.5113,7.83519698911,0.019919578028,1.59756965983
4.27766306681,0.219480452671,27,0.000300396915316,9.90087896235,33.9965,2363.22,0.00509812206449,1.79483281965,3.03333605369,0.340650913243,3.0028587266,3.04860731796,2.14143657808,-0.018459453956,30.6216340245,0.909074,41.427,-46.2758,16.1506,34.0623,9.89540118007,0.0186171214636,1.49975978765
4.33451767062,0.234356298653,28,0.000231543361863,12.209582288,43.8193,3921.85,0.00519011105063,1.76681838768,3.07439351823,0.339064168286,3.04315267026,3.05284785389,2.1745974578,-0.0188601284878,39.6274601403,0.969055,43.1168,-58.9203,16.1757,43.927,12.2003495118,0.0209379953527,1.54349819774
4.16474418133,0.22801760116,29,0.000221625398728,15.1659203931,55.7679,6278.98,0.00518394339682,1.84802999619,3.0091614461,0.346738907166,2.97906237158,2.75422027581,2.14085203728,-0.0160482339653,50.494413221,0.90373,44.9213,-73.8459,16.1837,55.911,15.151738789,0.0173955814781,1.43589076611
4.26454337507,0.221319518232,30,0.000360800058127,18.7515957954,69.7054,9591.36,0.00511296838552,1.74669018812,3.0781598557,0.336202806353,3.04692951005,2.81448549923,2.14013032543,-0.0182556114779,62.8550248712,0.958421,46.8162,-91.2584,16.2127,69.8547,18.736448445,0.0200256784955,1.33105094533
4.31377115906,0.24061482367,31,0.000331853315769,22.3334209085,85.1812,14012.6,0.00512389658649,1.86901851227,3.07717266435,0.335160681469,3.04594899375,2.88670427239,2.1623819275,-0.0185183143653,76.8028002931,0.962691,48.6642,-110.075,16.2368,85.3467,22.3136252282,0.0186076956076,1.31542742864
4.10587014682,0.217497714646,32,0.000295392076041,27.3918505289,103.811,20693.6,0.00513240874549,1.69031057456,3.0742541342,0.337711570066,3.04306042565,2.79222568622,2.15287900603,-0.0154582462131,93.3441543845,0.963043,50.7079,-133.254,16.267,104.006,27.3674610298,0.0165349714497,1.46981495491
4.23030811093,0.213424502546,33,0.000341890327292,32.7555593753,125.924,30123.5,0.00522252337623,1.69566554956,3.08503616069,0.342880044667,3.05367859108,2.78347287629,2.16150441781,-0.0189331291105,113.230916139,0.979256,52.625,-160.581,16.2814,126.167,32.7284960681,0.0177929588415,1.53437868319
4.24384199244,0.220814342034,34,0.000342452013345,38.4708273696,148.847,41724.2,0.0050178163813,1.88865680738,3.08647298297,0.331105791786,3.05508933104,2.89419302724,2.15486472468,-0.0180080866558,133.594719669,0.980044,54.4653,-187.718,16.2908,149.152,38.4342476616,0.0182136826822,1.40336201481
4.32385577179,0.221117633284,35,0.000308943814282,44.4564150974,177.286,58812.5,0.00503307962804,1.86404398607,3.08386247878,0.32904048613,3.05250214288,2.8030627316,2.16819371242,-0.0171294347473,159.80934876,0.978172,56.5546,-221.335,16.302,177.621,44.4146637546,0.0183664199004,1.36203607987
