MinEsReturn,AverageAbsQYDiff,MaxForwardProgress,AveragePolicySurr,StdForwardProgress,AverageAbsY,AverageAbsQ,AverageQLoss,AverageDiscountedReturn,AverageForwardProgress,AverageEsReturn,Epoch,MinForwardProgress,AverageQ,StdReturn,MaxEsReturn,PolicyRegParamNorm,MinReturn,MaxReturn,QFunRegParamNorm,StdEsReturn,AverageAction,AverageY,AverageReturn
0.998111249959,0.0158318204969,0.0212685166265,-0.026417,0.0136537794287,0.0138327886521,0.0193423,0.000676566,7.15089905328,-0.0177593788164,25.5717686693,9,-0.0672514609906,0.0193423,1.16242607821,63.7860076351,8.85598,4.48850036411,14.9558936966,8.07787,10.4363938604,0.974086,0.0100942181256,7.4084030343
4.04067983102,0.00742648236173,-0.00245251255761,-0.00988151,0.0262104916533,0.0104814809432,0.00712844,0.000102937,9.20675223409,-0.0670545979916,8.31459543155,10,-0.152964707788,0.00712666,2.66155878725,28.2391138468,9.09615,4.18865956495,49.3728966022,8.12644,4.14908616792,0.784918,0.00713692608865,9.72355148718
6.31922447154,0.00274828994818,0.0905219776678,-0.0208254,0.0206321264202,0.0177715287634,0.0176649,2.01868e-05,13.7867754267,0.0216163299022,10.6716494292,11,-0.0356040214309,0.0176641,4.09486521846,34.5181798877,9.19969,6.8868371642,27.2006392058,8.19998,4.51436302495,0.991372,0.01767214679,14.8260496206
2.55265776003,0.00269334752707,0.0991336066757,-0.029884,0.0243323863139,0.0271484641148,0.0271346,2.17841e-05,13.5374763673,0.0203566411894,14.3517383505,12,-0.0453187602633,0.0271346,4.45602012942,23.0698451521,9.28988,4.72258389821,26.9286832581,8.31539,4.20369168987,0.977962,0.0271484641148,14.5521817478
1.83325578024,0.00341725330281,0.0207060822708,-0.032708,0.00569874186836,0.0329042789789,0.0328808,3.4562e-05,3.12717397326,0.000157564234675,3.65939679889,13,-0.0231965076592,0.0328808,0.560074115814,24.8298822362,9.41434,1.65717110042,5.10208832363,8.42615,2.35228808468,0.962968,0.0329042789789,3.16267537405
1.76454597465,0.00469839559513,0.0162979816775,-0.0366482,0.00525507655229,0.0376676178358,0.0376256,6.28933e-05,2.93158855257,-8.7984658106e-05,3.07844538714,14,-0.0227409136824,0.0376256,0.379236285991,5.04527313351,9.34796,1.47878099633,4.56593285711,8.52879,0.516748454128,0.973682,0.0376676178358,2.96135976671
1.94768327327,0.00607569362044,0.0250948648443,-0.041516,0.0137333246607,0.0413657996303,0.0413082,0.000103383,7.09399954991,-0.0186467677915,3.94544854313,15,-0.0651326140186,0.0413082,1.11949898025,48.6619504885,9.29037,4.63991315301,13.4299190315,8.54789,3.56802430237,0.985902,0.0413657996303,7.34890176828
4.10735503245,0.00682594841342,0.0408728855843,-0.0463751,0.0152017868911,0.0459462287247,0.045862,0.000133936,7.35165354525,-0.0204218666505,7.69872683237,16,-0.0678252435322,0.0458603,1.06565437169,11.7845724482,9.38388,4.5977135109,12.5412808307,8.65734,1.13673281532,0.971102,0.0459462287247,7.62639729505
3.23040322312,0.00756825978293,0.0313628579179,-0.0505096,0.00729319819435,0.0498499708167,0.0497537,0.000163083,4.31922778888,0.00221594633195,5.68054409511,17,-0.0251099677039,0.0497428,0.434573479813,11.6319705755,9.39548,2.82481582308,7.13781913412,8.95305,1.61504410744,0.9696,0.0498499708167,4.38901622039
3.47817226477,0.00519177579915,0.0311208260751,-0.0497058,0.00861812800887,0.0456092005799,0.0456089,7.03361e-05,4.1216234556,-2.11196208992e-05,4.42705707417,18,-0.0344284208725,0.0456075,0.621510981966,5.53757994169,9.4791,2.23302477067,6.82697476522,9.53499,0.446677610854,0.754253,0.0456092005799,4.18907717153
1.91132147989,0.00414392240686,0.0290508264109,-0.0486739,0.00783288782794,0.0437545740271,0.0437564,4.2982e-05,4.49031254658,0.00177193612078,4.42898639838,19,-0.0258050349818,0.0437557,0.63585477555,6.62539279855,9.65942,2.67846292638,7.0252456767,10.1817,0.676020351445,0.869254,0.0437545740271,4.56869053774
3.39559144848,0.00391510375899,0.0526270522051,-0.0555227,0.0135028149986,0.0494630576931,0.0494573,4.13488e-05,8.37729364258,0.0142885727553,5.53813056615,20,-0.0383590032898,0.0494568,1.20852092408,10.1477231112,9.90762,4.24014326982,12.5127886294,10.5778,1.6930043631,0.975872,0.0494630576931,8.68329893525
2.65878422462,0.00436676332132,0.106889162709,-0.062246,0.0227665126132,0.0547026100212,0.0547063,5.38363e-05,13.622793445,0.0209681339486,10.7076942266,21,-0.0346898392966,0.0547053,4.20388043863,21.9237253342,9.982,6.5679861954,26.1254258276,10.9921,3.98678041987,0.997026,0.0547026100212,14.6401594188
