AverageQLoss,AverageDiscountedReturn,QFunRegParamNorm,MinEsReturn,AverageEsReturn,AverageAbsY,MaxEsReturn,AverageQ,MinReturn,AverageReturn,AveragePolicySurr,AverageY,StdReturn,Epoch,Iteration,MaxReturn,StdEsReturn,PolicyRegParamNorm,AverageAction,AverageAbsQYDiff,AverageAbsQ
9.40548,-7.63800862821,11.5833,-17.1833361525,-9.77427017568,3.07503306299,0.10388197778,0.427413,-8.34983946061,-8.24009740948,-0.99524,3.07394003845,0.0369942300243,9,9,-8.12563803391,3.20779028311,11.7813,0.564236,2.88516549945,0.74927
0.356317,-8.03222996214,11.8604,-18.457784718,-7.72889163522,1.69187495958,0.158504020611,1.67796,-8.50993365366,-8.32089345735,-2.5222,1.68897845889,0.0829978780762,10,10,-8.07936346035,1.78912163365,12.507,0.999226,0.382636241599,1.68378
0.0565806,-7.81481662953,11.9832,-12.6640515556,-7.32213914068,1.25799812931,0.386499839509,1.25052,-8.25670739615,-8.09207614684,-1.72587,1.25491349458,0.0646249678895,11,11,-7.94093443784,1.77670291059,12.6887,0.999998,0.172059159467,1.26558
0.0329817,-7.81618663174,12.1596,-15.1885038347,-7.38008521723,1.32678448393,-3.94954220827,1.31965,-8.24663249344,-8.09348973159,-1.67524,1.32187521682,0.0638400786738,12,12,-7.9416224393,1.84258414985,12.6977,0.999999,0.136907951252,1.33811
0.0221074,-14.1563515725,12.3404,-15.2140907778,-9.20453590859,1.20188097629,-3.68901429614,1.16738,-15.5338727538,-15.0980705518,-1.5152,1.16829848777,0.169510668209,13,13,-14.6744508546,3.25642792299,12.9969,0.999997,0.113719477017,1.20634
0.0181391,64.070199317,12.4732,-15.3494902713,-9.0916128507,1.22774371079,89.2780435919,1.19981,70.4545805786,103.543056444,-1.55522,1.2008098942,14.3949957229,14,14,133.210842336,18.5244116284,13.2672,0.890987,0.102619329349,1.23122
0.0179945,-11.2721376875,12.6879,-0.648243137998,34.722554518,1.31388540892,203.436570469,1.30001,-14.2445065891,-12.6405244127,-1.68525,1.30118534253,0.832946116671,15,15,-9.80373426494,44.9135479001,14.4661,0.966864,0.098476689413,1.31616
0.0188702,-10.8387204251,12.8853,-34.3061521959,-9.71213633369,1.37257589583,40.9792250712,1.36369,-30.077425911,-22.9097632818,-1.72744,1.36481099282,3.10932055681,16,16,-13.3489976637,12.2017358282,15.4453,0.941499,0.0976152640787,1.37438
0.015151,-17.4794979409,13.1009,-42.4994642522,-20.9190261449,1.43196450675,-3.95548823485,1.42779,-48.1730678699,-41.3920639709,-1.72131,1.42860380329,3.52154731247,17,17,-35.1168947987,10.8429470346,15.9259,0.9328,0.0880971578837,1.43378
0.0139153,-16.7214811377,13.3672,-44.3290230478,-29.5073950779,1.48208450986,3.03626659624,1.47781,-47.8258619653,-43.8970920845,-1.76264,1.47847726773,2.1427957823,18,18,-36.2152291418,14.6311838943,16.2978,0.959293,0.0797510934577,1.48409
0.0137927,68.9304557365,13.7156,-55.705678088,-6.83356208348,1.52374905188,169.725619537,1.51905,979.15615959,987.906194695,-1.79313,1.51982909328,6.56087024981,19,19,1000.80884543,65.1023579113,16.6402,0.859091,0.0777661747024,1.5255
0.0110903,65.2105939985,14.0216,-44.9485899121,-9.56857747345,1.54921568946,61.0847144909,1.54367,957.245557786,969.690138261,-1.80373,1.54411735268,6.5668974652,20,20,976.935214431,31.4755165983,17.1015,0.851417,0.0703817650094,1.55082
0.0133165,29.4510924223,14.4363,-87.6266221436,-12.1732362744,1.56045809376,62.2531708402,1.55452,-9.61188705173,77.1161193036,-1.81057,1.55516672176,53.5661764811,21,21,189.994224585,36.8895671958,17.6107,0.896093,0.0732311246551,1.562
0.0129184,-9.78079083875,14.8356,-50.2528620068,-26.3936398687,1.59417756836,3.94048783063,1.58958,-42.1546755402,-20.753537143,-1.85287,1.59028861015,10.6936352081,22,22,-2.3532076269,14.7530076802,18.0912,0.965979,0.0712904327833,1.59506
0.0147191,-11.0397991306,15.2787,-43.9842701095,-15.6690789623,1.61635692705,29.6223407215,1.61185,-31.517396158,-23.6980983279,-1.85167,1.61244769549,3.32252146951,23,23,-14.9884160915,20.21598041,18.79,0.95534,0.0756668381784,1.61764
0.013528,-13.6108109575,15.7385,-48.4818156905,-28.592810507,1.62331847286,-3.47141670753,1.6195,-35.7649995418,-29.9743899121,-1.83814,1.61993246854,2.69294461149,24,24,-24.663940399,11.6379426442,19.2263,0.971091,0.0719492977718,1.62451
0.0124069,-7.12420746243,16.1781,-50.9228081354,-24.9807854342,1.62708815871,3.56065930298,1.6231,-62.3573539308,-20.574693236,-1.83391,1.62391617757,13.9286237699,25,25,37.8082770803,16.9440741506,19.7963,0.955981,0.0687932812749,1.62775
0.0126013,39.852743376,16.5891,-45.4061559264,-6.18561707287,1.64171762957,43.2779724331,1.63781,-26.8977653707,98.905193939,-1.84011,1.63835352775,136.30592787,26,26,514.300527936,24.8362695769,20.5189,0.962701,0.0696006513445,1.64252
0.0137529,40.6341813371,17.0088,-12.3059923693,29.897293248,1.66512460806,89.674190514,1.66024,-22.3866957615,177.300218703,-1.84885,1.66086171318,220.831451585,27,27,680.599700732,35.9041284586,20.9028,0.963957,0.0707586515637,1.66589
0.0159991,87.0090546981,17.4686,11.1626909308,11.1626909308,1.66822831531,11.1626909308,1.66325,452.431943397,777.979543302,-1.83962,1.66375680014,152.829712748,28,28,942.139578654,0.0,21.345,0.948068,0.0744464699964,1.66938
0.0148072,55.2218858321,17.865,-24.1377858965,385.089499801,1.70278057555,800.080564588,1.69692,-37.3374337213,209.618202034,-1.88444,1.69771301929,173.54355268,29,29,709.308869402,307.479533926,21.73,0.955332,0.071282603242,1.70359
0.014599,77.4678489533,18.1857,-36.1153217458,85.5114435426,1.72836181321,249.817601009,1.72258,18.6632900846,157.47925685,-1.89679,1.72315358098,64.5086950391,30,30,294.659243657,90.9437453414,21.9912,0.958266,0.0698071971163,1.72904
0.0157938,18.9400042355,18.5446,-26.8941692878,61.7782347148,1.74968372508,279.570506324,1.74321,-101.678159858,9.07901697695,-1.91259,1.74385213225,62.7556033133,31,31,163.41632856,111.81380663,22.3789,0.94142,0.0714012661157,1.75071
0.0166693,27.9148628143,18.9233,-111.95327169,-15.4797628479,1.77629193696,137.759418332,1.77075,-126.313324015,47.7262743826,-1.94314,1.77144235345,115.904541152,32,32,478.351843234,69.1394792409,22.6668,0.946773,0.0726489263109,1.77736
0.016121,88.7213521541,19.2956,13.3902901107,185.243998385,1.79189768911,357.097706659,1.7868,-25.8493366146,497.154412043,-1.94795,1.78724094513,297.680626451,33,33,1100.39839948,171.853708274,22.9277,0.938017,0.0735812843934,1.79326
0.0170255,84.3038285242,19.7007,-34.8890661516,37.8306131791,1.8262394401,99.2498376541,1.82113,-12.7098795971,170.674147883,-1.99493,1.82188210247,76.731092186,34,34,410.773985007,49.0326771883,23.2347,0.95356,0.0730408636339,1.8272
0.0180288,64.325078137,20.1057,-58.6201595172,23.1239176109,1.86092837343,227.667561304,1.85587,-92.1335351094,172.927197424,-2.01757,1.85655555276,187.233185864,35,35,920.485862075,83.3148890887,23.6287,0.91404,0.077581546661,1.86189
0.0191463,-5.61097634207,20.527,25.1704005895,161.787268245,1.89464890916,340.194019583,1.88999,-40.1277873618,-8.50589873398,-2.05654,1.89055523109,2.64331976048,36,36,-4.39515424908,109.267991338,23.936,0.956752,0.0784348874057,1.89599
0.0198808,20.6111851603,20.8703,-9.74246505095,10.8251070114,1.92252195329,30.5294240582,1.91772,-107.081757243,135.170392849,-2.08058,1.91836676669,204.57832589,37,37,851.656893573,16.4522575963,24.1749,0.928194,0.0787969956851,1.92349
0.0219724,-1.84601196886,21.2139,-39.1072133988,55.6779171907,1.94292084989,793.733946732,1.9385,-82.6046364616,-13.2802523746,-2.09869,1.93901769352,46.6208276562,38,38,382.414074018,215.234485352,24.4857,0.951504,0.0791249007075,1.94442
0.0211792,21.0799553214,21.5434,-30.4738922018,46.3849047023,1.97675173712,234.810364209,1.97284,-100.585014451,45.4742643106,-2.13719,1.97363420168,152.8330672,39,39,879.605991922,97.5236600582,24.7467,0.956915,0.0785521847513,1.97749
0.01807,2.66397578026,21.8338,-74.6347239707,37.4113760406,1.99859843952,237.761653197,1.99488,-4.5999452826,3.77811933778,-2.15016,1.99551192416,4.35939712875,40,40,29.1493991558,95.2024370276,24.9897,0.952308,0.0763893012929,1.99958
0.0193505,76.5550723092,22.1328,-34.9858886407,13.1417881718,2.01919310499,91.3003143102,2.01512,-105.523429949,168.720615293,-2.16833,2.01562921847,138.85969712,41,41,749.230508702,32.3666460471,25.302,0.958765,0.0778970356209,2.02022
0.019079,22.6976089101,22.444,-67.8979960244,7.57731726802,2.04264881561,208.297446387,2.03883,-173.142084655,91.0502856035,-2.18903,2.0394914238,243.401854405,42,42,992.469354077,59.229002444,25.6785,0.936207,0.0766267645683,2.04392
0.0233007,27.4500217449,22.7357,-0.957073169703,138.27458628,2.06704536716,411.866128843,2.06367,-135.046116558,69.3324218471,-2.21251,2.06458044125,123.569712795,43,43,442.77740233,169.858031492,26.0169,0.956455,0.0796623407755,2.06788
0.0216444,71.3108942464,23.0507,-45.6642184174,95.4746073351,2.08511616031,331.959342424,2.08251,-12.9709901516,250.646545394,-2.22474,2.08304219193,227.471286471,44,44,910.774337327,122.662174522,26.4663,0.948452,0.0778141544437,2.08648
0.0229904,66.9197909708,23.3931,-28.433283535,44.2954492668,2.1083203305,193.121312715,2.10567,-52.0452788101,311.792668531,-2.25118,2.10615502793,270.86595795,45,45,903.922170574,78.5299303009,26.679,0.92603,0.0798490881136,2.10972
0.0206727,78.2193353804,23.6914,20.2537487993,255.871789352,2.13180598833,508.73465188,2.12917,105.840838284,238.896162499,-2.26962,2.12975116255,196.317423526,46,46,944.750298708,199.793954,26.934,0.936872,0.0774379243369,2.13288
0.0216493,1.78543125716,24.0087,-6.989696758,102.787421052,2.14816304009,190.664467488,2.1454,-305.613138492,-32.4310782141,-2.29007,2.14596348299,107.601180311,47,47,255.16149193,68.3714512813,27.2069,0.960869,0.0777539743882,2.14933
0.0218017,65.867490903,24.3488,-35.7033534681,132.155030788,2.16658906221,449.186678797,2.16344,-27.298414888,400.492929694,-2.29967,2.16396040277,336.331287215,48,48,882.596825528,189.276785025,27.4924,0.934493,0.0786986377819,2.16779
0.0210797,76.7635060613,24.6178,5.57250841357,114.411742285,2.18995725327,281.723583509,2.18676,62.0227690395,491.867039689,-2.32369,2.18748782888,260.954923043,49,49,925.214902591,107.890446724,27.7612,0.94773,0.0767246572894,2.19074
0.0227117,61.1849064171,24.9296,58.8012131955,191.622109455,2.19409106875,324.34885105,2.19078,-30.1533524879,294.877560081,-2.32082,2.19144132816,328.085255927,50,50,951.14618506,99.9292584873,28.019,0.912053,0.07863543193,2.19514
0.0238832,45.8117102908,25.2777,67.4434176631,143.199255503,2.20966774784,334.661618115,2.20646,-36.0827004839,115.947894732,-2.34205,2.20679741104,126.229790263,51,51,457.802492726,99.097633505,28.3716,0.955644,0.0792089046218,2.21095
0.023975,53.4335515917,25.6229,6.16875333183,175.157836412,2.24819927722,297.500249093,2.24475,-31.6976950964,129.251607956,-2.37717,2.2453638669,122.724433559,52,52,395.009482858,92.1372201602,28.6296,0.95534,0.0800758813121,2.24922
0.0230501,45.5679492088,25.8828,-27.3348101678,90.3642970635,2.25409480882,212.220562785,2.25065,-46.1077500491,125.618503709,-2.37802,2.25130012088,105.64761166,53,53,500.77147697,97.2240712255,28.9012,0.960156,0.0788592436795,2.25486
0.0272807,93.8324047932,26.1758,-77.311342887,27.762881745,2.26065015936,212.496803761,2.25763,47.9809649808,183.325050965,-2.38091,2.25808705443,62.4418166298,54,54,419.935294748,82.0910472146,29.1505,0.956933,0.0815323615496,2.26188
0.0241198,74.0615982391,26.465,5.60775867112,131.181696222,2.26510325248,273.533407367,2.26186,84.8307135319,496.677479498,-2.38712,2.26230004264,364.201357093,55,55,942.949528168,90.0855241507,29.4027,0.893982,0.079458839912,2.26616
0.0252214,71.4233568419,26.7616,-10.7541213018,70.4608909113,2.27790631098,203.732996555,2.27477,-14.136144503,263.813017614,-2.40068,2.27543443017,305.513142109,56,56,980.179615587,64.8967167924,29.5971,0.903075,0.0799905508237,2.2788
0.0276301,87.8469990902,27.0468,1.87542990596,74.5292807169,2.30080209962,240.995953819,2.2975,20.9990312922,368.044515618,-2.42803,2.29799456291,345.458795802,57,57,957.298696531,82.4541204271,29.8607,0.889144,0.0820718725745,2.30184
0.0251783,53.018396527,27.3594,-8.55230101335,77.8190866632,2.31357682899,235.930496218,2.31064,-120.204601415,94.9305070571,-2.43988,2.31121338545,82.8586003767,58,58,344.482473743,79.2912961664,30.1026,0.954699,0.0823665524304,2.31478
