AverageDiscountedReturn,AverageQLoss,StdReturn,AverageAction,AverageY,MinForwardProgress,AverageAbsY,AverageReturn,PolicyRegParamNorm,AverageAbsQYDiff,AverageEsReturn,MaxReturn,MaxEsReturn,StdForwardProgress,MinEsReturn,StdEsReturn,MaxForwardProgress,QFunRegParamNorm,MinReturn,AverageQ,AveragePolicySurr,AverageAbsQ,Epoch,AverageForwardProgress
2.95914639841,0.000172579,0.389459337454,0.622671,0.0100942181256,-0.0243270276336,0.0138327886521,2.98903306206,9.04278,0.0105607788292,25.5717487227,4.55510540227,63.7860076351,0.00529126414995,0.998488241063,10.4364219992,0.0188244269631,7.96971,1.68931178599,0.0128261,-0.0119617,0.0128261,9,0.000129800760655
3.02502675161,8.38148e-05,0.338081926861,0.994459,0.030874536477,-0.0218746935001,0.0311660028538,3.05622275216,9.48343,0.0057609964935,3.07896258274,4.26629875848,16.0023022646,0.00516269683691,2.12918528633,0.786088085756,0.0179112353328,8.47215,1.65493846691,0.0308575,-0.0324412,0.0308667,10,0.000181355626227
7.17849407669,5.85605e-05,1.15689904006,0.996809,0.0457464577218,-0.0757601298385,0.0457475201677,7.44005281396,9.58336,0.00486220561103,3.78992113113,13.5884177995,11.0267361114,0.0132179138848,2.06553976316,1.71606883924,0.0281707825498,8.8365,4.45008567552,0.045731,-0.0476929,0.0457313,11,-0.0192507889491
13.6214019238,5.59939e-05,4.21182521797,0.999487,0.0497520791554,-0.0370436107847,0.0497520791554,14.6377576845,9.61829,0.00440684271185,10.750488249,29.6870297707,24.8626821185,0.0231511099307,4.3798658174,5.0477639213,0.107294868575,9.1983,6.32880517583,0.049718,-0.0555025,0.0497241,12,0.0209881142582
17.0708301859,8.30076e-05,6.75067292554,0.924418,0.0634121904644,-0.209936216692,0.0634121904644,18.6700827224,9.53475,0.00504774952968,11.6122093293,38.4704310349,77.8211717853,0.0457827993247,4.65372051305,8.61333736513,0.186921716829,9.50225,7.55491061015,0.0633596,-0.0672136,0.0633654,13,0.0497236638323
7.14042571121,7.70383e-05,1.13584132707,0.999255,0.0714422671581,-0.0766803091369,0.0714422743706,7.40022071614,9.80158,0.00490226120815,9.78901434502,12.4361524533,34.0350835611,0.0137704392854,4.78566846182,5.84122319832,0.0270807239965,9.79189,4.85372730836,0.0714197,-0.0756491,0.071423,14,-0.0199015342648
7.13877045357,7.78261e-05,1.17094947812,0.999886,0.0744758916914,-0.0678197171365,0.0744758916914,7.39817026039,9.88031,0.00490517508417,7.39006921239,15.0133947158,9.7501990912,0.0129423872501,4.38185474492,1.10882095785,0.0179823306451,10.0503,4.83946521415,0.0744682,-0.0748998,0.0744705,15,-0.0197335731033
7.18888183611,7.07616e-05,1.21451247323,0.999971,0.074612064984,-0.081730592767,0.0746123163777,7.45130151053,9.91406,0.00467043458962,7.54522163038,13.6629515049,14.036475212,0.0136874914191,4.84079876299,1.34362854787,0.0234201980887,10.3281,3.89344562362,0.0746035,-0.0749187,0.0746097,16,-0.0191933617615
7.19559029237,6.84037e-05,1.18393386791,0.99999,0.0735567864368,-0.0641987492362,0.0735586460838,7.45803884369,9.9316,0.00462964395323,7.55077802181,13.37728375,11.7570353368,0.0133940122324,5.30128421151,1.16250149016,0.0203819282544,10.6144,4.08905277113,0.0735411,-0.07265,0.0735508,17,-0.0191949444081
7.18621543291,9.05176e-05,1.16116277568,0.999993,0.0716141177803,-0.0728149507574,0.0716157386613,7.44820709899,9.93702,0.00533072322742,7.48385043076,12.2792206812,10.7725251716,0.0137996405491,5.3576813535,1.16740488807,0.0210788792881,10.8337,4.76909736887,0.0716184,-0.0706313,0.0716305,18,-0.0194351232872
