AverageEsReturn,MaxEsReturn,StdEsReturn,MaxReturn,MinReturn,AverageForwardProgress,Epoch,AverageAbsQYDiff,AverageQ,QFunRegParamNorm,AveragePolicySurr,AverageDiscountedReturn,PolicyRegParamNorm,MinForwardProgress,AverageAbsY,StdReturn,AverageY,StdForwardProgress,MaxForwardProgress,AverageReturn,AverageQLoss,AverageAbsQ,AverageAction,MinEsReturn
-3.53435473616,93.3538474751,29.4538009448,-39.3120557345,-88.0203491503,0.0616681136671,10,0.0194550906873,0.0761594,18.3471,-0.410402,-22.381973648,18.9212,-0.221323812136,0.0732101445156,10.620977046,0.070056643958,0.109718983854,0.301933660031,-62.0341301514,0.00526733,0.0862428,0.927091,-135.969793195
-89.2623147252,-60.2789087573,42.9163200841,-46.7794080613,-65.70220355,0.0930531784402,11,0.00560302310743,0.140925,18.5471,-0.111226,-15.6503406453,18.8877,-0.00727608500408,0.148751761304,4.65282996463,0.140876500685,0.044706394052,0.178193173947,-55.2691703919,0.000195198,0.148487,0.869463,-163.146122733
-28.3463004326,24.1148744181,40.53095346,-8.0774424786,-87.6930881356,0.2795546655,12,0.00616419905776,0.113032,18.8482,-0.116827,-10.2508425401,19.1232,-0.21490807791,0.127836907573,15.0488462601,0.113051955243,0.151884509035,0.587575423613,-38.6530458318,0.000216589,0.127402,0.946815,-69.8231774575
-33.4841522731,-11.5620198544,14.1481031801,-38.6861915118,-71.3221507944,0.0555492081467,13,0.00679102800523,0.0999722,19.2495,-0.0830827,-20.655603362,19.1753,-0.0326261118672,0.121226686965,5.55636433669,0.0999851051834,0.0608611052772,0.341361636028,-63.2447110667,0.000233309,0.120682,0.920845,-50.8555131393
-37.5713290323,-8.43646494025,23.7730793692,-7.30278225315,-67.4082596557,0.362634854777,14,0.00763389455498,0.0634451,19.6868,-0.0523065,-11.934523415,19.0045,-0.0276642571606,0.0958138717886,14.9813156206,0.0634591717522,0.149194938407,0.567018181524,-27.7387119537,0.000257821,0.0954154,0.968259,-72.6612972336
-39.3572365751,-16.1539792577,16.2521600617,-13.7449806264,-74.4930240335,0.249672439609,15,0.00863495677785,0.0295397,20.2021,-0.0152057,-10.9331649874,19.1753,-0.0690609283775,0.0720781842685,18.2317282924,0.0295323470293,0.176802976162,0.537758697689,-42.8005603802,0.000342161,0.0715365,0.921472,-59.4292483699
-53.9663181927,-36.0417757542,15.6062873158,-28.6486998732,-73.8986868088,0.0634080282958,16,0.0097496237411,0.0119471,20.739,-0.0110244,-19.5592594423,19.489,-0.057402261194,0.0659580498808,11.3816411785,0.0119430806174,0.111439398378,0.38961352871,-61.8551742609,0.000405385,0.0652211,0.910712,-75.6067966078
-56.2545366739,-23.2390980586,19.1659330364,-36.8521502991,-68.2258862425,0.089594406486,17,0.0111127980728,-0.00309129,21.2994,-0.000373755,-16.7616511978,19.6563,-0.00220638754337,0.0826590702242,6.19910541216,-0.00308571162502,0.0641135397021,0.319193039262,-59.5200097936,0.00049581,0.0818323,0.915044,-70.0878762643
-56.1918686772,-47.4407831888,5.15781052433,-38.8211765131,-54.0845674229,0.261103461693,18,0.0119758268314,-0.0170533,21.8722,0.0138729,-8.11148289351,19.9054,0.183163157554,0.100359794212,3.56286985581,-0.017061221585,0.0380240653781,0.346263023914,-46.6675386613,0.000559072,0.0995576,0.971769,-60.46778291
-44.4840738904,-25.1019990223,14.9208350565,-41.4269177011,-59.4702918367,0.208469389051,19,0.0129210819972,-0.0294152,22.4186,0.032769,-11.002792544,20.1973,0.0677513231879,0.120255221211,3.37977835369,-0.0294450101095,0.0433957592249,0.302048310906,-49.7009587288,0.00066817,0.119373,0.942529,-67.0564724445
-45.1996880575,-27.8842287197,12.9680139947,-31.1288949162,-76.5188332164,0.163433655551,20,0.0134460517469,-0.0437038,22.9502,0.043144,-9.89632942574,20.3218,-0.105830693893,0.142013008744,10.1949256213,-0.0436952686559,0.103697168727,0.354671951883,-50.2999209232,0.000719278,0.141202,0.898966,-64.1140926263
-68.7879539563,-55.2615132363,12.4216557331,-58.462066783,-92.3618350073,0.00855931232082,21,0.0147971802526,-0.0591852,23.4968,0.0606884,-26.1991617021,20.4893,-0.190942243943,0.16179777611,8.35604857492,-0.0591730567305,0.0859480588221,0.158634542704,-73.1314066776,0.000845975,0.160827,0.990816,-87.9413474072
-60.6486788827,-44.2028058883,12.4730342274,-48.443593715,-68.6949572998,0.152360015551,22,0.015960830381,-0.0742203,23.9759,0.0626789,-17.3178070336,20.6324,0.0436102205105,0.183168109651,5.23794033462,-0.0742022801161,0.0546990521772,0.246025442052,-56.8203205164,0.00099787,0.182164,0.965958,-78.259765183
-59.5655493056,-53.6743954888,4.96344855993,-51.280694467,-70.6095339774,0.0992271748152,23,0.0172800651474,-0.0847871,24.5524,0.0816988,-17.3704629747,20.9104,-0.0278549177907,0.19756143457,4.26083207448,-0.0848458764431,0.0439240019871,0.169778414873,-58.5687220033,0.00115792,0.196375,0.918723,-66.9549693014
-86.7753252229,-62.0378303946,21.4153184291,-42.6973034042,-71.8665090748,0.136885099205,24,0.0183866287823,-0.0957852,25.0985,0.0767493,-19.8925674344,20.9806,-0.00976781239092,0.215222622085,6.19781926401,-0.0958100352041,0.0638368365163,0.283941473245,-58.061089926,0.00129062,0.2138,0.963745,-108.983917927
-62.55968018,-53.6675380606,8.50784414513,-28.1375730759,-67.2258219744,0.256236442062,25,0.0194102437391,-0.0925862,25.6245,0.0700918,-8.85298839035,21.0891,0.0472824056376,0.221146576093,10.0028631321,-0.0926493605521,0.103128732408,0.458045592673,-47.7219601714,0.00141089,0.219638,0.983725,-76.1747205851
-45.3617456129,-6.45116387803,27.4088499396,73.5766239721,-71.0232601534,0.807833263197,26,0.02155784318,-0.0875854,26.1776,0.0657715,9.8124423195,21.1827,-0.0297910595438,0.224981688617,27.0596344311,-0.0877323466231,0.273214729825,1.4158916863,12.3754908962,0.00176539,0.223375,0.953119,-83.8695231894
34.2895330358,111.415053293,54.6413816861,102.548478755,-46.3866124987,0.904387388772,27,0.0245320668851,-0.0657989,26.8182,0.0319034,16.785644882,21.2726,0.187028051195,0.230773677473,36.9194942806,-0.0658249952275,0.366551503538,1.69883024599,24.6188358845,0.00226646,0.229129,0.920916,-38.4769100559
24.05193845,47.3197437568,18.2491723953,100.281564251,-54.3910142003,0.741496812875,28,0.0286059611563,-0.0339458,27.4398,-0.00126095,17.9727783805,21.4033,0.107656859781,0.240628132617,36.8497524259,-0.0339615927837,0.379397422537,1.68175955297,9.11389590962,0.00317705,0.238438,0.931572,-0.0240854304058
-28.2716849318,44.0806124234,42.3794293278,92.5416867706,-72.6287043134,0.522751105008,29,0.0310253917967,-0.0173543,28.0036,-0.0235638,-3.43077662517,21.4687,-0.0843259356315,0.264084349784,36.4295165669,-0.0173483077646,0.358855099204,1.57718823009,-11.8905740184,0.0036807,0.261552,0.928417,-63.9433538405
-5.89122206115,93.9177581514,57.914472806,-27.8940002296,-60.4011699309,0.231806397825,30,0.0306852703554,0.0140516,28.4673,-0.0678956,-11.6365556077,21.5788,0.0651856358572,0.263539925187,8.80506327567,0.0140795909217,0.0837867454919,0.378959640545,-43.1888356715,0.0036505,0.260834,0.888116,-48.1047886333
-38.3193753029,30.6938315548,40.3051477267,45.6878720693,-69.4315232341,0.359851826416,31,0.0326823500187,0.0457016,28.9729,-0.0842484,-8.80810614102,21.7607,0.0447263876364,0.269818643433,22.3807860479,0.0457811115063,0.211113650509,1.13410691789,-35.4215868669,0.0040066,0.266706,0.967587,-70.8493980755
-54.372265825,-46.8959350669,6.6920039263,-30.3510337963,-97.1850958583,0.0880349330811,32,0.0335489466401,0.0700375,29.4857,-0.10012,-23.3749196389,21.8999,-0.260115057299,0.276667447483,15.3979926333,0.0700473653707,0.144624516063,0.380879802856,-62.1762565834,0.00426668,0.273683,0.95641,-64.2221430978
-22.8704872855,16.7231171642,26.9758003298,27.6337577057,-67.0310782588,0.340991850283,33,0.0342418757847,0.0771205,29.9729,-0.095385,-8.54705888702,22.0542,0.0116364078009,0.294843610942,17.3861509905,0.0770578527934,0.171567362955,0.929474884857,-33.0863181286,0.00449015,0.291881,0.912401,-56.7740227784
-17.4290980833,21.4904690526,37.9269753446,54.7925020274,-112.739133338,0.363436714583,34,0.0354920864866,0.0907845,30.4003,-0.112564,-3.22394251461,22.2683,-0.47302017588,0.31288636097,27.1483789438,0.0907917566942,0.266122817665,1.1908460408,-31.4958665205,0.00480544,0.30955,0.94021,-67.3614835529
-18.9587787187,2.99656678196,16.8121294754,25.5812023956,-70.9700777671,0.382069306251,35,0.0366234447163,0.099721,30.826,-0.127916,-2.15257119465,22.4769,-0.00593193624864,0.322204604565,21.7580755671,0.099670427626,0.218817473755,0.955126544187,-32.6049759527,0.00528644,0.318673,0.958456,-44.1049165126
-27.2731072616,-12.9357081294,14.5840889648,29.441116002,-92.3356326872,0.306978677176,36,0.036825549742,0.112691,31.2288,-0.137503,-10.6491291671,22.5666,-0.233351518235,0.326193228347,37.9082346806,0.112595362079,0.380170326385,0.982156795435,-37.9587468129,0.00513849,0.322698,0.926164,-51.6074655057
-38.0924106572,1.46503249669,28.0767018232,15.0493681454,-63.0132544488,0.434337989564,37,0.0374737768573,0.124107,31.6498,-0.149359,-3.07145181847,22.5908,0.020666533655,0.327713963907,28.9848022927,0.124009434651,0.313033702094,0.84075816673,-22.71606173,0.00533802,0.324342,0.887722,-65.6328540825
-17.5607579107,9.25758036293,25.6108526075,7.87130868718,-16.1266687878,0.595693841796,38,0.0380370134119,0.14242,32.0402,-0.17748,8.21961292308,22.8161,0.485917019144,0.341366280788,5.58815216534,0.142309191489,0.0578116639278,0.732160285593,-5.19888153987,0.00547951,0.338247,0.868768,-59.7800513212
-8.3697198455,0.323062500231,10.2106395456,28.8748373753,-31.427432576,0.727463250757,39,0.0388205930034,0.163042,32.368,-0.194383,11.1881939127,22.9185,0.342275384077,0.363562968648,12.6537118123,0.163046623401,0.126613230688,0.945953330156,6.9551960993,0.00543165,0.360441,0.900107,-25.2294545868
21.7993584717,44.271695413,22.2557839295,145.920707601,-45.6594784062,1.26463977932,40,0.0409137588212,0.190446,32.7909,-0.221486,23.1714640926,23.0454,0.17280634128,0.38456096039,46.4931228351,0.190298844012,0.461275724939,2.06426738214,65.5829352819,0.00595524,0.381596,0.933679,-7.78155335194
68.285215079,126.196388629,41.8775180595,138.117381499,-28.6083970423,1.04792856492,41,0.0437138038984,0.222103,33.1649,-0.264109,16.9833168337,23.155,0.345252628579,0.40878932291,42.3920222958,0.222157956665,0.421028810605,2.01573443942,42.2747836785,0.0066517,0.405078,0.911774,9.15374831679
71.68725649,118.549446889,35.6148928484,375.026088722,-119.674276094,1.77294045314,42,0.0464379723026,0.272295,33.568,-0.322414,33.1414824365,23.2576,-0.623986063802,0.435795537011,128.001391697,0.272281062375,1.25900165072,4.26171478617,123.493321434,0.00751648,0.43214,0.917995,36.6902023279
190.191494872,249.224481086,49.1174026867,214.175632383,-124.059366501,0.857221869408,43,0.0510857492294,0.333281,33.9421,-0.377157,3.98538413837,23.335,-0.666113795306,0.47724046784,66.6362094423,0.333232061433,0.661492725368,2.68043186938,29.0406709331,0.00956562,0.473462,0.923016,141.033824578
135.640315166,196.312157015,80.0398597067,236.814358801,-60.3833280997,1.42647754469,44,0.0524829565576,0.390945,34.3123,-0.429968,25.6590741378,23.4912,-0.0526401569414,0.527442232178,80.9082918427,0.39119641907,0.810422282081,2.93269353264,86.4246994646,0.0101832,0.523682,0.920994,-2.02467861358
153.901571993,208.675108737,79.9578095512,194.158235245,-36.6591861055,1.53422383941,45,0.0540485422406,0.444414,34.6969,-0.488427,26.5776768598,23.6198,0.218461606627,0.573148456837,51.9022733597,0.44433902145,0.513991876295,2.5106184519,95.5424223077,0.0105145,0.569769,0.930857,16.6486911239
40.6367909839,135.496273262,69.8979701354,288.398993817,28.7847832538,2.01355777151,46,0.0554883466694,0.492178,35.0715,-0.52112,48.308907998,23.6953,0.890243348396,0.604501328109,59.3113488495,0.492342577348,0.591343709608,3.47881574909,141.885813163,0.0112215,0.601418,0.917691,-61.8281075065
92.0566053417,151.028392156,39.314323868,194.422872748,-42.6835388633,1.68186217616,47,0.0582926787457,0.520084,35.4876,-0.548279,37.0457489096,23.7602,0.189100256354,0.628806330522,45.9593247911,0.520039849929,0.456246879577,2.52742428429,108.403987854,0.0121046,0.625182,0.934218,45.3570102616
87.739426774,124.215721606,34.0872458926,279.546830117,-9.83685365507,2.06671211175,48,0.057999930271,0.554953,35.8758,-0.582276,57.4895770471,23.841,0.503500993946,0.66256366171,56.5061112236,0.554968294836,0.562896612917,3.41135981269,146.349847552,0.0115627,0.659274,0.947089,33.0058693493
118.370005488,195.982269294,66.2404208671,235.295153533,-60.5004044615,2.15840953037,49,0.0608166393545,0.593885,36.2153,-0.626468,59.3872474681,23.9689,0.0145909146046,0.702076183261,64.7053135656,0.594049937731,0.644173250298,2.94360625321,155.243461195,0.013051,0.698539,0.956778,13.5870655498
100.325026152,212.74285908,111.176808463,218.45825244,-0.113797950044,1.863837949,50,0.0631672053481,0.622015,36.5968,-0.642979,47.5706792172,24.1561,0.624963788513,0.730240867409,43.5821832868,0.622261530703,0.437785314294,2.76008934063,122.146101044,0.0139894,0.726812,0.94128,-84.195695267
159.057238133,189.107215999,28.2035106018,184.449525476,32.5171883361,1.63144974758,51,0.0673925986292,0.66284,37.0074,-0.696273,36.6734265872,24.3433,0.978105655496,0.769239580646,37.9147246254,0.662753580466,0.372330154924,2.46459365977,98.6015908516,0.0154223,0.76565,0.928198,113.222665325
168.780366808,308.911485599,86.6660958208,287.234049178,105.109645964,2.56438404908,52,0.067817269054,0.715795,37.3279,-0.754727,56.1658352354,24.4317,1.68741721805,0.824234003894,52.0860386031,0.715833430261,0.517615557297,3.48986356142,193.012836654,0.0159095,0.820955,0.94424,71.5504024613
189.024326585,294.297652942,68.2728346485,309.253534116,58.2592528996,2.33819309671,53,0.0717825578738,0.784501,37.6734,-0.824271,44.7919712803,24.5309,1.23264476269,0.895812237009,60.961539761,0.784619443252,0.609502323995,3.70635716248,170.907942474,0.0184774,0.892642,0.933189,105.85666113
157.447637533,208.476366761,51.9145621624,375.689287513,96.7134253875,3.05393937192,54,0.0740236006694,0.856564,38.0219,-0.905582,65.4999939006,24.6741,1.57950391551,0.965172541488,64.6337141875,0.856397017257,0.644617845859,4.37033913411,243.74736137,0.0186884,0.962033,0.944124,75.4795596717
92.5903364873,185.9610347,70.1146654796,265.011676749,14.439306181,1.61212026245,55,0.0776043571221,0.925799,38.349,-0.976814,38.6632857379,24.8235,0.793137408055,1.02933476799,62.1480255889,0.926025923049,0.621036000848,3.28933961702,95.8035154921,0.0207147,1.02612,0.92217,5.30890821298
34.6638052135,277.630931882,140.701291572,209.408686149,-31.5960307218,1.71512004153,56,0.0797627660271,0.991345,38.7146,-1.04384,43.2863441857,24.8964,0.376391861065,1.08917660028,53.750718626,0.991370702426,0.53591629595,2.73508449427,104.422096621,0.0218273,1.08589,0.927089,-61.900545018
53.0684253823,168.012023122,68.7303705479,361.74571995,15.2626460892,2.67017267384,57,0.081149386256,1.02913,39.0447,-1.07023,57.2817635777,24.9435,0.76834445372,1.12596377106,87.274966635,1.0291148121,0.874228027309,4.23361127222,205.793994295,0.0222047,1.1223,0.943542,-13.958454331
254.422249401,294.038015405,27.7632123022,305.535990267,-42.3797579379,2.3249875416,58,0.0838835982475,1.09908,39.3493,-1.1383,43.2191493092,25.0394,0.174184937514,1.19158127573,86.8859840261,1.09909229033,0.879305625906,3.67675612808,171.390983919,0.0241234,1.18826,0.955048,217.879346842
148.681954835,257.344791174,85.6177116826,265.183505266,-62.535038293,2.17849042193,59,0.0870230058431,1.16176,39.6248,-1.20079,54.7929147262,25.0858,-0.0443463118389,1.25067761187,92.7249384997,1.16188431868,0.937611212158,3.27237877222,156.743664281,0.0264075,1.24709,0.948302,49.5623580206
194.86922914,280.93391501,84.3393756833,258.571882657,3.60241914707,2.10455392408,60,0.0890479110835,1.24098,39.9964,-1.27858,51.0111820025,25.114,0.629434628067,1.32124374442,64.4327902077,1.24115271462,0.653118528625,3.22165921792,149.409818119,0.0281867,1.31808,0.962201,97.6170355118
172.690469957,214.470240078,47.8632886142,247.543450617,28.673280673,2.43213857232,61,0.0901391479868,1.2987,40.3266,-1.33624,58.380669838,25.1981,0.88552386235,1.37369728886,54.8051609331,1.29870989836,0.55356874891,3.10375564275,181.70027628,0.0278484,1.37074,0.954848,94.7292300264
160.674242977,212.395692677,29.8907727197,201.875413809,36.5395655497,2.11131541901,62,0.0905177102575,1.35692,40.6067,-1.39435,42.0907115087,25.2645,1.00910870994,1.42514537591,41.3042625552,1.35696381263,0.419359716644,2.66067669005,147.728913067,0.0276993,1.42267,0.966297,141.271423552
67.2534897419,177.75364492,110.547645151,219.948333105,34.8065545993,1.94685820863,63,0.0934182645944,1.40351,40.9308,-1.44863,34.3671323034,25.3263,0.97539310897,1.47032140189,40.9422419481,1.40372672789,0.422632393531,2.82139881432,131.597574059,0.0292184,1.46766,0.964239,-113.415631101
97.4211628695,158.152953974,61.2078113761,245.644569388,65.1186139151,2.02306713803,64,0.0955467526639,1.45278,41.2263,-1.50735,42.5724941559,25.3964,1.24254535417,1.52071608283,45.6085037163,1.45291907667,0.465129639872,3.08761282111,140.4672122,0.0295854,1.51819,0.961728,4.78307298348
191.624600934,279.106891678,58.9025844328,330.062512843,23.1103581314,2.86945742446,65,0.101339084958,1.54234,41.5338,-1.59398,68.7547099253,25.5051,0.838764844023,1.60303651936,61.1655619917,1.5425992595,0.6218954102,3.95559329004,224.770635914,0.0338625,1.60009,0.96846,115.734756449
224.389229495,302.732238149,57.0709297904,311.98375627,-31.2341724133,2.50033256791,66,0.099791497605,1.60169,41.822,-1.64882,50.8269665804,25.5657,0.227030658473,1.66177741657,72.7548161642,1.60203610437,0.736201208713,3.67486271341,195.205171846,0.0322728,1.65896,0.955227,157.188016798
192.74918816,273.388267392,74.7866038703,342.793540399,32.7350989398,2.7499544061,67,0.102388721921,1.68537,42.1465,-1.73686,61.6710318437,25.6192,0.837202038723,1.73796728377,91.5163850596,1.68561988443,0.921577789998,4.01777409045,220.035109559,0.0332991,1.73549,0.968828,110.298054096
174.593072616,289.463907146,103.034199671,330.912300427,-145.051776234,2.36168213599,68,0.105123816527,1.78599,42.4044,-1.84046,50.4716785464,25.6967,-0.89175094932,1.83679450985,122.21014472,1.78599210212,1.21398025824,3.87487830106,180.040593774,0.0345629,1.8344,0.96952,14.1779248567
213.714377034,355.717953392,211.589987428,414.00976933,-155.63961246,2.73762505095,69,0.108638036366,1.86462,42.7315,-1.92079,62.6247633706,25.7883,-0.947808994264,1.91598207376,142.809446281,1.86489131017,1.42974385673,4.74219496457,213.56926346,0.0367757,1.91382,0.966888,-152.009747734
255.17919186,330.156685241,113.792569441,444.723272965,92.1532122759,3.43017237087,70,0.113219216783,1.93637,42.999,-1.98851,81.86953837,25.8625,1.49671802855,1.99127106392,95.2243815202,1.93681699883,0.95510219975,5.0429236654,284.332456103,0.04198,1.98871,0.966343,58.3696540326
255.212272349,317.010692105,55.2079469207,396.952681945,-74.535956648,2.61011184297,71,0.11352028796,2.01781,43.2864,-2.06919,59.9467156799,25.8958,-0.155075625069,2.06860958518,118.810930892,2.01793023799,1.19391247691,4.55554594244,200.679824086,0.0410292,2.06605,0.966957,190.36523823
127.464337964,316.58779054,163.630126454,455.705669204,-83.868993722,2.7265938598,72,0.118559651585,2.08097,43.5873,-2.13246,64.1814442151,25.9604,-0.244503186846,2.13360745489,142.004258069,2.08087317234,1.42679822758,5.1638213459,211.536806822,0.0447638,2.13091,0.964375,-132.225465172
152.416218714,376.564380605,153.346610741,499.999462024,-259.473758538,3.04488274833,73,0.118576865132,2.1478,43.855,-2.21173,71.6434505547,26.0259,-2.01207331266,2.20441103338,184.319002133,2.14854655246,1.85376310311,5.59637021004,246.41165107,0.0450051,2.20127,0.971492,-7.5835831832
240.244192946,405.617974961,98.3940796061,438.286035266,-1.42215042391,2.66157058101,74,0.118528487965,2.23673,44.1099,-2.29246,60.9888068429,26.1451,0.55624522588,2.28900223827,115.514465441,2.23686184592,1.16733412642,4.99737167842,207.629975459,0.044327,2.28588,0.96595,149.67712333
151.78466124,353.615083931,143.747904898,389.699663557,-51.6954893241,2.63853496833,75,0.121211765912,2.317,44.3694,-2.37685,57.1162552489,26.2903,0.130036045388,2.3692989967,112.07828206,2.31713750245,1.12841038496,4.47716391364,207.471207232,0.0450802,2.36673,0.969256,-9.78458807037
375.508128673,404.348726229,28.2719380868,425.485314032,19.3578302707,2.88403358522,76,0.122977282839,2.42923,44.5817,-2.48914,62.6412880905,26.4308,0.748971862083,2.47712083414,113.259689487,2.42934244136,1.13762037241,4.843539532,231.534170236,0.0468852,2.47529,0.975948,330.591002731
171.358425373,318.481090806,151.706957811,492.034735774,21.7628936713,3.18009140645,77,0.128700726955,2.51808,44.8843,-2.57794,72.3155792929,26.5103,0.69537420773,2.56721310329,140.718057487,2.51832591461,1.40463637364,5.51957299628,263.04345874,0.0528988,2.56431,0.981153,-80.4796319605
407.886553549,436.391338881,29.2487523561,476.183705413,90.338873343,3.843605387,78,0.126396857488,2.58982,45.1447,-2.64018,95.4610458529,26.5692,1.4589106001,2.64061486628,105.588223386,2.58987947246,1.04621494492,5.33974004193,328.986840383,0.0497802,2.63806,0.982384,368.278912018
257.183591979,419.899879738,156.395804687,448.107276528,87.8742661141,3.85428326464,79,0.129539385299,2.68737,45.4531,-2.75935,94.2732891666,26.6666,1.35403348051,2.73749899823,108.658452946,2.68778445564,1.08890907182,5.01270243518,331.724602671,0.051737,2.73493,0.987182,-0.0562181395655
