MinForwardProgress,AverageAbsQYDiff,StdEsReturn,AverageAbsQ,AverageQLoss,AverageEsReturn,AverageQ,AverageDiscountedReturn,MaxReturn,AverageReturn,MinReturn,MaxForwardProgress,AverageForwardProgress,AverageAbsY,AverageY,Epoch,StdReturn,AveragePolicySurr,StdForwardProgress,AverageAction,MaxEsReturn,QFunRegParamNorm,MinEsReturn,PolicyRegParamNorm
0.0575512712223,0.0157945047175,52.4262113696,0.0315327,0.000453698,-19.5733609562,0.0164824,-2.06713463997,-1.41018712115,-13.0684808221,-25.1028602215,0.335750401825,0.196802148663,0.0364804166178,0.0164304693983,10,6.03794938312,-0.0276106,0.0708461400932,0.438189,128.409067722,8.43234,-195.124956421,14.6556
-1.92237462171,0.0121090550965,31.3618178937,0.0493239,0.00026455,-71.6857585169,0.0214969,-54.7393018047,-97.8740099182,-182.285120352,-257.983416791,-0.318699922768,-1.16454629376,0.0507466284325,0.0215336892674,11,32.7034822283,-0.0363822,0.327808989465,0.946421,-42.3085953745,8.90983,-121.380454315,14.916
-1.8467960388,0.0138081130137,40.8000860299,0.066948,0.000360277,-56.7027164504,0.0234286,4.68119702157,113.850223698,2.09700172124,-237.883791915,1.61774972148,0.515039597829,0.0680993744348,0.0234466430824,12,86.7235040577,-0.036961,0.854757989996,0.846869,3.0426719552,9.40723,-108.417484519,15.1587
-1.89985325832,0.0168766612912,48.5000168055,0.0880619,0.000572367,7.70823295627,0.030392,-34.9335351012,38.8784970613,-81.778938968,-242.549965787,0.904918810201,-0.293292427237,0.0893986398796,0.0304285759192,13,73.0420780381,-0.0480028,0.723543007556,0.860737,61.3696547364,9.8606,-68.036292175,15.5131
-0.842520189454,0.0198305631672,73.0706855415,0.112134,0.000801133,16.3300844301,0.0415108,5.22841832946,74.2563169348,-13.5004039041,-139.280399883,1.2649059532,0.398783621841,0.113539220059,0.041523610037,14,56.8091033631,-0.0588358,0.564467824365,0.846349,104.027795248,10.2574,-97.919653805,15.8788
-0.293391984113,0.022390641727,39.7674829901,0.135809,0.00103331,39.634605902,0.0554056,12.9780145329,120.773885028,60.71412768,-75.4804418785,1.7413758433,1.14122161024,0.137595043127,0.0554681361361,15,52.2093516775,-0.074154,0.546341711918,0.7336,90.5969675823,10.6172,-21.0381374708,16.1576
0.565093297479,0.0255790812757,39.1615889854,0.16353,0.00137967,59.9781170822,0.0758081,18.6967506744,172.663335253,80.455850338,16.0987697288,2.14263670519,1.23553052768,0.165407830011,0.0758349318015,16,36.3013005293,-0.0971731,0.365255926178,0.617049,100.352614469,11.0301,-1.90847687495,16.4689
0.588014550672,0.0287478015818,39.7187208735,0.191631,0.0017724,38.4693128185,0.100551,18.6412075387,65.1698788596,34.1511983226,12.9685065568,1.06874886193,0.802762167262,0.193570390645,0.100612518211,17,10.8741142155,-0.124436,0.103182286504,0.62753,75.141042319,11.3976,-23.725955914,16.748
-0.00768412281185,0.0318599972671,61.5760049958,0.224682,0.00222681,27.7165418961,0.128095,23.1616828429,127.313621294,59.8257287868,-24.0731136044,1.74425872724,1.07629124946,0.227037845537,0.12818597747,18,33.5632976736,-0.153274,0.350254169352,0.654039,123.861631018,11.7426,-46.6804820035,17.041
0.387982863246,0.0350258988691,26.656090783,0.25945,0.00269332,59.0237813046,0.160852,18.1763289916,66.0684435378,8.57660843596,-20.2806373118,1.26943350756,0.672214947452,0.262070294743,0.160969495257,19,12.0445487351,-0.189009,0.124567962443,0.795948,101.080117552,12.0815,27.1175692652,17.3163
0.511601550946,0.0377884210741,38.8528221642,0.302543,0.00310251,81.1651830529,0.204413,20.8723714019,31.8373959011,15.2088666831,-13.1249044589,0.981076620551,0.804510144483,0.305179139811,0.204509890578,20,8.898454102,-0.233829,0.0928441462017,0.881527,118.627615052,12.3917,21.2609902806,17.5711
