Epoch,AverageQLoss,AverageY,AverageAbsY,StdForwardProgress,MinForwardProgress,StdReturn,AverageAbsQYDiff,StdEsReturn,MaxEsReturn,AverageForwardProgress,PolicyRegParamNorm,AverageQ,QFunRegParamNorm,MaxReturn,MinEsReturn,AverageAction,AverageEsReturn,MaxForwardProgress,AveragePolicySurr,AverageAbsQ,AverageReturn,MinReturn,AverageDiscountedReturn
9,0.000143937,-0.006023809945,0.0066811720617,0.0310299355934,-0.104254971062,3.96942197674,0.0107276462574,9.55779206644,44.6304240298,0.00114379344834,17.5831,0.00463887,17.0364,17.4635367166,-0.407940236076,0.999553,23.3632414568,0.0861506380856,-0.00376464,0.00463887,6.32459214915,-7.27987403242,5.39299981121
10,7.46353e-06,0.00200585505801,0.00312609061338,0.0737777148719,-0.277964005913,9.27696680256,0.00204374949295,8.02254636029,20.3210356969,-0.064526619955,17.5511,0.00200201,17.4042,24.2911221433,-13.4282976164,0.957216,5.64869462768,0.0863035203302,-0.00200291,0.00258869,4.61318230566,-22.4922723464,4.04706480562
11,3.65058e-06,0.00497891901162,0.00500785995938,0.0771021923116,-0.251677269428,9.86817994327,0.00149765257292,8.4367195095,26.2347677428,-0.0548597176703,17.5512,0.00497494,17.9622,28.740087878,-4.1756304895,0.957069,6.77859114414,0.129508466039,-0.00498063,0.00497494,5.75705704853,-18.3081873855,4.90787048076
12,4.14154e-06,0.00755713183981,0.00756915957875,0.0763264482099,-0.26192923314,10.3906514969,0.00159006228201,9.75455978553,27.8179167494,-0.0545379121915,17.5537,0.00755397,18.6458,52.2859683159,-7.78154280682,0.970053,8.37756775209,0.204759367632,-0.00756067,0.00755397,6.00231225966,-19.3226707798,4.82911539356
13,4.83871e-06,0.00998053813932,0.00998735634419,0.0833327408715,-0.35003639542,10.2399917859,0.00167856144588,8.70304402088,25.2552547818,-0.0682298499337,17.5537,0.00997587,19.3026,30.0171287456,-8.67840005531,0.969672,2.59075214493,0.145033135821,-0.00998399,0.00997587,4.13515357386,-27.9242103539,3.83500283393
14,5.86669e-06,0.0121729577969,0.0121792385208,0.0756026663343,-0.280513889874,9.29865745619,0.00179449789874,10.3020356542,29.4319632666,-0.0785420700711,17.5537,0.0121677,19.9127,39.1133930061,-17.0938274083,0.96973,7.54320568893,0.185287499715,-0.0121788,0.0121677,2.99536043006,-20.0276424579,3.05890226549
15,7.07787e-06,0.0142091673727,0.0142173712146,0.0787434678006,-0.303992956064,10.1087186004,0.00189085973489,7.53182777538,13.2177457089,-0.0653605337005,17.5537,0.0141994,20.3268,33.5723481851,-13.2032020897,0.969757,1.93225729865,0.150290924366,-0.0142136,0.0141994,4.35153246268,-19.9269450373,3.99546746782
16,8.01945e-06,0.0161122614472,0.0161217994198,0.0919206185619,-0.325554429405,11.5224544251,0.00195576559474,10.8163337829,28.8733026116,-0.0654334084483,17.5537,0.0160972,20.749,36.3475334679,-7.86283145444,0.9696,6.89551671819,0.169627338785,-0.0161121,0.0160972,4.45100549925,-27.1933135696,4.09996449276
17,9.27533e-06,0.0178660553426,0.0178789849197,0.0793369790506,-0.221183626698,10.0650346969,0.00202980166465,9.45246148537,12.0470048251,-0.0583450600547,17.5537,0.0178494,21.0944,35.4092888513,-21.3287681816,0.969787,0.921296247557,0.176584885194,-0.0178661,0.0178494,5.23428443075,-15.5069357183,4.6228398663
18,1.04654e-05,0.0194832645299,0.0194955497145,0.0803257693341,-0.244844762122,10.1812192398,0.00209298120911,6.53846997637,19.4869614046,-0.0699011491547,17.5537,0.0194639,21.2765,30.9852052851,-2.35514943398,0.969298,6.66541855319,0.118790085494,-0.0194821,0.0194639,4.28424916422,-16.7168357746,3.96620875891
19,1.12416e-05,0.0210769729209,0.0210872021978,0.0769319574126,-0.251945164863,9.78072880842,0.00212066611961,12.2488769901,28.0118458336,-0.0574157008043,17.5537,0.0210534,21.7487,36.0323552447,-15.0873194836,0.969846,7.27109754441,0.161927366677,-0.0210731,0.0210534,5.55638551576,-20.8345123261,4.72954775582
20,1.30545e-05,0.0224887959754,0.0225008932956,0.079004399503,-0.286392221408,9.72280969674,0.00220407166382,10.7280261499,26.4890275162,-0.0583362994283,17.5537,0.0224589,21.9998,34.7342040207,-9.05014191669,0.969905,4.47841485587,0.170844071663,-0.02248,0.0224589,5.43914400333,-21.6550935592,4.63608090154
21,1.41566e-05,0.0238529511123,0.0238662562622,0.0755560501396,-0.234035485937,9.77578914993,0.00224375908747,8.33190057269,24.8140529465,-0.0518750507352,17.5537,0.0238163,22.1539,34.7638758235,-8.64718706503,0.970294,9.88477327867,0.160328842976,-0.0238396,0.0238163,6.20959591328,-15.1039270378,5.03121175111
22,1.50535e-05,0.025192988114,0.0252060649012,0.0795486399061,-0.255339994804,10.1185865045,0.00226288274337,8.86012968221,19.2845356334,-0.0539694704698,17.5537,0.0251549,22.526,29.6662845555,-11.724991646,0.970222,3.36621810662,0.121745512777,-0.0251784,0.0251549,5.91562511798,-19.0960139084,4.81034785479
23,1.67552e-05,0.0263151835673,0.0263296111106,0.081286789944,-0.329909215401,10.6739084603,0.00233058351531,8.84163011262,23.3338742664,-0.0605143001031,17.5537,0.0262709,22.8203,36.4293936588,-10.5159782828,0.970213,4.03921512905,0.153091198133,-0.0262958,0.0262709,5.13997219317,-30.7420372787,4.39211666231
24,1.73083e-05,0.027464765005,0.0274801740088,0.086922329647,-0.301686935569,11.0912330747,0.0023348857967,9.64454491658,32.6813066614,-0.0618629222871,17.5537,0.0274189,22.9932,28.4080459918,-3.97374319431,0.969781,7.25916393615,0.101878986308,-0.0274447,0.0274189,5.16882464249,-23.1076042881,4.49710977401
25,1.85439e-05,0.0285597558032,0.0285759357299,0.0866989407693,-0.301224237236,10.9755422374,0.00236888798464,13.9092720496,25.2175739066,-0.0589155558197,17.5537,0.0285068,23.248,33.0256625715,-15.1876418108,0.96973,3.55984419611,0.139692260647,-0.0285334,0.0285068,5.58752303382,-23.9739404704,4.7651202418
26,2.04829e-05,0.0295233734796,0.0295415207285,0.0805114972923,-0.297595286648,10.162552492,0.00244452432074,11.6452691069,39.017029816,-0.0559516512402,17.5537,0.0294686,23.2772,31.2665947738,-15.620076475,0.969478,9.41482125671,0.128496946252,-0.0294964,0.0294686,6.26535264653,-19.4407858799,5.18799062141
27,2.11688e-05,0.0304760940611,0.0304926872696,0.0866825879664,-0.385657768442,11.0955009733,0.00244311970221,8.23614650539,15.952671819,-0.0689369824176,17.5537,0.0304159,23.5372,28.6383048892,-10.6576660647,0.969848,4.823303115,0.118317189666,-0.0304445,0.0304159,4.34252563076,-34.5890627453,3.79809118565
28,2.22314e-05,0.0313740315289,0.031390593911,0.0794353972975,-0.251876121972,10.2024477678,0.00248246318469,10.8034145733,29.504120051,-0.05465177452,17.5537,0.0313032,23.7067,25.8948941664,-10.8199029807,0.970327,5.24983982623,0.0880138267875,-0.0313328,0.0313032,5.89483864232,-20.9003947111,5.01498992451
29,2.37361e-05,0.0321962631322,0.0322129683913,0.0822905375807,-0.303029801154,10.3880802979,0.00252508031768,9.32817223552,20.3435951027,-0.0596651247819,17.5537,0.032127,23.9999,31.1581390321,-13.3316861299,0.969744,4.67932363831,0.133299838421,-0.0321575,0.032127,5.12864459878,-24.4646321894,4.45594915414
30,2.42599e-05,0.032964630787,0.0329820013383,0.0801468829516,-0.32851229041,10.3493939703,0.00252630521421,6.39483206919,11.0896531919,-0.0554761195315,17.5537,0.0328891,24.1259,32.9058134905,-7.99632194665,0.970051,2.46216219318,0.138002906593,-0.0329201,0.0328891,5.78827688703,-27.3198031824,4.83762626918
31,2.56738e-05,0.0336594024639,0.0336789476858,0.0828380725138,-0.27603555072,10.6370496667,0.00257541716976,10.9603361671,25.8550462658,-0.071446654062,17.5537,0.0335766,24.2689,31.6797169697,-16.9116889463,0.969448,1.28151358723,0.108693605292,-0.0336087,0.0335766,3.8901607304,-22.5599991096,3.79693945839
32,2.60925e-05,0.0343314320984,0.0343530770447,0.0893444010116,-0.321358532012,11.2110388221,0.00257361120537,9.40209448955,23.6660050975,-0.0772731010271,17.5537,0.0342467,24.4561,31.6148478032,-7.02027847486,0.96962,7.27707308281,0.1356758463,-0.0342797,0.0342467,3.25806526001,-25.5871714304,3.25400998662
33,2.68731e-05,0.0350069117231,0.0350221937363,0.0819542897057,-0.28311231216,10.4288685281,0.00259529655116,12.4083089365,48.4032687771,-0.0512347189768,17.5537,0.0349187,24.5241,34.0686342894,-5.72108609369,0.969952,12.0123904013,0.141910008844,-0.0349524,0.0349187,6.24568275153,-20.3827233167,5.18042681724
