AverageDiscountedReturn,StdReturn,AverageY,MinForwardProgress,AverageQLoss,MaxForwardProgress,Epoch,MinEsReturn,PolicyRegParamNorm,StdForwardProgress,AverageEsReturn,AverageAbsQ,AverageForwardProgress,MinReturn,AverageReturn,AverageAbsQYDiff,AveragePolicySurr,MaxEsReturn,AverageQ,MaxReturn,StdEsReturn,AverageAction,QFunRegParamNorm,AverageAbsY
5.40848514882,4.0310512558,0.0050675423439,-0.100436494138,8.87333e+07,0.0818332053582,9,0.194025639676,13.4801,0.0313773036342,27.8912648406,8268.75,0.000288088924601,-6.61566567097,6.37193644284,8268.74853735,-8256.84,50.436777136,8268.75,16.6939856617,9.45841073199,0.999993,98.1824,0.0052769415665
-16.6394777977,8.98378794423,467.009076435,-0.526181035534,7.62686e+07,-0.150102230557,10,-6.22542704762,13.5803,0.0703831984684,10.8922209834,4947.64,-0.33389454272,-53.7297328741,-28.7305421689,4694.15164334,-4626.15,39.0200818561,4617.08,-5.55883428126,10.567025218,0.998904,112.271,479.168258337
5.18557064928,4.31667721628,1127.73721426,-0.122254849619,2.93999e+06,0.106448358149,11,0.0371250158002,13.8063,0.0333569476627,7.5544808727,1319.47,-0.0025620102887,-8.57503763895,6.12262391973,787.75122047,-1146.89,15.0713571431,1084.27,20.1369504959,4.0256598188,0.999999,109.98,1205.71001155
5.18570694881,3.6136057641,1214.53541429,-0.0644844393019,1.50896e+06,0.0792670982149,12,-2.76509548836,13.7577,0.0278844954456,5.15901609699,1277.72,0.00169749532475,-2.06698126121,6.02569345205,522.026534801,-1226.99,13.2843277917,1146.94,16.3727768655,3.83110911698,0.999995,112.707,1332.34338361
5.21089514352,3.78122504302,1220.8908679,-0.0713163122713,973961.0,0.0911263480982,13,-1.21389510642,13.8942,0.0292639454647,4.94430100008,1185.18,0.00181108443035,-3.14261932192,6.05684530294,453.281851951,-1200.01,10.9657304288,1090.28,18.1331338078,3.61832307678,1.0,112.469,1283.86326388
4.73283981335,3.62808212976,822.190662471,-0.0962800181387,780079.0,0.0688679090931,14,-4.442684329,13.9027,0.0280354172199,6.27107203813,849.673,-0.00250549960569,-6.51786402902,5.49866580353,372.259990205,-792.301,15.1752052415,676.908,15.2316160057,4.26115972481,1.0,113.559,888.201464151
4.96326315497,3.80738675039,628.545694024,-0.0831349182432,567446.0,0.0966300473121,15,0.5972172843,13.9023,0.0294242343215,5.81363023997,732.643,-0.000448358376591,-5.22581265067,5.7679760109,305.584576728,-664.641,9.99433691074,514.548,18.5102166362,2.58160280495,1.0,121.985,709.451695658
4.99999634332,3.67503140107,625.840525234,-0.0784479103446,198755.0,0.0683162652775,16,-2.29232226842,13.9004,0.0281535851493,4.61295021859,706.258,9.08456242144e-06,-4.23150859658,5.81188168713,232.6643851,-687.85,10.1331771073,564.997,14.6717789175,3.60471387687,1.0,122.554,718.589653526
5.24105617819,5.10704060125,26.3876084262,-0.26923884006,242151.0,0.0963737475587,17,0.0132809815764,13.9548,0.0407096737089,5.56328466253,507.697,-0.00223835698964,-24.9623691268,6.17118415582,210.164867889,-87.6868,14.0233530402,0.638956,19.0164839721,3.33046866678,0.999987,124.884,523.283465741
5.40018457521,5.64048132714,-275.273587879,-0.274495331972,265004.0,0.0907961818455,18,-18.8144020647,14.0383,0.0452099269454,4.12409529652,551.933,-0.00104377878052,-25.9545395587,6.32425756841,223.203522986,196.896,14.8450121355,-276.12,18.1537147565,7.12239709311,1.0,126.26,580.209281649
5.2115685296,5.22091883993,-643.779589662,-0.240293295575,298865.0,0.0846984771622,19,-1.83369913869,14.0629,0.0414050718301,5.22865545112,758.393,-0.00244151382059,-24.0416410739,6.11564916306,230.812204543,583.135,11.164916614,-621.4,17.188220535,3.17462711909,1.0,131.122,784.002138988
4.85063285811,5.81405266195,-1476.32216791,-0.244916665985,501023.0,0.0806935002487,20,-11.1104153231,14.0634,0.0456153441711,3.60846076109,1475.6,-0.00568274161587,-24.6264762011,5.68235053615,285.149500597,1508.26,14.3751220348,-1441.9,16.5280409938,6.3889789887,1.0,140.13,1508.93755483
5.14441666094,5.75108535627,-2708.4358472,-0.34315587843,1.94616e+06,0.0755190300462,21,-11.7227317703,14.0622,0.0461750456296,4.92709409361,2690.97,-0.00351062165253,-34.6136252856,6.02196142508,584.068071552,2628.61,18.8859756943,-2649.26,16.154637593,5.64571460639,1.0,146.003,2714.56491614
4.74178677595,5.46114842623,-2715.59280975,-0.252846842404,2.77577e+06,0.0816161046243,22,-8.89324883024,14.0531,0.0431904046764,6.10666905483,2732.55,-0.00683134377932,-23.9115552988,5.55148854583,588.713324283,2667.13,15.0793464138,-2562.8,17.2710676601,4.85135839262,1.0,154.464,2718.22683126
10.2905735749,5.26970586639,-485.10160851,-0.0811470298072,1.20634e+07,0.13681389777,23,-32.0952231752,14.1602,0.039890793523,8.69822673628,1582.06,0.0388398914961,-2.16087605816,13.5525020059,1305.7308131,-7.67077,21.9797735822,74.8521,26.0039947142,9.83978762263,0.999491,183.244,932.676365858
5.47452180383,4.16973377258,788.328383021,-0.0887676559369,1.35678e+07,0.0880739100633,24,1.18430544661,14.2187,0.0319787092827,7.21110029995,1979.41,0.000573004687035,-5.16290767346,6.46948973024,1365.90269366,-1027.33,15.9445641896,1079.85,17.8378219533,3.62520878538,0.999999,184.093,1252.94819284
5.37613995379,4.09002415182,571.6393689,-0.0954825025153,8.44829e+06,0.08464956742,25,-2.5823874194,14.2907,0.0316043444551,6.60349624141,1850.3,-0.000422159755603,-5.24331511951,6.35032554379,1144.91258042,-598.326,14.6722578959,620.384,17.3573092686,3.69747016277,1.0,187.53,1379.71955893
5.86295882518,4.11242989344,293.333563482,-0.141718757754,2.33183e+06,0.0788372331955,26,0.379267450782,14.2914,0.031477510474,6.99747354446,1260.29,0.00404066578087,-11.3165405761,6.93245665196,735.731506851,-224.287,16.2966434987,185.866,16.7986571382,4.29870283481,1.0,187.409,1337.61570982
5.57373392698,4.01755388463,193.450791361,-0.079794520961,1.60145e+06,0.0826525252208,27,-3.09372124541,14.2937,0.0313542600858,5.76823714147,1021.37,0.00150433116165,-3.29174208588,6.57834173945,648.532434744,-139.885,13.2321225006,80.2289,16.9605785125,3.70199846151,1.0,188.21,1194.17544158
5.45425673828,4.36331906175,97.5906422976,-0.116594533607,971535.0,0.0912870649116,28,-0.55877136616,14.2947,0.0340132387965,7.20335141397,961.13,0.00030512430704,-8.61912872904,6.43575721869,549.043870121,-82.8748,14.6489165154,36.1547,18.2954589328,3.60030905273,1.0,188.054,1046.11659847
5.96547608034,4.2905735312,19.1712983412,-0.0852851205112,775283.0,0.0913625955193,29,-5.07963734038,14.2952,0.0331687625701,5.82895861294,917.765,0.00506508754767,-5.03267324917,7.05035239267,472.541732679,32.5572,14.9635688193,-23.09,18.5483496996,5.01043755209,1.0,191.98,939.610130817
5.42824777104,4.10530176373,-169.677419872,-0.0725962231811,622635.0,0.0960788639649,30,0.743845422035,14.2952,0.0317905130111,7.56386577802,854.474,0.000150605035162,-3.36619253748,6.40925998936,435.552685692,265.644,14.1971992047,-150.103,18.8470412871,3.8067605909,1.0,198.425,861.129147796
5.28674902896,4.11960638044,-490.848786631,-0.078899039496,1.3355e+06,0.0912071016018,31,-1.7056830045,14.2944,0.0318525737973,6.8789303819,992.248,-0.00116968873109,-3.82475700352,6.24182125238,501.583210187,680.351,16.0479704211,-458.131,18.0476558089,4.7698418908,1.0,203.694,925.475937287
5.67405048622,3.74075225521,-277.76219149,-0.090018249259,7.10167e+06,0.0829433061298,32,-3.58237884994,14.2963,0.0288828100819,6.37687141769,2491.71,0.00227611834368,-4.28099285619,6.7062349365,1603.16244049,808.47,20.9351710618,-575.274,17.3137611094,4.94636369897,1.0,211.666,1526.5698996
4.9543261717,3.94224699723,-1688.52380089,-0.117115295341,3.91643e+06,0.0751419776693,33,0.729957424485,14.0744,0.0305038193115,6.01425476418,2823.05,-0.000551151253228,-8.64628389335,5.75781170575,1050.3003969,1691.8,16.7969941297,-1679.51,15.388387096,3.7023470869,0.999996,213.599,2645.54042247
37.639523866,10.5523151816,-1822.98265487,0.142170736966,2.52222e+06,0.509306056887,34,-8.83337038587,14.5776,0.0772075348804,6.1855984438,2799.88,0.365859329283,35.3822247004,62.9534684602,834.470610362,1717.5,35.4553811326,-1846.56,82.5013530494,7.41294503025,0.99812,219.196,2765.32588296
38.2223453128,8.62239915262,-901.417872606,0.216677180266,1.32122e+07,0.557702284739,35,3.60054826737,14.838,0.0627229329712,42.4393320624,3885.12,0.37845835784,41.4957523739,65.1023771228,1910.48781534,384.675,76.8514422224,-976.015,88.8091978145,24.3716402071,0.999807,235.117,3085.23011816
5.94807611852,4.42453823604,-696.209131566,-0.0767010956256,6.85911e+06,0.10124941788,36,-2.38350906794,15.0166,0.0324952454647,8.85774609611,3717.55,0.00286068926341,-3.41487088119,7.14104931426,1566.57889541,102.597,32.1577069267,-698.33,20.6817543202,7.17672892772,0.999837,237.694,3491.1420751
