AverageReturn,AveragePolicySurr,StdReturn,MinReturn,AverageDiscountedReturn,AverageQ,QFunRegParamNorm,AverageQLoss,AverageY,AverageAction,MaxReturn,Epoch,AverageAbsY,AverageAbsQYDiff,MaxEsReturn,PolicyRegParamNorm,StdEsReturn,AverageEsReturn,MinEsReturn,Iteration,AverageAbsQ
-8.16215772046,-1.10491,0.0369724769869,-8.26753362755,-7.56536468621,0.520158,11.5831,9.02773,3.1509757645,0.565262,-8.03209860478,9,3.15312114034,2.80729727124,3.34662794739,11.7811,3.30000287478,-9.69390425202,-17.879425538,9,0.699849
-8.25885147273,-2.36726,0.0674902284188,-8.44448201728,-7.97529141535,1.61655,11.8323,0.347783,1.62646570969,0.999973,-8.05711157345,10,1.62940857877,0.377356924583,-2.42657128878,12.1942,1.58215394185,-7.72147166026,-17.9261596876,10,1.62174
-8.09341383748,-1.1831,0.0642862023777,-8.25321905143,-7.81610729366,0.976673,11.9148,0.0383727,0.979493869987,0.999996,-7.93952949521,11,0.982824720443,0.14499597,0.766093306587,12.3489,1.58865089602,-7.53908953708,-13.5188668101,11,0.991289
-15.1103612545,-1.4007,0.170002250474,-15.5289247811,-14.1688372607,1.04639,12.0969,0.0276609,1.04840353227,0.993609,-14.6734325924,12,1.05431429192,0.126307671506,-2.97167483772,13.2116,3.24006547932,-9.86119151561,-15.2463340433,12,1.06201
-15.0775379692,-1.44615,0.168281035961,-15.4679930384,-14.1434541439,1.10125,12.2676,0.0218735,1.10288843025,0.991021,-14.6421673213,13,1.11142609632,0.111768960437,1.28891198331,13.6831,2.14546429099,-13.3370952755,-15.1240459446,13,1.11447
199.748215977,-1.42407,127.363193774,11.5317931367,74.4867463023,1.11779,12.499,0.0190135,1.11902887776,0.921952,446.010320026,14,1.13218206375,0.103333649704,96.4540826962,15.1903,17.2838546914,-5.10211306468,-14.7692385837,14,1.13542
-40.1565106127,-1.53162,3.00133920163,-47.8291063713,-19.5966529548,1.15247,12.7147,0.0208888,1.15386613703,0.919592,-35.7476239077,15,1.16606362888,0.10601611643,170.549196428,15.4915,64.0789543373,-11.2137551253,-71.5582938565,15,1.16821
-9.62851715672,-1.68292,2.04891575804,-15.5697958367,-5.14280744927,1.27817,12.9712,0.0172467,1.27952610086,0.995758,-6.77299842969,16,1.28537830932,0.0974381220786,-8.51586770965,15.6645,13.0831655802,-23.9447928104,-51.727033469,16,1.28646
-10.1315075695,-1.7688,2.30299359023,-17.2613500564,-5.39406076421,1.42143,13.2573,0.0163913,1.42221010614,0.996469,-7.11950913037,17,1.42761925334,0.0937037485514,38.5393865707,15.8084,18.99914577,-16.953238034,-37.3641175144,17,1.4292
-38.6665131108,-1.83595,5.79625856453,-48.3065091594,-14.004322611,1.53032,13.5989,0.0161973,1.53137966316,0.99012,-14.1796490074,18,1.53651715165,0.0901862212119,1.45293116412,16.0254,21.5946831696,-31.9199752761,-84.1702691324,18,1.5375
