AverageQ,MaxEsReturn,AverageForwardProgress,AverageY,MaxForwardProgress,StdEsReturn,AverageAbsY,MinEsReturn,Epoch,StdReturn,AverageDiscountedReturn,AverageReturn,PolicyRegParamNorm,AverageAbsQYDiff,AverageEsReturn,AverageQLoss,MinReturn,AverageAction,MinForwardProgress,MaxReturn,QFunRegParamNorm,AveragePolicySurr,StdForwardProgress,AverageAbsQ
26.0753,80.485752338,-0.393153630781,1.50830276873,-0.110550171231,26.5795138845,1.95294793573,-32.517214816,10,6.22105717705,-13.4919909114,-25.8895962048,14.2414,30.0829151215,19.8121810634,5216.61,-37.9576162186,0.969191,-0.524410182455,-1.96344208594,26.8917,-25.9933,0.0667830739459,30.2519
1.03448,4.45202821275,-0.398644413272,1.15680777936,-0.139035781875,9.16637525979,3.33725101131,-33.4839157178,11,5.55384392793,-14.045611561,-26.5693993114,14.2591,2.54283728261,-24.6250139278,24.6032,-39.5959856532,0.999966,-0.541174679233,-5.6557804823,27.3196,-1.26047,0.0666992492218,3.79044
2.25827,92.2860061343,0.142175909435,2.25063140216,0.886040278635,35.4542052938,3.60228692368,-29.3334901114,12,40.6011372078,18.8383080593,32.5615579362,14.2715,1.69736869662,23.8454858632,12.1425,-38.3267895564,0.999917,-0.538090895531,109.807480877,27.3396,-3.94881,0.389507464584,3.52327
4.95097,63.4371537354,0.0846066790768,4.94050953649,0.923446638611,28.6730451851,5.16563969365,-25.0841697082,13,42.3090086211,15.2998469133,27.44556872,14.3902,1.31577889604,14.4543469017,6.73295,-37.9635141446,0.999945,-0.536028249045,111.674430807,27.3877,-5.04381,0.412616914662,5.14775
6.14404,106.236107657,0.0697290731859,6.15972244713,0.824127206146,47.0124116295,6.36832017458,-33.4233509923,14,42.5278591686,14.6856054148,25.3614373571,14.378,1.21085685228,24.5840867631,5.60294,-33.3980942918,1.0,-0.521863138049,102.905125952,27.7214,-7.12371,0.412422436376,6.32851
8.23561,89.1000195885,0.188735544078,8.27118678265,0.940502961318,42.8077413549,8.33797113487,-27.8197542641,15,43.2203714807,21.8036238177,37.7457416389,14.4671,1.4134814819,9.01276510783,7.19297,-41.4374186841,0.999999,-0.605167363437,115.175645021,28.1335,-9.46553,0.420588573767,8.30987
9.18554,68.8979142612,-0.398675288004,9.17507844358,-0.141451411516,26.3315259394,9.18021129266,-33.1514078733,16,5.74591381473,-13.8968282095,-26.430487008,14.5923,1.29524204382,-17.1380975642,5.83677,-37.0121561796,0.999173,-0.513280844573,0.721446058352,28.4137,-10.1202,0.0628860868345,9.20789
9.76483,-7.04827181048,0.0203289620607,9.77174194793,0.785989118035,7.84000449547,9.77368261765,-28.6343101407,17,20.482297943,12.7090373373,19.3298751239,14.562,1.19724329908,-18.9580882161,5.79874,-32.1134245539,0.997988,-0.486780865126,98.7301505715,28.6747,-10.9238,0.209371555333,9.79506
11.0423,83.8440294444,0.106857539787,11.0411028796,0.858544144808,25.5060160124,11.0428827288,-12.7723186809,18,41.7702862914,16.6832507821,29.4187226615,14.6252,1.16482190467,17.2100195649,5.4114,-41.5201717606,0.993936,-0.586816393575,107.411093323,29.088,-12.288,0.404916481626,11.0597
12.1106,103.224327396,0.105732886578,12.1313213877,0.911201841024,40.3202811998,12.1333013332,-22.2457887921,19,41.9056365282,16.5092505677,29.1676054552,14.5991,1.19987235892,22.9736486326,5.61267,-34.2222921937,1.0,-0.529637364122,110.243515753,29.6936,-13.9607,0.405290848771,12.1332
