AverageForwardProgress,MinEsReturn,AverageAbsQ,AverageAbsQYDiff,StdForwardProgress,AverageY,AverageQ,Epoch,MaxForwardProgress,QFunRegParamNorm,AverageEsReturn,MinReturn,MaxReturn,MaxEsReturn,StdReturn,AverageAction,AveragePolicySurr,AverageDiscountedReturn,PolicyRegParamNorm,MinForwardProgress,StdEsReturn,AverageAbsY,AverageQLoss,AverageReturn
-0.00397926098933,-6.76443726393,0.00892002,0.0216588071804,0.00834719701491,0.0160151245453,0.003159,9,0.0206925936599,14.9658,1.25618576975,-6.45920419181,3.17560338447,10.6655978462,1.76640284795,0.948593,-0.0121635,-1.93351920065,16.2104,-0.0245958895879,3.42258583661,0.0205941550127,0.000618236,-2.09562303709
-0.00439402770807,-7.50081047855,0.0267357,0.00409293402865,0.00751867219612,0.0264663561831,0.0263036,10,0.0160579964093,15.1948,-2.01545843268,-6.52749299013,2.2739025137,2.2241873598,1.59997302053,0.997139,-0.0478516,-1.96980152771,16.6591,-0.0247588231542,1.83105162845,0.0273382606142,6.86556e-05,-2.13245666819
-0.00410964267741,-5.74545196456,0.0378536,0.00412364110583,0.00753655492366,0.0371509657784,0.0371918,11,0.0225015897136,15.4805,-1.13064336752,-7.35976666876,3.67768685944,8.25522609449,1.59239910883,0.999979,-0.0473002,-1.90855441154,16.8829,-0.0288785917235,2.80252831949,0.0380665643334,5.79321e-05,-2.06621873372
-0.00472401964104,-5.5879643045,0.0394317,0.00489497317331,0.00773734598877,0.0366981003228,0.0367288,12,0.0253722499029,15.7692,-2.01067972906,-8.42206454113,4.28645615577,2.35975734073,1.64902088576,0.999988,-0.0547911,-2.03061259765,16.9155,-0.0339284598175,1.69772681542,0.0403502957379,6.11067e-05,-2.19619166265
-0.0040537866785,-5.92896910283,0.0557102,0.00591641558042,0.0080735983354,0.0502888558687,0.0500867,13,0.0207190783427,16.0093,-1.92613441676,-6.08261365311,3.1976287666,1.23485675472,1.71373239435,1.0,-0.0676158,-1.89040833482,16.9563,-0.0229036921952,1.43022547872,0.0560962678151,0.000103286,-2.04602884914
-0.00378935439667,-6.08387794676,0.0687258,0.00680421332152,0.00767548463864,0.0565622549415,0.0565631,14,0.0176136843445,16.2881,-2.12079741993,-6.71672276909,2.65121961083,0.655109047115,1.62901388113,1.0,-0.0629022,-1.84366609096,16.9598,-0.0263828489071,1.60035536475,0.0693016070002,0.000120236,-1.99596027476
-0.00461356385961,-7.15660151243,0.0677667,0.00736243309586,0.00778048828009,0.0439619892647,0.0437833,15,0.0174057564416,16.5529,-2.35219650221,-6.91461237893,2.33346905824,2.71309289157,1.64947289536,0.999997,-0.0287728,-2.00804418157,17.2011,-0.0265686427817,1.84950454908,0.0680673810681,0.000173421,-2.17311066472
-0.0043670826956,-6.16432071361,0.0561206,0.00726977850591,0.00785875831544,0.0176786003059,0.0175368,16,0.0181952106922,16.8512,-2.03913106215,-6.80021790154,2.6179139364,1.82789307485,1.66460857539,1.0,0.00277931,-1.95823387243,17.2079,-0.0255202896097,1.67461389302,0.056151554182,0.000149409,-2.11955650576
-0.00400115225434,-5.4991626313,0.0498923,0.00824128278485,0.00750710417062,-0.00640308012919,-0.00640763,17,0.0178393254159,17.0051,-2.2597969755,-7.16293342455,2.35076508265,1.38544120391,1.59562720117,1.0,0.023452,-1.88671440809,17.2083,-0.0275105956104,1.53723969981,0.0501392106905,0.000173954,-2.04465138075
-0.0043030384673,-5.22009910258,0.0469938,0.00820455161711,0.00759088115317,-0.0191708936884,-0.0192331,18,0.0176323056135,17.2345,-1.95641527285,-8.45856502108,2.60238280333,2.39554579791,1.61799284771,1.0,0.0290809,-1.94457402827,17.2087,-0.0343615683224,1.65875286995,0.0472472124811,0.000161715,-2.10630989159
