StdReturn,AverageQ,AverageReturn,AverageAction,AverageY,QFunRegParamNorm,AverageEsReturn,MaxEsReturn,PolicyRegParamNorm,AverageDiscountedReturn,AverageAbsY,AverageAbsQ,Iteration,AverageAbsQYDiff,Epoch,MaxReturn,MinReturn,MinEsReturn,StdEsReturn,AverageQLoss,AveragePolicySurr
0.238294320356,-1.947,-13.7270439414,0.516513,-2.12769194154,9.72284,-13.2504880388,-0.0360254990574,10.1064,-12.5462149255,2.12769194154,1.94792,9,1.20151945577,9,-12.769545083,-14.1989314922,-19.5988168503,2.90911519404,2.50119,1.74219
0.325937167282,-1.35679,-16.7246620423,0.981058,-1.36293061538,9.92472,-12.6140157121,-4.54393497957,10.9812,-15.4643402939,1.36371708882,1.35733,10,0.312014438986,10,-16.0494723048,-17.6493844928,-18.4392707933,3.5886298643,0.202425,0.957418
3.25784053364,-0.763984,-21.9516486375,0.962145,-0.762950195626,10.0276,-19.203759742,-10.1378440549,11.6408,-10.6979404827,0.780198413477,0.776333,11,0.15350336908,11,-15.5946087049,-29.9034691771,-50.5262619499,10.3158558887,0.045626,0.531829
1.5479991183,-0.564079,-40.2723034495,0.864714,-0.562830606649,10.1004,-33.6159110778,1.31491813925,12.1762,-17.3444316289,0.621479484705,0.617924,12,0.1033694176,12,-37.5190141881,-44.7351395323,-77.1819012134,20.1564070956,0.0199616,0.324151
0.624871570443,-0.401786,-42.1861831117,0.876685,-0.400982850462,10.257,-6.61796140872,60.4101538134,12.7907,-16.6650082884,0.528914319341,0.524727,13,0.0912358844308,13,-40.7181252181,-43.4963071215,-109.132552194,40.5346506559,0.015013,0.161187
0.758898374541,-0.275458,-21.4816764191,0.844121,-0.274646484272,10.4862,-23.6738580653,13.0385101106,13.323,-6.73520521206,0.492505977345,0.487124,14,0.0875560083544,14,-19.7591135947,-27.0245613333,-58.6036644506,22.1685958802,0.0137454,0.0280705
63.996134758,-0.148529,-4.06302617543,0.957604,-0.1476820768,10.7556,6.33153119868,194.692186056,13.7813,8.3318820815,0.473359542473,0.466457,15,0.0851485321984,15,274.772514592,-45.054429264,-31.643879809,68.4041716491,0.0131672,-0.1006
59.2086194552,-0.0331252,92.7554727312,0.992038,-0.0324575069696,11.038,59.9656485732,353.170303674,14.1777,60.7992867143,0.464190292658,0.457594,16,0.0802586415299,16,454.512010959,46.3620992775,-34.6087315902,127.284035862,0.012006,-0.213351
86.4547131685,0.109347,292.585931985,0.987273,0.109990937741,11.3226,130.141989237,470.465367972,14.4091,104.803913786,0.516795694135,0.511458,17,0.0728434218501,17,500.175057054,84.3536776928,-5.24119922248,162.453348417,0.0105718,-0.344517
72.4695911992,0.221059,107.605928546,0.992053,0.221494726482,11.6314,182.606240656,415.989186391,14.5983,64.3704577778,0.600159554585,0.594524,18,0.0733532186688,18,451.598364547,52.6947866333,66.2903075145,135.0047586,0.0115717,-0.433501
