AverageAction,AverageAbsQ,AverageQLoss,StdReturn,AverageQ,PolicyRegParamNorm,AverageAbsY,AverageY,MinEsReturn,AverageReturn,AverageAbsQYDiff,AverageDiscountedReturn,Epoch,MinReturn,MaxReturn,StdEsReturn,Iteration,AveragePolicySurr,MaxEsReturn,QFunRegParamNorm,AverageEsReturn
0.561729,0.759339,5.56068,0.0365534283852,0.469112,11.7811,2.33279052265,2.09208875646,-17.2183253767,-8.08189455278,2.13302910311,-7.48807259499,9,-8.18167408819,-7.96577808188,3.24527722634,9,-1.0461,1.64362330461,11.5829,-9.65430861028
0.99726,1.20982,0.325754,0.0798875305239,0.758566,12.704,1.30583952786,0.774670420669,-13.9135891801,-8.30875468429,0.373368453823,-8.02044836223,10,-8.50702326509,-8.06252765444,1.67227023796,10,-1.39847,-2.36036100397,11.9518,-7.70580978025
0.961437,1.42011,0.0419411,8.36344958001,-0.0806351,13.4152,1.42761259886,-0.0790648657632,-68.7625876368,-13.8755006164,0.154023911219,-5.93430215463,11,-24.9187340094,0.871622343262,103.931096139,11,-0.772291,611.344726986,12.1856,13.9601803997
0.973337,1.8845,0.0499747,139.832682441,0.018222,13.894,1.89174721106,0.019467151797,-59.8688012399,123.352186429,0.166314084896,51.8922775117,12,2.002145249,511.819800692,22.5689192886,12,-1.02527,-0.59924073391,12.7101,-22.4401827334
0.845142,2.40909,0.0817475,2.76735698888,0.257182,14.0056,2.41990318789,0.258338639777,8.92205918708,1030.98863592,0.203670016723,110.486571778,13,1026.09681983,1034.42983677,148.819941021,13,-1.44387,395.710060807,13.6303,178.044144022
0.967003,3.10849,0.132973,66.874021735,0.846685,14.3118,3.12218928423,0.847766617121,81.658093194,97.6261430587,0.242363496707,61.4899909646,14,53.3122847695,379.176985917,102.199440429,14,-2.18748,334.752589198,14.654,209.832461673
0.875903,3.76265,0.207069,19.3856753826,1.52626,15.6826,3.77643287644,1.5269629183,29.2412959037,77.0079165301,0.286156641155,57.5624683722,15,49.1211083719,151.891348274,128.274429701,15,-3.00974,378.355336708,15.6821,136.731444648
0.661937,4.44393,0.292293,24.5072056524,2.30303,16.508,4.4602752191,2.30411866929,10.7681798205,69.7715996721,0.327762460081,52.4546745448,16,47.1820849138,203.405955505,143.23822314,16,-3.88412,360.693816485,16.8687,191.891987694
0.601728,5.1588,0.374894,178.974421252,3.18205,17.0671,5.17479642273,3.18351995707,59.9825511617,143.624378023,0.351658198364,59.0825868948,17,44.8868572671,996.169437971,165.301836075,17,-4.84067,477.14439612,17.8039,146.577391735
0.69425,5.95023,0.440626,217.676167092,4.20174,17.7676,5.96610768547,4.20295115839,43.8881058856,129.354797306,0.376028227153,55.974259718,18,29.8739424681,1067.07251998,140.289807905,18,-5.89165,384.428309444,18.7827,227.449028346
0.709968,6.80278,0.540699,141.212992131,5.23623,18.7292,6.81960744376,5.23810449376,41.5739294488,125.686681285,0.425476610688,60.6240204357,19,-11.8023631737,641.55757794,107.190082876,19,-6.96082,317.566853316,19.6974,202.593966243
0.782962,7.64262,0.820904,73.9905092451,6.22179,19.4652,7.66362994677,6.22411749092,-7.01240271176,319.41028478,0.483298984996,117.962134286,20,125.97535277,562.153150855,114.824889596,20,-7.985,259.73217656,20.5922,134.928243793
0.78743,8.65605,0.824994,88.5815400157,7.41541,20.1556,8.67735660856,7.41751655355,5.14107623647,385.784733466,0.506820368642,125.767107604,21,61.9926244729,602.155579921,145.399946937,21,-9.21222,408.071304909,21.4037,239.64283867
0.759184,9.79007,1.00741,324.806424668,8.66514,20.8219,9.81177770357,8.66781085439,10.9157319142,357.062597668,0.553559187177,84.1791297255,22,53.5740620292,1069.09937919,140.511607184,22,-10.5045,402.177816402,22.2101,227.246431556
0.748801,11.0847,1.18945,222.119873454,9.99734,21.5382,11.1050300103,10.0016666362,182.926162512,131.607109176,0.583769351322,55.53589824,23,22.3728948113,1112.8159685,49.1104521312,23,-11.8691,342.764445819,22.9515,262.622310921
0.751173,12.4467,1.51064,164.885995667,11.4502,22.2876,12.4663568168,11.4539734132,31.9124421761,194.840693506,0.637740890034,75.8712782594,24,13.2276885829,791.242605865,179.049477243,24,-13.3692,426.731057223,23.8379,183.613169515
0.778068,13.6871,1.67008,99.9028669891,12.7061,22.9132,13.7067651587,12.7101052626,47.2480195567,102.330340226,0.673408091281,59.57560284,25,12.6520694062,449.332031558,126.438276464,25,-14.632,422.64178922,24.5897,192.58466325
0.834976,15.0105,2.03104,176.852910836,14.055,23.3625,15.0265675538,14.0595804423,27.0408859556,283.255902719,0.746106167117,92.5787854677,26,18.5210289536,623.952288677,115.605288838,26,-15.9204,352.008491896,25.325,202.983257371
0.801662,16.2546,2.35349,80.9931613418,15.3068,23.7988,16.2696090472,15.3114612094,147.605793996,56.7090677247,0.793933217234,40.5179542294,27,14.9923891322,410.855608657,118.571791034,27,-17.1967,401.214964986,26.0214,233.546778976
0.809568,17.2102,2.62633,151.504905097,16.2698,24.2257,17.2247283896,16.2747793451,42.0435241964,114.310692443,0.841885462373,53.590582678,28,4.14237106364,554.238181775,144.175093351,28,-18.1962,437.593752314,26.6276,196.870303843
0.802792,18.2792,2.77992,285.988793788,17.3824,24.6105,18.2928882253,17.3868905247,42.8219566761,236.690371547,0.879641666726,69.07273217,29,20.5526858362,1073.55634148,170.023376025,29,-19.311,420.368519979,27.2967,234.234226829
0.814486,19.5832,3.05763,141.849441379,18.7491,24.9044,19.597566484,18.7537191696,18.089134879,135.788731053,0.918722666133,64.5485005812,30,25.5862285538,547.762448645,107.880671492,30,-20.6756,398.858940272,28.0073,244.212894983
0.818389,20.8674,3.36639,182.692741758,20.0406,25.2967,20.8767116561,20.045235306,64.0903562841,232.103615537,0.972147518123,83.6506963718,31,32.8041527589,622.027314831,162.731514261,31,-21.9677,430.376809197,28.6599,259.845091818
0.838317,21.8953,4.02622,269.577172117,21.1068,25.7543,21.9065497141,21.1134678314,-25.0494328428,425.689462449,1.0469921829,96.4791883584,32,32.6036229064,1113.80851287,116.032741884,32,-23.0411,328.150950527,29.3121,113.796353697
0.82421,23.0194,3.99345,339.447532124,22.2712,26.1004,23.0297244111,22.2758571622,24.9783514889,543.511530284,1.08899077983,102.059282877,33,157.080579046,1011.64044407,150.331840601,33,-24.2408,407.668105204,30.0102,205.305776696
0.833291,24.3611,4.4931,146.911217615,23.6557,26.5408,24.3712885342,23.6619818081,95.2076918604,409.208656643,1.15364619968,115.645978555,34,177.236595909,1008.6903667,222.733465487,34,-25.6335,636.679502945,30.601,346.644509152
0.806928,25.5145,5.03404,229.727058076,24.8445,26.9175,25.5259560589,24.8535029863,152.616658696,422.315441029,1.22663527337,95.3609081776,35,-23.2475694019,970.547305708,134.662795574,35,-26.8952,532.298760146,31.2753,292.679526146
0.799094,26.9034,5.45062,253.999576219,26.2782,27.3278,26.9128292989,26.2833661057,114.246281825,398.727896542,1.28817970238,88.2934999015,36,19.8353547584,901.667846167,86.0110304531,36,-28.432,317.77772505,31.8711,209.90250144
0.818779,28.3637,5.86242,111.438664881,27.7531,27.6929,28.3781760977,27.7594420991,-23.443823349,342.095397279,1.3410967948,115.976670568,37,31.8690527475,668.262180378,84.7226728391,37,-29.8679,222.422583481,32.4037,116.029453687
0.811349,29.3234,6.31805,230.365044548,28.6879,28.0399,29.336418876,28.6944405445,3.69824472972,428.881823553,1.42573267025,103.300973813,38,28.044194084,1006.32050771,158.748904592,38,-30.782,428.838673131,32.9714,194.634786441
0.821576,30.8317,6.27613,48.2433928865,30.2109,28.3601,30.8459959254,30.2196382952,47.1484781936,289.176109424,1.4577366706,110.47053973,39,76.8470864154,411.751988963,244.443533067,39,-32.36,649.707557953,33.5679,275.116737542
0.812733,31.9882,6.9008,168.831334411,31.387,28.5845,32.0015782447,31.3950653635,-3.93952059427,331.13338034,1.52566352296,110.292217959,40,69.4000016228,988.733791064,105.705000011,40,-33.5447,278.807947908,34.1878,135.414917493
0.800195,33.5519,8.03935,103.364205302,32.9591,28.7778,33.5642528445,32.9680831612,14.3732543831,372.23172802,1.62115139991,114.675512352,41,50.9008605162,625.056132151,129.735577785,41,-35.1194,397.652034115,34.8105,158.191930666
0.761076,34.6498,8.51369,215.626365639,34.052,29.0888,34.6623066482,34.0597293648,40.0154181544,357.83451345,1.67016144052,102.002393067,42,54.2749445004,942.659211463,104.957167301,42,-36.3105,334.167659882,35.397,192.412107082
0.776946,36.0143,9.01863,93.835297655,35.4257,29.3606,36.0301069567,35.4359297932,38.0616634233,309.444414515,1.73319399151,110.255600537,43,26.4772328296,563.965566687,83.4202467166,43,-37.7371,223.515859056,36.0129,123.566408036
