StdReturn,AverageAbsY,PolicyRegParamNorm,AverageAbsQ,MaxForwardProgress,AverageQ,AverageDiscountedReturn,AverageReturn,MinForwardProgress,MaxEsReturn,AverageY,StdForwardProgress,QFunRegParamNorm,MinEsReturn,AverageForwardProgress,Epoch,StdEsReturn,AverageEsReturn,AveragePolicySurr,MinReturn,AverageAbsQYDiff,AverageAction,MaxReturn,AverageQLoss
4.54196911423,0.00439037124669,13.6312,0.00463496,0.0802634363915,0.00429359,-19.9003536872,-30.8526689681,-0.138167610417,3.58027874543,0.00424969145564,0.0456083487338,10.5016,-62.924006166,-0.0305069146196,10,10.5579864767,-4.20888915123,-0.00302975,-41.6118386554,0.000959260434778,0.935553,-19.775656856,5.45897e-06
4.63382908794,0.00733257627111,13.5863,0.00730336,0.1229892353,0.00675978,-18.2898101393,-27.9697340224,-0.101059483082,-22.5319525286,0.00675912612878,0.0452772859736,10.6221,-40.0483388481,0.00653188856458,11,5.81418451879,-32.6279155342,-0.0110009,-38.7992906281,0.00047258979074,0.964157,-16.0641698557,1.01328e-06
3.98865378244,0.00959643131378,13.8986,0.00955998,0.100031862848,0.00852744,-18.0599314122,-28.7309226805,-0.0720271386079,-14.7615535397,0.00852524216316,0.0400940160262,10.6284,-36.8338850665,0.0075160054784,12,6.14138131154,-24.0112808088,-0.0108335,-36.7323208553,0.00056550125805,0.982962,-19.5393793852,1.7576e-06
5.92269555081,0.0108398447599,14.4219,0.0107808,-0.0263074955784,0.00897021,-29.0592854994,-42.7687004572,-0.258285819895,-27.7796841872,0.00896977026639,0.0587058586077,10.8576,-53.70610192,-0.129533686254,13,7.58904107208,-43.2604436077,-0.0100564,-55.847984679,0.000559559953343,0.99929,-32.3934229636,1.39233e-06
3.59051799848,0.0114766002513,14.8265,0.0114166,0.119604688666,0.00849799,-17.8047693006,-28.7348820119,-0.0668804049873,-19.8484362784,0.00849802537476,0.0358863518332,11.0153,-35.8682564316,0.0122538665912,14,5.28132986639,-29.5532394326,-0.00989847,-36.6442454394,0.000613112174428,0.999458,-17.990111624,1.73807e-06
3.62763683837,0.0117863403928,15.0805,0.0117078,0.0897556456443,0.00766964,-18.0494957699,-29.0439399689,-0.0827958818651,-22.3971397089,0.00766835733444,0.0362237464882,11.1988,-32.8510635163,0.00931484310219,15,2.96205807723,-27.6464721834,-0.00820059,-38.2816500474,0.00072814470632,0.999943,-20.9571195626,2.30879e-06
3.65263022831,0.0112400096298,15.2841,0.011168,0.0797687068874,0.00535336,-18.499288479,-29.3926714656,-0.103945839606,-25.3346233776,0.00535313736089,0.0364308815305,11.475,-35.2334882077,0.00603999029017,16,3.16013407151,-30.1003269145,-0.0038895,-40.41122912,0.000755867275343,0.999684,-22.0185143525,2.64947e-06
3.58736744016,0.0107242908872,15.4384,0.0106471,0.104848291938,0.00244502,-18.7279008576,-29.8472365059,-0.0971392417219,-26.0270537944,0.00244376821254,0.0357954996965,11.6895,-34.3668246886,0.00122445273175,17,2.54137839194,-30.2869098325,-0.00165922,-39.6979051111,0.000770564889573,0.999691,-19.452451323,2.85187e-06
3.72717499297,0.0105591508826,15.5708,0.0104734,0.0893548765201,-0.000342252,-18.2572981874,-29.2784702309,-0.103859828574,-17.0724968648,-0.000340951826448,0.0372194908397,11.9384,-36.6438594107,0.00697858191152,18,6.07139520667,-28.1618582492,0.00148809,-40.3735986152,0.000862234850881,0.9999,-21.023471193,3.70777e-06
3.62702276371,0.0111004781054,15.728,0.011021,0.0850648577267,-0.00360666,-18.2435130224,-29.2469700549,-0.090746190001,-22.0289279417,-0.00360847536084,0.0362347497663,12.1935,-31.8928822673,0.00729384452739,19,3.03488493003,-27.8103884458,0.00524348,-39.0563820011,0.000900504711522,0.999999,-21.4466524659,4.0406e-06
